109.123.0.0,109.123.63.255,isp,SI,AS58056 
109.123.64.0,109.123.65.255,hosting,GB,AS13213 
109.123.66.0,109.123.66.255,business,GB,AS13213 
109.123.67.0,109.123.69.255,hosting,GB,AS13213 
109.123.70.0,109.123.70.255,business,GB,AS13213 
109.123.71.0,109.123.79.255,hosting,GB,AS13213 
109.123.80.0,109.123.80.255,business,DE,AS13213 
109.123.81.0,109.123.81.255,hosting,GB,AS13213 
109.123.82.0,109.123.82.255,business,GB,AS13213 
109.123.83.0,109.123.86.255,hosting,GB,AS13213 
109.123.87.0,109.123.87.255,business,GB,AS13213 
109.123.88.0,109.123.89.255,hosting,GB,AS13213 
109.123.90.0,109.123.91.255,business,GB,AS13213 
109.123.92.0,109.123.92.255,hosting,GB,AS13213 
109.123.93.0,109.123.93.255,business,GB,AS13213 
109.123.94.0,109.123.97.255,hosting,GB,AS13213 
109.123.98.0,109.123.98.255,business,GB,AS13213 
109.123.99.0,109.123.99.255,hosting,GB,AS13213 
109.123.100.0,109.123.100.255,business,GB,AS13213 
109.123.101.0,109.123.101.255,hosting,GB,AS13213 
109.123.102.0,109.123.102.255,business,NL,AS13213 
109.123.103.0,109.123.113.255,hosting,GB,AS13213 
109.123.114.0,109.123.116.255,business,GB,AS13213 
109.123.117.0,109.123.117.223,hosting,GB,AS13213 
109.123.117.224,109.123.117.255,hosting,US,AS13213 
109.123.118.0,109.123.118.255,business,GB,AS13213 
109.123.119.0,109.123.121.255,hosting,GB,AS13213 
109.123.122.0,109.123.123.255,business,GB,AS13213 
109.123.124.0,109.123.125.255,hosting,GB,AS13213 
109.123.126.0,109.123.127.255,business,GB,AS13213 
109.123.128.0,109.123.191.255,education,RU,AS5567 
109.123.192.0,109.123.199.255,hosting,CZ,AS15685 
109.123.200.0,109.123.201.255,isp,CZ,AS21430 
109.123.202.0,109.123.203.255,hosting,CZ,AS15685 
109.123.204.0,109.123.204.255,isp,CZ,AS21430 
109.123.205.0,109.123.205.255,hosting,CZ,AS15685 
109.123.206.0,109.123.207.255,isp,CZ,AS204383 
109.123.208.0,109.123.210.255,hosting,CZ,AS15685 
109.123.211.0,109.123.211.255,business,CZ,AS15685 
109.123.212.0,109.123.213.255,business,CZ,AS21430 
109.123.214.0,109.123.223.255,hosting,CZ,AS15685 
109.123.224.0,109.123.225.255,hosting,NL,AS136787 
109.123.226.0,109.123.226.255,isp,CZ,AS21430 
109.123.227.0,109.123.239.255,hosting,DE,AS141995 
109.123.240.0,109.123.255.255,hosting,DE,AS51167 
