109.106.0.0,109.106.0.255,business,GE,AS20771 
109.106.1.0,109.106.1.255,hosting,GB,AS212396 
109.106.2.0,109.106.2.255,business,IE,AS13213 
109.106.3.0,109.106.3.255,hosting,IE,AS13213 
109.106.4.0,109.106.7.255,isp,PL,AS197177 
109.106.8.0,109.106.11.255,business,FI, 
109.106.12.0,109.106.15.255,business,BE,AS5432 
109.106.16.0,109.106.19.255,hosting,CH,AS206123 
109.106.20.0,109.106.23.255,business,RU, 
109.106.24.0,109.106.27.255,isp,FR,AS41114 
109.106.28.0,109.106.31.255,isp,IT,AS201877 
109.106.32.0,109.106.43.255,hosting,CH,AS42346 
109.106.44.0,109.106.63.255,isp,CH,AS15600 
109.106.64.0,109.106.95.255,isp,FR,AS12684 
109.106.96.0,109.106.104.255,isp,IE,AS31122 
109.106.105.0,109.106.105.255,business,IE,AS31122 
109.106.106.0,109.106.108.255,isp,IE,AS31122 
109.106.109.0,109.106.109.255,business,IE,AS31122 
109.106.110.0,109.106.119.255,isp,IE,AS31122 
109.106.120.0,109.106.120.255,business,GB,AS30967 
109.106.121.0,109.106.121.255,business,NL,AS30967 
109.106.122.0,109.106.122.255,business,US,AS30967 
109.106.123.0,109.106.123.255,business,HK,AS30967 
109.106.124.0,109.106.127.255,isp,IE,AS31122 
109.106.128.0,109.106.159.255,isp,RU,AS43727 
109.106.160.0,109.106.191.255,hosting,NL,AS48635 
109.106.192.0,109.106.199.255,isp,RU,AS31163 
109.106.200.0,109.106.203.255,isp,RU,AS31133 
109.106.204.0,109.106.205.255,business,RU,AS31133 
109.106.206.0,109.106.206.255,isp,RU,AS31133 
109.106.207.0,109.106.207.39,business,RU,AS31133 
109.106.207.40,109.106.207.47,isp,RU,AS31133 
109.106.207.48,109.106.207.63,business,RU,AS31133 
109.106.207.64,109.106.207.127,isp,RU,AS31133 
109.106.207.128,109.106.207.255,business,RU,AS31133 
109.106.208.0,109.106.209.255,isp,RU,AS31133 
109.106.210.0,109.106.210.255,business,RU,AS31133 
109.106.211.0,109.106.212.255,isp,RU,AS31133 
109.106.213.0,109.106.214.15,isp,RU,AS12714 
109.106.214.16,109.106.215.255,isp,RU,AS31133 
109.106.216.0,109.106.217.255,business,RU,AS31133 
109.106.218.0,109.106.223.255,isp,RU,AS31133 
109.106.224.0,109.106.225.255,isp,RS,AS15958 
109.106.226.0,109.106.226.255,isp,RS,AS197423 
109.106.227.0,109.106.228.255,isp,RS,AS15958 
109.106.229.0,109.106.230.255,business,RS,AS197423 
109.106.231.0,109.106.232.255,isp,RS,AS15958 
109.106.233.0,109.106.237.255,business,RS,AS197423 
109.106.238.0,109.106.239.255,isp,RS,AS15958 
109.106.240.0,109.106.247.255,hosting,NL,AS47583 
109.106.248.0,109.106.251.255,hosting,US,AS47583 
109.106.252.0,109.106.255.255,hosting,SG,AS47583 
