109.105.0.0,109.105.31.255,isp,HU,AS25274 
109.105.32.0,109.105.43.255,business,CZ,AS12570 
109.105.44.0,109.105.44.255,isp,CZ,AS12570 
109.105.45.0,109.105.45.7,business,CZ,AS12570 
109.105.45.8,109.105.45.63,isp,CZ,AS12570 
109.105.45.64,109.105.45.79,business,CZ,AS12570 
109.105.45.80,109.105.45.255,isp,CZ,AS12570 
109.105.46.0,109.105.47.255,business,CZ,AS12570 
109.105.48.0,109.105.50.255,isp,CZ,AS12570 
109.105.51.0,109.105.52.255,business,CZ,AS12570 
109.105.53.0,109.105.53.47,isp,CZ,AS12570 
109.105.53.48,109.105.53.63,business,CZ,AS12570 
109.105.53.64,109.105.53.191,isp,CZ,AS12570 
109.105.53.192,109.105.56.255,business,CZ,AS12570 
109.105.57.0,109.105.59.255,isp,CZ,AS12570 
109.105.60.0,109.105.60.255,business,CZ,AS12570 
109.105.61.0,109.105.63.255,isp,CZ,AS12570 
109.105.64.0,109.105.95.255,business,RU,AS33894 
109.105.96.0,109.105.99.255,education,SE,AS2603 
109.105.100.0,109.105.101.255,education,DK,AS2603 
109.105.102.0,109.105.102.255,education,SE,AS2603 
109.105.103.0,109.105.103.255,education,DK,AS2603 
109.105.104.0,109.105.104.255,education,SE,AS2603 
109.105.105.0,109.105.108.127,education,DK,AS2603 
109.105.108.128,109.105.108.255,education,SE,AS2603 
109.105.109.0,109.105.109.255,education,DK,AS2603 
109.105.110.0,109.105.110.255,education,SE,AS2603 
109.105.111.0,109.105.111.255,education,DK,AS2603 
109.105.112.0,109.105.112.255,education,SE,AS2603 
109.105.113.0,109.105.114.255,education,DK,AS2603 
109.105.115.0,109.105.115.255,education,GB,AS2603 
109.105.116.0,109.105.116.127,isp,DK,AS2603 
109.105.116.128,109.105.116.255,isp,SE,AS2603 
109.105.117.0,109.105.123.255,education,DK,AS2603 
109.105.124.0,109.105.126.255,business,DK,AS39590 
109.105.127.0,109.105.127.255,education,DK,AS2603 
109.105.128.0,109.105.146.7,business,RU,AS49813 
109.105.146.8,109.105.151.255,business,LU,AS49813 
109.105.152.0,109.105.158.255,business,LU,AS51497 
109.105.159.0,109.105.159.255,business,AM, 
109.105.160.0,109.105.191.255,isp,RU,AS34038 
109.105.192.0,109.105.192.255,business,BA,AS212335 
109.105.193.0,109.105.193.255,hosting,TR,AS197860 
109.105.194.0,109.105.194.255,isp,US,AS53356 
109.105.195.0,109.105.195.255,business,IN, 
109.105.196.0,109.105.196.255,hosting,JP,AS137409 
109.105.197.0,109.105.197.255,hosting,BA,AS61317 
109.105.198.0,109.105.198.255,hosting,US,AS211826 
109.105.199.0,109.105.199.255,hosting,US,AS60949 
109.105.200.0,109.105.207.255,isp,BA,AS60588 
109.105.208.0,109.105.215.255,business,EU, 
109.105.216.0,109.105.223.255,hosting,US,AS40509 
109.105.224.0,109.105.224.255,isp,CY,AS8544 
109.105.225.0,109.105.228.127,isp,CY,AS16229 
109.105.228.128,109.105.228.135,isp,CY,AS8544 
109.105.228.136,109.105.228.239,isp,CY,AS16229 
109.105.228.240,109.105.228.247,isp,CY,AS8544 
109.105.228.248,109.105.228.255,isp,CY,AS16229 
109.105.229.0,109.105.230.255,isp,CY,AS8544 
109.105.231.0,109.105.236.39,isp,CY,AS16229 
109.105.236.40,109.105.236.47,isp,CY,AS8544 
109.105.236.48,109.105.236.71,isp,CY,AS16229 
109.105.236.72,109.105.236.75,isp,CY,AS8544 
109.105.236.76,109.105.236.255,isp,CY,AS16229 
109.105.237.0,109.105.238.255,isp,CY,AS8544 
109.105.239.0,109.105.240.87,isp,CY,AS16229 
109.105.240.88,109.105.240.91,isp,CY,AS8544 
109.105.240.92,109.105.240.255,isp,CY,AS16229 
109.105.241.0,109.105.242.255,isp,CY,AS8544 
109.105.243.0,109.105.245.95,isp,CY,AS16229 
109.105.245.96,109.105.245.103,isp,CY,AS8544 
109.105.245.104,109.105.245.207,isp,CY,AS16229 
109.105.245.208,109.105.245.215,isp,CY,AS8544 
109.105.245.216,109.105.245.255,isp,CY,AS16229 
109.105.246.0,109.105.249.255,isp,CY,AS8544 
109.105.250.0,109.105.250.255,isp,CY,AS16229 
109.105.251.0,109.105.252.255,isp,CY,AS8544 
109.105.253.0,109.105.253.131,isp,CY,AS16229 
109.105.253.132,109.105.253.135,isp,CY,AS8544 
109.105.253.136,109.105.254.19,isp,CY,AS16229 
109.105.254.20,109.105.254.23,isp,CY,AS8544 
109.105.254.24,109.105.254.135,isp,CY,AS16229 
109.105.254.136,109.105.254.139,isp,CY,AS8544 
109.105.254.140,109.105.254.183,isp,CY,AS16229 
109.105.254.184,109.105.254.187,isp,CY,AS8544 
109.105.254.188,109.105.254.255,isp,CY,AS16229 
109.105.255.0,109.105.255.255,isp,CY,AS8544 
