109.228.0.0,109.228.40.255,hosting,GB 
109.228.41.0,109.228.42.255,business,GB 
109.228.43.0,109.228.61.255,hosting,GB 
109.228.62.0,109.228.63.255,business,GB 
109.228.64.0,109.228.127.255,isp,ME 
109.228.128.0,109.228.128.135,isp,SE 
109.228.128.136,109.228.128.143,business,SE 
109.228.128.144,109.228.128.167,isp,SE 
109.228.128.168,109.228.128.175,business,SE 
109.228.128.176,109.228.128.191,isp,SE 
109.228.128.192,109.228.128.199,business,SE 
109.228.128.200,109.228.129.255,isp,SE 
109.228.130.0,109.228.130.255,business,SE 
109.228.131.0,109.228.131.207,isp,SE 
109.228.131.208,109.228.131.223,business,SE 
109.228.131.224,109.228.132.15,isp,SE 
109.228.132.16,109.228.132.31,business,SE 
109.228.132.32,109.228.132.159,isp,SE 
109.228.132.160,109.228.132.199,business,SE 
109.228.132.200,109.228.132.207,isp,SE 
109.228.132.208,109.228.132.239,business,SE 
109.228.132.240,109.228.133.9,isp,SE 
109.228.133.10,109.228.133.15,business,SE 
109.228.133.16,109.228.133.63,isp,SE 
109.228.133.64,109.228.133.95,business,SE 
109.228.133.96,109.228.133.127,isp,SE 
109.228.133.128,109.228.133.131,business,SE 
109.228.133.132,109.228.133.133,isp,SE 
109.228.133.134,109.228.133.151,business,SE 
109.228.133.152,109.228.133.199,isp,SE 
109.228.133.200,109.228.133.247,business,SE 
109.228.133.248,109.228.135.255,isp,SE 
109.228.136.0,109.228.136.15,business,SE 
109.228.136.16,109.228.136.23,isp,SE 
109.228.136.24,109.228.136.39,business,SE 
109.228.136.40,109.228.136.47,isp,SE 
109.228.136.48,109.228.136.95,business,SE 
109.228.136.96,109.228.136.127,isp,SE 
109.228.136.128,109.228.136.143,business,SE 
109.228.136.144,109.228.136.223,isp,SE 
109.228.136.224,109.228.136.255,business,SE 
109.228.137.0,109.228.142.127,isp,SE 
109.228.142.128,109.228.142.255,business,SE 
109.228.143.0,109.228.143.239,isp,SE 
109.228.143.240,109.228.143.255,business,SE 
109.228.144.0,109.228.145.7,isp,SE 
109.228.145.8,109.228.145.27,business,SE 
109.228.145.28,109.228.145.47,isp,SE 
109.228.145.48,109.228.145.55,business,SE 
109.228.145.56,109.228.145.79,isp,SE 
109.228.145.80,109.228.145.87,business,SE 
109.228.145.88,109.228.146.63,isp,SE 
109.228.146.64,109.228.146.95,business,SE 
