101.102.0.0,101.102.63.255,isp,JP 
101.102.64.0,101.102.95.255,isp,CN 
101.102.96.0,101.102.99.255,business,JP 
101.102.100.0,101.102.102.255,isp,CN 
101.102.103.0,101.102.103.255,business,TW 
101.102.104.0,101.102.127.255,isp,CN 
101.102.128.0,101.102.140.255,isp,JP 
101.102.141.0,101.102.141.7,business,JP 
101.102.141.8,101.102.141.15,isp,JP 
101.102.141.16,101.102.141.39,business,JP 
101.102.141.40,101.102.141.47,isp,JP 
101.102.141.48,101.102.141.63,business,JP 
101.102.141.64,101.102.141.79,isp,JP 
101.102.141.80,101.102.141.95,business,JP 
101.102.141.96,101.102.141.103,isp,JP 
101.102.141.104,101.102.141.111,business,JP 
101.102.141.112,101.102.141.215,isp,JP 
101.102.141.216,101.102.141.239,business,JP 
101.102.141.240,101.102.141.255,isp,JP 
101.102.142.0,101.102.142.79,business,JP 
101.102.142.80,101.102.142.95,isp,JP 
101.102.142.96,101.102.142.103,business,JP 
101.102.142.104,101.102.142.135,isp,JP 
101.102.142.136,101.102.142.143,business,JP 
101.102.142.144,101.102.142.159,isp,JP 
101.102.142.160,101.102.142.183,business,JP 
101.102.142.184,101.102.142.239,isp,JP 
101.102.142.240,101.102.142.255,business,JP 
101.102.143.0,101.102.144.255,isp,JP 
101.102.145.0,101.102.145.7,business,JP 
101.102.145.8,101.102.145.15,isp,JP 
101.102.145.16,101.102.145.135,business,JP 
101.102.145.136,101.102.145.143,isp,JP 
101.102.145.144,101.102.145.175,business,JP 
101.102.145.176,101.102.145.223,isp,JP 
101.102.145.224,101.102.145.239,business,JP 
101.102.145.240,101.102.149.127,isp,JP 
101.102.149.128,101.102.149.223,business,JP 
101.102.149.224,101.102.153.127,isp,JP 
101.102.153.128,101.102.153.135,business,JP 
101.102.153.136,101.102.153.143,isp,JP 
101.102.153.144,101.102.153.151,business,JP 
101.102.153.152,101.102.158.255,isp,JP 
101.102.159.0,101.102.159.31,business,JP 
101.102.159.32,101.102.159.79,isp,JP 
101.102.159.80,101.102.159.103,business,JP 
101.102.159.104,101.102.159.111,isp,JP 
101.102.159.112,101.102.159.127,business,JP 
101.102.159.128,101.102.160.255,isp,JP 
101.102.161.0,101.102.161.31,business,JP 
101.102.161.32,101.102.161.39,education,JP 
101.102.161.40,101.102.161.47,business,JP 
101.102.161.48,101.102.161.127,isp,JP 
101.102.161.128,101.102.161.255,business,JP 
101.102.162.0,101.102.165.255,isp,JP 
101.102.166.0,101.102.167.255,business,JP 
101.102.168.0,101.102.168.199,isp,JP 
101.102.168.200,101.102.168.207,business,JP 
101.102.168.208,101.102.168.239,isp,JP 
101.102.168.240,101.102.168.255,business,JP 
101.102.169.0,101.102.175.191,isp,JP 
101.102.175.192,101.102.175.255,business,JP 
101.102.176.0,101.102.176.199,isp,JP 
101.102.176.200,101.102.176.207,business,JP 
101.102.176.208,101.102.185.255,isp,JP 
101.102.186.0,101.102.187.159,business,JP 
101.102.187.160,101.102.196.255,isp,JP 
101.102.197.0,101.102.198.255,business,JP 
101.102.199.0,101.102.202.255,isp,JP 
101.102.203.0,101.102.203.7,business,JP 
101.102.203.8,101.102.203.15,education,JP 
101.102.203.16,101.102.203.31,isp,JP 
101.102.203.32,101.102.203.143,business,JP 
101.102.203.144,101.102.203.159,isp,JP 
101.102.203.160,101.102.203.167,business,JP 
101.102.203.168,101.102.203.175,isp,JP 
101.102.203.176,101.102.203.191,business,JP 
101.102.203.192,101.102.205.31,isp,JP 
101.102.205.32,101.102.205.47,business,JP 
101.102.205.48,101.102.206.31,isp,JP 
101.102.206.32,101.102.206.127,business,JP 
101.102.206.128,101.102.206.191,isp,JP 
101.102.206.192,101.102.208.127,business,JP 
101.102.208.128,101.102.209.63,isp,JP 
101.102.209.64,101.102.209.87,business,JP 
101.102.209.88,101.102.209.111,isp,JP 
101.102.209.112,101.102.209.255,business,JP 
101.102.210.0,101.102.210.31,isp,JP 
101.102.210.32,101.102.210.127,business,JP 
101.102.210.128,101.102.210.255,isp,JP 
101.102.211.0,101.102.211.15,business,JP 
101.102.211.16,101.102.211.31,isp,JP 
101.102.211.32,101.102.211.255,business,JP 
101.102.212.0,101.102.212.255,isp,JP 
101.102.213.0,101.102.213.255,business,JP 
101.102.214.0,101.102.215.255,isp,JP 
101.102.216.0,101.102.217.255,business,JP 
101.102.218.0,101.102.219.255,isp,JP 
101.102.220.0,101.102.220.127,business,JP 
101.102.220.128,101.102.220.255,isp,JP 
101.102.221.0,101.102.221.127,business,JP 
101.102.221.128,101.102.221.255,isp,JP 
101.102.222.0,101.102.222.127,business,JP 
101.102.222.128,101.102.222.255,isp,JP 
101.102.223.0,101.102.223.127,business,JP 
101.102.223.128,101.102.223.255,isp,JP 
101.102.224.0,101.102.225.255,business,JP 
101.102.226.0,101.102.227.31,isp,JP 
101.102.227.32,101.102.227.63,business,JP 
101.102.227.64,101.102.227.95,isp,JP 
101.102.227.96,101.102.227.127,business,JP 
101.102.227.128,101.102.229.255,isp,JP 
101.102.230.0,101.102.230.255,business,JP 
101.102.231.0,101.102.232.247,isp,JP 
101.102.232.248,101.102.233.255,business,JP 
101.102.234.0,101.102.234.31,isp,JP 
101.102.234.32,101.102.234.63,business,JP 
101.102.234.64,101.102.234.127,isp,JP 
101.102.234.128,101.102.235.255,business,JP 
101.102.236.0,101.102.237.255,isp,JP 
101.102.238.0,101.102.239.127,business,JP 
101.102.239.128,101.102.239.191,isp,JP 
101.102.239.192,101.102.239.255,business,JP 
101.102.240.0,101.102.241.255,isp,JP 
101.102.242.0,101.102.242.127,business,JP 
101.102.242.128,101.102.243.31,isp,JP 
101.102.243.32,101.102.243.47,business,JP 
101.102.243.48,101.102.243.79,isp,JP 
101.102.243.80,101.102.243.111,business,JP 
101.102.243.112,101.102.243.119,isp,JP 
101.102.243.120,101.102.243.159,business,JP 
101.102.243.160,101.102.243.191,isp,JP 
101.102.243.192,101.102.244.255,business,JP 
101.102.245.0,101.102.245.255,isp,JP 
101.102.246.0,101.102.246.135,business,JP 
101.102.246.136,101.102.246.191,isp,JP 
101.102.246.192,101.102.246.255,business,JP 
101.102.247.0,101.102.247.255,isp,JP 
101.102.248.0,101.102.248.15,business,JP 
101.102.248.16,101.102.248.23,isp,JP 
101.102.248.24,101.102.248.31,business,JP 
101.102.248.32,101.102.248.47,isp,JP 
101.102.248.48,101.102.248.63,business,JP 
101.102.248.64,101.102.248.191,isp,JP 
101.102.248.192,101.102.248.255,business,JP 
101.102.249.0,101.102.249.159,isp,JP 
101.102.249.160,101.102.249.191,business,JP 
101.102.249.192,101.102.249.223,isp,JP 
101.102.249.224,101.102.249.239,business,JP 
101.102.249.240,101.102.249.255,isp,JP 
101.102.250.0,101.102.251.63,business,JP 
101.102.251.64,101.102.253.255,isp,JP 
101.102.254.0,101.102.254.63,business,JP 
101.102.254.64,101.102.254.127,isp,JP 
101.102.254.128,101.102.255.127,business,JP 
101.102.255.128,101.102.255.255,isp,JP 
