24.244.0.0,24.244.63.255,isp,CA,AS6327 
24.244.64.0,24.244.79.255,isp,CA,AS18988 
24.244.80.0,24.244.95.255,isp,CA,AS33541 
24.244.96.0,24.244.107.255,isp,US,AS53508 
24.244.108.0,24.244.109.255,isp,US,AS1651 
24.244.110.0,24.244.111.255,isp,US,AS53508 
24.244.112.0,24.244.127.255,hosting,CA,AS14008 
24.244.128.0,24.244.139.255,isp,BS,AS15146 
24.244.140.0,24.244.140.254,business,BS,AS15146 
24.244.140.255,24.244.140.255,isp,BS,AS15146 
24.244.141.0,24.244.142.127,business,BS,AS15146 
24.244.142.128,24.244.142.255,isp,BS,AS15146 
24.244.143.0,24.244.143.255,business,BS,AS15146 
24.244.144.0,24.244.145.127,isp,BS,AS15146 
24.244.145.128,24.244.145.159,business,BS,AS15146 
24.244.145.160,24.244.148.63,isp,BS,AS15146 
24.244.148.64,24.244.148.159,business,BS,AS15146 
24.244.148.160,24.244.148.191,isp,BS,AS15146 
24.244.148.192,24.244.148.207,business,BS,AS15146 
24.244.148.208,24.244.166.127,isp,BS,AS15146 
24.244.166.128,24.244.166.143,business,BS,AS15146 
24.244.166.144,24.244.168.127,isp,BS,AS15146 
24.244.168.128,24.244.168.191,business,BS,AS15146 
24.244.168.192,24.244.169.255,isp,BS,AS15146 
24.244.170.0,24.244.170.254,business,BS,AS15146 
24.244.170.255,24.244.170.255,isp,BS,AS15146 
24.244.171.0,24.244.171.254,business,DM,AS15146 
24.244.171.255,24.244.190.255,isp,BS,AS15146 
24.244.191.0,24.244.191.127,business,BS,AS15146 
24.244.191.128,24.244.191.239,isp,BS,AS15146 
24.244.191.240,24.244.191.255,business,BS,AS15146 
24.244.192.0,24.244.252.255,hosting,CA,AS16949 
24.244.253.0,24.244.253.255,business,CA,AS19821 
24.244.254.0,24.244.255.255,hosting,CA,AS16949 
