24.237.0.0,24.237.23.255,isp,,AS8047 
24.237.24.0,24.237.27.255,isp,US,AS8047 
24.237.28.0,24.237.128.103,isp,,AS8047 
24.237.128.104,24.237.128.111,isp,US,AS8047 
24.237.128.112,24.237.128.119,isp,,AS8047 
24.237.128.120,24.237.128.127,isp,US,AS8047 
24.237.128.128,24.237.144.255,isp,,AS8047 
24.237.145.0,24.237.145.31,isp,US,AS8047 
24.237.145.32,24.237.145.47,business,,AS8047 
24.237.145.48,24.237.145.63,isp,US,AS8047 
24.237.145.64,24.237.162.199,isp,,AS8047 
24.237.162.200,24.237.162.223,isp,US,AS8047 
24.237.162.224,24.237.174.103,isp,,AS8047 
24.237.174.104,24.237.174.111,business,,AS8047 
24.237.174.112,24.237.180.63,isp,,AS8047 
24.237.180.64,24.237.180.191,isp,US,AS8047 
24.237.180.192,24.237.229.15,isp,,AS8047 
24.237.229.16,24.237.229.31,isp,US,AS8047 
24.237.229.32,24.237.229.63,isp,,AS8047 
24.237.229.64,24.237.229.127,isp,US,AS8047 
24.237.229.128,24.237.255.255,isp,,AS8047 
