24.137.32.0,24.137.47.255,isp,CA,AS33541 
24.137.48.0,24.137.63.255,isp,CA,AS812 
24.137.64.0,24.137.127.255,isp,CA,AS11260 
24.137.128.0,24.137.143.255,isp,US,AS11976 
24.137.144.0,24.137.191.255,business,US,AS11976 
24.137.192.0,24.137.192.255,isp,CA,AS812 
24.137.193.0,24.137.193.7,business,CA,AS812 
24.137.193.8,24.137.193.79,isp,CA,AS812 
24.137.193.80,24.137.193.87,business,CA,AS812 
24.137.193.88,24.137.193.95,isp,CA,AS812 
24.137.193.96,24.137.193.111,education,CA,AS812 
24.137.193.112,24.137.193.135,isp,CA,AS812 
24.137.193.136,24.137.193.151,business,CA,AS812 
24.137.193.152,24.137.193.215,isp,CA,AS812 
24.137.193.216,24.137.193.219,education,CA,AS812 
24.137.193.220,24.137.193.223,isp,CA,AS812 
24.137.193.224,24.137.193.239,business,CA,AS812 
24.137.193.240,24.137.193.247,isp,CA,AS812 
24.137.193.248,24.137.193.255,business,CA,AS812 
24.137.194.0,24.137.194.255,isp,CA,AS812 
24.137.195.0,24.137.195.191,business,CA,AS812 
24.137.195.192,24.137.195.255,isp,CA,AS812 
24.137.196.0,24.137.196.255,business,CA,AS812 
24.137.197.0,24.137.197.79,isp,CA,AS812 
24.137.197.80,24.137.197.87,business,CA,AS812 
24.137.197.88,24.137.197.203,isp,CA,AS812 
24.137.197.204,24.137.197.207,business,CA,AS812 
24.137.197.208,24.137.198.47,isp,CA,AS812 
24.137.198.48,24.137.198.55,business,CA,AS812 
24.137.198.56,24.137.198.87,isp,CA,AS812 
24.137.198.88,24.137.198.95,isp,US,AS812 
24.137.198.96,24.137.198.111,isp,CA,AS812 
24.137.198.112,24.137.198.119,business,CA,AS812 
24.137.198.120,24.137.198.191,isp,CA,AS812 
24.137.198.192,24.137.198.207,business,CA,AS812 
24.137.198.208,24.137.198.215,isp,CA,AS812 
24.137.198.216,24.137.198.223,business,CA,AS812 
24.137.198.224,24.137.198.247,isp,CA,AS812 
24.137.198.248,24.137.199.255,business,CA,AS812 
24.137.200.0,24.137.200.159,isp,CA,AS812 
24.137.200.160,24.137.200.167,business,CA,AS812 
24.137.200.168,24.137.200.191,isp,CA,AS812 
24.137.200.192,24.137.200.199,business,CA,AS812 
24.137.200.200,24.137.200.239,isp,CA,AS812 
24.137.200.240,24.137.200.247,business,CA,AS812 
24.137.200.248,24.137.200.255,isp,CA,AS812 
24.137.201.0,24.137.201.127,education,CA,AS812 
24.137.201.128,24.137.201.159,isp,CA,AS812 
24.137.201.160,24.137.201.191,business,CA,AS812 
24.137.201.192,24.137.202.255,isp,CA,AS812 
24.137.203.0,24.137.203.63,business,CA,AS812 
24.137.203.64,24.137.203.143,isp,CA,AS812 
24.137.203.144,24.137.203.151,business,CA,AS812 
24.137.203.152,24.137.203.167,isp,CA,AS812 
24.137.203.168,24.137.203.175,business,CA,AS812 
24.137.203.176,24.137.203.191,isp,CA,AS812 
24.137.203.192,24.137.203.199,business,CA,AS812 
24.137.203.200,24.137.203.231,isp,CA,AS812 
24.137.203.232,24.137.203.255,business,CA,AS812 
24.137.204.0,24.137.204.31,isp,CA,AS812 
24.137.204.32,24.137.204.39,business,CA,AS812 
24.137.204.40,24.137.204.55,isp,CA,AS812 
24.137.204.56,24.137.204.63,business,CA,AS812 
24.137.204.64,24.137.204.95,isp,CA,AS812 
24.137.204.96,24.137.204.111,business,CA,AS812 
24.137.204.112,24.137.204.119,isp,CA,AS812 
24.137.204.120,24.137.204.127,business,CA,AS812 
24.137.204.128,24.137.204.143,isp,CA,AS812 
24.137.204.144,24.137.204.151,business,CA,AS812 
24.137.204.152,24.137.204.159,isp,CA,AS812 
24.137.204.160,24.137.204.167,business,CA,AS812 
24.137.204.168,24.137.204.199,isp,CA,AS812 
24.137.204.200,24.137.204.207,business,CA,AS812 
24.137.204.208,24.137.204.247,isp,CA,AS812 
