24.230.0.0,24.230.31.255,hosting,FR,AS132418 
24.230.32.0,24.230.98.127,isp,US,AS11232 
24.230.98.128,24.230.98.191,business,US,AS11232 
24.230.98.192,24.230.116.7,isp,US,AS11232 
24.230.116.8,24.230.116.15,business,US,AS11232 
24.230.116.16,24.230.116.39,isp,US,AS11232 
24.230.116.40,24.230.116.47,business,US,AS11232 
24.230.116.48,24.230.116.55,isp,US,AS11232 
24.230.116.56,24.230.116.63,business,US,AS11232 
24.230.116.64,24.230.116.79,isp,US,AS11232 
24.230.116.80,24.230.116.87,business,US,AS11232 
24.230.116.88,24.230.116.111,isp,US,AS11232 
24.230.116.112,24.230.116.119,business,US,AS11232 
24.230.116.120,24.230.191.255,isp,US,AS11232 
24.230.192.0,24.231.15.255,isp,CA,AS11290 
