24.159.13.80,24.159.13.95,business,US 
24.159.13.96,24.159.86.167,isp,US 
24.159.86.168,24.159.86.175,business,US 
24.159.86.176,24.159.87.231,isp,US 
24.159.87.232,24.159.87.239,business,US 
24.159.87.240,24.159.127.255,isp,US 
24.159.128.0,24.159.128.15,business,US 
24.159.128.16,24.159.128.31,isp,US 
24.159.128.32,24.159.128.63,business,US 
24.159.128.64,24.159.128.127,isp,US 
24.159.128.128,24.159.129.15,business,US 
24.159.129.16,24.159.129.31,isp,US 
24.159.129.32,24.159.129.39,business,US 
24.159.129.40,24.159.129.47,isp,US 
24.159.129.48,24.159.129.63,business,US 
24.159.129.64,24.159.129.119,isp,US 
24.159.129.120,24.159.129.127,business,US 
24.159.129.128,24.159.129.143,isp,US 
24.159.129.144,24.159.129.159,business,US 
24.159.129.160,24.159.129.175,isp,US 
24.159.129.176,24.159.129.191,business,US 
24.159.129.192,24.159.130.15,isp,US 
24.159.130.16,24.159.130.23,business,US 
24.159.130.24,24.159.130.31,isp,US 
24.159.130.32,24.159.130.47,business,US 
24.159.130.48,24.159.130.63,isp,US 
24.159.130.64,24.159.130.79,business,US 
24.159.130.80,24.159.130.87,isp,US 
24.159.130.88,24.159.130.95,business,US 
24.159.130.96,24.159.130.115,isp,US 
24.159.130.116,24.159.130.119,business,US 
24.159.130.120,24.159.130.127,isp,US 
24.159.130.128,24.159.130.143,business,US 
24.159.130.144,24.159.130.159,isp,US 
24.159.130.160,24.159.130.191,business,US 
24.159.130.192,24.159.130.223,isp,US 
24.159.130.224,24.159.130.231,business,US 
24.159.130.232,24.159.131.15,isp,US 
24.159.131.16,24.159.131.23,business,US 
24.159.131.24,24.159.131.31,isp,US 
24.159.131.32,24.159.131.47,business,US 
24.159.131.48,24.159.131.71,isp,US 
24.159.131.72,24.159.131.79,business,US 
24.159.131.80,24.159.131.223,isp,US 
24.159.131.224,24.159.131.231,business,US 
24.159.131.232,24.159.132.47,isp,US 
24.159.132.48,24.159.132.55,business,US 
24.159.132.56,24.159.132.63,isp,US 
24.159.132.64,24.159.132.71,business,US 
24.159.132.72,24.159.132.95,isp,US 
24.159.132.96,24.159.132.127,business,US 
24.159.132.128,24.159.132.143,isp,US 
24.159.132.144,24.159.132.159,business,US 
24.159.132.160,24.159.132.175,isp,US 
24.159.132.176,24.159.132.223,business,US 
