5.255.0.0,5.255.31.255,isp,YE,AS30873 
5.255.32.0,5.255.47.255,isp,UA,AS31272 
5.255.48.0,5.255.55.255,isp,GB,AS199713 
5.255.56.0,5.255.56.255,hosting,CH,AS15623 
5.255.57.0,5.255.57.255,business,US, 
5.255.58.0,5.255.59.255,hosting,GB,AS204413 
5.255.60.0,5.255.60.255,business,US, 
5.255.61.0,5.255.63.255,business,US,AS174 
5.255.64.0,5.255.75.255,hosting,NL,AS50673 
5.255.76.0,5.255.76.255,hosting,NL,AS60222 
5.255.77.0,5.255.83.255,hosting,NL,AS50673 
5.255.84.0,5.255.84.255,business,NL,AS204963 
5.255.85.0,5.255.88.255,hosting,NL,AS50673 
5.255.89.0,5.255.89.255,isp,NL,AS204963 
5.255.90.0,5.255.94.63,hosting,NL,AS50673 
5.255.94.64,5.255.94.127,business,NL,AS50673 
5.255.94.128,5.255.95.255,hosting,NL,AS50673 
5.255.96.0,5.255.127.255,hosting,NL,AS60404 
5.255.128.0,5.255.135.255,business,BE,AS201887 
5.255.136.0,5.255.136.255,business,GB, 
5.255.137.0,5.255.137.255,hosting,GB,AS9140 
5.255.138.0,5.255.138.255,business,GB,AS9140 
5.255.139.0,5.255.139.255,business,GB, 
5.255.140.0,5.255.141.255,hosting,GB,AS9140 
5.255.142.0,5.255.142.255,business,GB, 
5.255.143.0,5.255.143.255,hosting,GB,AS9140 
5.255.144.0,5.255.146.63,hosting,ES,AS12956 
5.255.146.64,5.255.146.111,business,BE,AS12956 
5.255.146.112,5.255.146.127,business,CH,AS12956 
5.255.146.128,5.255.146.130,hosting,ES,AS12956 
5.255.146.131,5.255.146.131,hosting,DE,AS12956 
5.255.146.132,5.255.146.132,hosting,ES,AS12956 
5.255.146.133,5.255.146.133,hosting,FR,AS12956 
5.255.146.134,5.255.146.176,hosting,ES,AS12956 
5.255.146.177,5.255.146.177,hosting,DE,AS12956 
5.255.146.178,5.255.149.192,hosting,ES,AS12956 
5.255.149.193,5.255.149.193,hosting,DE,AS12956 
5.255.149.194,5.255.149.194,hosting,BE,AS12956 
5.255.149.195,5.255.149.195,hosting,DK,AS12956 
5.255.149.196,5.255.149.196,hosting,FR,AS12956 
5.255.149.197,5.255.149.197,hosting,LU,AS12956 
5.255.149.198,5.255.149.198,hosting,NL,AS12956 
5.255.149.199,5.255.149.199,hosting,PL,AS12956 
5.255.149.200,5.255.149.200,hosting,PT,AS12956 
5.255.149.201,5.255.149.201,hosting,ES,AS12956 
5.255.149.202,5.255.149.202,hosting,DE,AS12956 
5.255.149.203,5.255.149.203,hosting,BE,AS12956 
5.255.149.204,5.255.149.204,hosting,DK,AS12956 
5.255.149.205,5.255.149.205,hosting,FR,AS12956 
5.255.149.206,5.255.149.206,hosting,LU,AS12956 
5.255.149.207,5.255.149.207,hosting,NL,AS12956 
5.255.149.208,5.255.149.208,hosting,PL,AS12956 
5.255.149.209,5.255.149.209,hosting,PT,AS12956 
5.255.149.210,5.255.149.210,hosting,ES,AS12956 
5.255.149.211,5.255.149.211,hosting,AT,AS12956 
5.255.149.212,5.255.149.212,hosting,DE,AS12956 
5.255.149.213,5.255.149.213,hosting,HU,AS12956 
5.255.149.214,5.255.149.214,hosting,IT,AS12956 
5.255.149.215,5.255.149.215,hosting,CH,AS12956 
5.255.149.216,5.255.149.216,hosting,SI,AS12956 
5.255.149.217,5.255.149.217,hosting,AT,AS12956 
5.255.149.218,5.255.149.218,hosting,DE,AS12956 
5.255.149.219,5.255.149.219,hosting,HU,AS12956 
5.255.149.220,5.255.149.220,hosting,IT,AS12956 
5.255.149.221,5.255.149.221,hosting,CH,AS12956 
5.255.149.222,5.255.149.222,hosting,SI,AS12956 
5.255.149.223,5.255.149.240,hosting,ES,AS12956 
5.255.149.241,5.255.149.242,hosting,DE,AS12956 
5.255.149.243,5.255.149.244,hosting,NL,AS12956 
5.255.149.245,5.255.149.246,hosting,ES,AS12956 
5.255.149.247,5.255.149.248,hosting,PL,AS12956 
5.255.149.249,5.255.149.252,hosting,DE,AS12956 
5.255.149.253,5.255.151.255,hosting,ES,AS12956 
5.255.152.0,5.255.152.127,business,DE,AS41552 
5.255.152.128,5.255.156.63,business,NL,AS41552 
5.255.156.64,5.255.156.111,hosting,NL,AS41552 
5.255.156.112,5.255.156.127,business,NL,AS41552 
5.255.156.128,5.255.156.255,hosting,NL,AS41552 
5.255.157.0,5.255.159.255,business,NL,AS41552 
5.255.160.0,5.255.175.255,isp,UA,AS34700 
5.255.176.0,5.255.191.255,isp,UA,AS21310 
5.255.192.0,5.255.193.9,business,RU,AS13238 
5.255.193.10,5.255.193.11,hosting,RU,AS13238 
5.255.193.12,5.255.193.13,business,RU,AS13238 
5.255.193.14,5.255.193.23,hosting,RU,AS13238 
5.255.193.24,5.255.193.95,business,RU,AS13238 
5.255.193.96,5.255.193.135,hosting,RU,AS13238 
5.255.193.136,5.255.193.159,business,RU,AS13238 
5.255.193.160,5.255.193.167,hosting,RU,AS13238 
5.255.193.168,5.255.193.255,business,RU,AS13238 
5.255.194.0,5.255.194.15,business,KZ,AS13238 
5.255.194.16,5.255.194.31,hosting,RU,AS13238 
5.255.194.32,5.255.194.95,business,KZ,AS13238 
5.255.194.96,5.255.194.255,hosting,RU,AS13238 
5.255.195.0,5.255.195.231,business,RU,AS13238 
5.255.195.232,5.255.195.255,hosting,RU,AS13238 
5.255.196.0,5.255.196.255,business,RU,AS13238 
5.255.197.0,5.255.197.255,hosting,RU,AS13238 
5.255.198.0,5.255.198.195,business,RU,AS13238 
5.255.198.196,5.255.198.207,hosting,RU,AS13238 
5.255.198.208,5.255.199.79,business,RU,AS13238 
5.255.199.80,5.255.199.95,hosting,RU,AS13238 
5.255.199.96,5.255.199.159,business,RU,AS13238 
5.255.199.160,5.255.199.167,business,US,AS13238 
5.255.199.168,5.255.199.175,business,RU,AS13238 
5.255.199.176,5.255.199.179,business,TR,AS13238 
5.255.199.180,5.255.199.183,business,DE,AS13238 
5.255.199.184,5.255.200.11,business,RU,AS13238 
