5.154.0.0,5.154.0.255,isp,ES,AS50563 
5.154.1.0,5.154.5.255,isp,ES,AS29119 
5.154.6.0,5.154.6.255,business,ES,AS202813 
5.154.7.0,5.154.7.255,isp,ES,AS207614 
5.154.8.0,5.154.18.255,isp,ES,AS29119 
5.154.19.0,5.154.19.255,business,ES,AS199952 
5.154.20.0,5.154.23.255,isp,ES,AS29119 
5.154.24.0,5.154.24.127,business,ES,AS29119 
5.154.24.128,5.154.36.255,isp,ES,AS29119 
5.154.37.0,5.154.37.255,business,ES,AS29119 
5.154.38.0,5.154.38.255,isp,ES,AS29119 
5.154.39.0,5.154.39.255,isp,ES,AS60711 
5.154.40.0,5.154.43.255,isp,ES,AS29119 
5.154.44.0,5.154.44.255,isp,ES,AS50563 
5.154.45.0,5.154.64.127,isp,ES,AS29119 
5.154.64.128,5.154.64.255,business,ES,AS29119 
5.154.65.0,5.154.68.255,isp,ES,AS29119 
5.154.69.0,5.154.69.255,business,ES,AS202813 
5.154.70.0,5.154.104.159,isp,ES,AS29119 
5.154.104.160,5.154.104.191,business,ES,AS29119 
5.154.104.192,5.154.111.255,isp,ES,AS29119 
5.154.112.0,5.154.112.255,business,ES,AS29119 
5.154.113.0,5.154.123.127,isp,ES,AS29119 
5.154.123.128,5.154.123.255,business,ES,AS29119 
5.154.124.0,5.154.127.255,isp,ES,AS29119 
5.154.128.0,5.154.129.0,isp,GB,AS23764 
5.154.129.1,5.154.129.255,business,GB,AS4809 
5.154.130.0,5.154.131.255,isp,GB, 
5.154.132.0,5.154.133.255,isp,NL,AS4809 
5.154.134.0,5.154.135.255,isp,NL, 
5.154.136.0,5.154.137.255,isp,CZ,AS4809 
5.154.138.0,5.154.139.255,isp,IT,AS4809 
5.154.140.0,5.154.141.255,isp,SE,AS4809 
5.154.142.0,5.154.143.255,isp,SE, 
5.154.144.0,5.154.147.255,isp,DE,AS23764 
5.154.148.0,5.154.153.255,isp,DE, 
5.154.154.0,5.154.154.255,isp,GB,AS23764 
5.154.155.0,5.154.155.255,isp,GB, 
5.154.156.0,5.154.156.255,isp,DE, 
5.154.157.0,5.154.157.255,isp,FR, 
5.154.158.0,5.154.159.255,isp,FR,AS4809 
5.154.160.0,5.154.167.255,isp,DE,AS209551 
5.154.168.0,5.154.169.255,isp,BA,AS57869 
5.154.170.0,5.154.170.255,business,CH,AS206492 
5.154.171.0,5.154.171.255,business,RO, 
5.154.172.0,5.154.173.255,isp,ES,AS29119 
5.154.174.0,5.154.174.255,hosting,PT,AS203020 
5.154.175.0,5.154.175.255,isp,ES,AS207904 
5.154.176.0,5.154.176.255,isp,ES,AS201748 
5.154.177.0,5.154.178.255,business,DE,AS21263 
