5.11.0.0,5.11.7.255,business,AT,AS3190 
5.11.8.0,5.11.11.255,isp,GB,AS30844 
5.11.12.0,5.11.12.255,isp,ZM,AS30844 
5.11.13.0,5.11.14.127,isp,ZA,AS30844 
5.11.14.128,5.11.14.255,isp,ZM,AS30844 
5.11.15.0,5.11.15.63,isp,CD,AS30844 
5.11.15.64,5.11.15.95,isp,AO,AS30844 
5.11.15.96,5.11.15.255,isp,ZA,AS30844 
5.11.16.0,5.11.18.255,isp,IQ,AS42705 
5.11.19.0,5.11.19.255,business,IQ,AS21277 
5.11.20.0,5.11.20.255,business,IQ,AS42705 
5.11.21.0,5.11.22.255,isp,IQ,AS42705 
5.11.23.0,5.11.23.255,business,IQ,AS42705 
5.11.24.0,5.11.27.255,isp,IQ,AS42705 
5.11.28.0,5.11.31.255,business,DE,AS205020 
5.11.32.0,5.11.39.255,isp,IT,AS47217 
5.11.40.0,5.11.47.255,isp,PS,AS12975 
5.11.48.0,5.11.48.255,hosting,DE,AS47215 
5.11.49.0,5.11.49.255,business,DE,AS47215 
5.11.50.0,5.11.55.255,hosting,DE,AS47215 
5.11.56.0,5.11.59.255,business,FR,AS209304 
5.11.60.0,5.11.63.255,isp,RU,AS56578 
5.11.64.0,5.11.79.255,isp,RU,AS31214 
5.11.80.0,5.11.83.255,hosting,NL,AS35415 
5.11.84.0,5.11.84.255,business,NL,AS35415 
5.11.85.0,5.11.87.255,hosting,NL,AS35415 
5.11.88.0,5.11.88.87,hosting,GB,AS196646 
5.11.88.88,5.11.88.95,business,GB,AS196646 
5.11.88.96,5.11.89.63,hosting,GB,AS196646 
5.11.89.64,5.11.89.127,business,GB,AS196646 
5.11.89.128,5.11.95.255,hosting,GB,AS196646 
5.11.96.0,5.11.111.255,isp,IT,AS15404 
5.11.112.0,5.11.127.255,isp,IT, 
5.11.128.0,5.11.255.255,isp,TR,AS16135 
