5.158.0.0,5.158.63.255,isp,PT,AS12353 
5.158.64.0,5.158.79.255,isp,IT,AS199181 
5.158.80.0,5.158.81.255,isp,ES,AS43160 
5.158.82.0,5.158.82.255,isp,ES,AS60134 
5.158.83.0,5.158.83.255,isp,ES,AS43160 
5.158.84.0,5.158.84.255,isp,ES, 
5.158.85.0,5.158.85.255,hosting,ES,AS43160 
5.158.86.0,5.158.86.255,isp,ES,AS60134 
5.158.87.0,5.158.87.255,isp,ES,AS201121 
5.158.88.0,5.158.95.255,isp,GB,AS44369 
5.158.96.0,5.158.127.255,isp,RU,AS38934 
5.158.128.0,5.158.191.255,isp,DE,AS3209 
5.158.192.0,5.158.192.255,business,NO,AS199990 
5.158.193.0,5.158.193.255,hosting,NO,AS199990 
5.158.194.0,5.158.199.255,business,NO,AS199990 
5.158.200.0,5.158.207.255,business,FR,AS59518 
5.158.208.0,5.158.210.255,isp,FR,AS2914 
5.158.211.0,5.158.211.255,isp,ES,AS2914 
5.158.212.0,5.158.212.111,isp,DE,AS2914 
5.158.212.112,5.158.212.127,business,GB,AS2914 
5.158.212.128,5.158.212.160,isp,DE,AS2914 
5.158.212.161,5.158.212.190,business,FI,AS2914 
5.158.212.191,5.158.212.207,isp,DE,AS2914 
5.158.212.208,5.158.212.231,business,GB,AS2914 
5.158.212.232,5.158.212.239,isp,GB,AS2914 
5.158.212.240,5.158.212.255,isp,DE,AS2914 
5.158.213.0,5.158.213.255,business,GB,AS2914 
5.158.214.0,5.158.215.255,isp,GB,AS2914 
5.158.216.0,5.158.220.255,isp,ES,AS199143 
5.158.221.0,5.158.223.255,business,ES,AS60609 
5.158.224.0,5.158.230.207,isp,GB,AS41489 
5.158.230.208,5.158.230.223,business,GB,AS41489 
5.158.230.224,5.158.231.255,isp,GB,AS41489 
5.158.232.0,5.158.239.255,isp,RU,AS34892 
5.158.240.0,5.158.243.255,isp,FR,AS8362 
5.158.244.0,5.158.250.255,business,FR,AS8362 
5.158.251.0,5.158.255.255,isp,FR,AS8362 
