5.104.0.0,5.104.15.255,isp,TR,AS47883 
5.104.16.0,5.104.23.255,isp,CZ,AS198977 
5.104.24.0,5.104.24.255,business,IT,AS48815 
5.104.25.0,5.104.31.255,business,IT,AS12779 
5.104.32.0,5.104.63.255,isp,RU,AS59815 
5.104.64.0,5.104.64.255,hosting,US,AS15133 
5.104.65.0,5.104.65.255,business,EU, 
5.104.66.0,5.104.67.255,hosting,US,AS15133 
5.104.68.0,5.104.71.255,business,EU, 
5.104.72.0,5.104.72.255,business,CA,AS62240 
5.104.73.0,5.104.73.255,business,NL,AS62240 
5.104.74.0,5.104.74.255,business,PL,AS62240 
5.104.75.0,5.104.75.255,isp,DE,AS216127 
5.104.76.0,5.104.76.255,business,US,AS131199 
5.104.77.0,5.104.79.255,hosting,US,AS136787 
5.104.80.0,5.104.83.255,hosting,DE,AS141995 
5.104.84.0,5.104.87.255,business,DE,AS141995 
5.104.88.0,5.104.94.15,hosting,CH,AS51873 
5.104.94.16,5.104.94.31,isp,CH,AS51873 
5.104.94.32,5.104.94.63,hosting,CH,AS51873 
5.104.94.64,5.104.94.71,business,CH,AS51873 
5.104.94.72,5.104.94.87,hosting,CH,AS51873 
5.104.94.88,5.104.94.103,business,CH,AS51873 
5.104.94.104,5.104.95.255,hosting,CH,AS51873 
5.104.96.0,5.104.103.255,hosting,FR,AS50624 
5.104.104.0,5.104.105.255,hosting,DE,AS24961 
5.104.106.0,5.104.106.255,business,DE,AS24961 
5.104.107.0,5.104.111.255,hosting,DE,AS24961 
5.104.112.0,5.104.127.255,isp,NL,AS57112 
5.104.128.0,5.104.135.255,isp,SY,AS29256 
5.104.136.0,5.104.139.255,isp,NL,AS43350 
5.104.140.0,5.104.140.255,isp,NL, 
5.104.141.0,5.104.142.255,isp,NL,AS64437 
5.104.143.0,5.104.143.255,hosting,NL,AS43350 
5.104.144.0,5.104.151.255,business,DE,AS21263 
5.104.152.0,5.104.157.255,isp,DE,AS206970 
5.104.158.0,5.104.158.255,business,RO, 
5.104.159.0,5.104.159.255,business,RO,AS202003 
5.104.160.0,5.104.167.255,isp,BG,AS34376 
5.104.168.0,5.104.169.255,business,BG,AS57344 
5.104.170.0,5.104.172.255,hosting,BG,AS49699 
5.104.173.0,5.104.173.255,business,BG,AS49699 
5.104.174.0,5.104.174.255,business,BG,AS57344 
5.104.175.0,5.104.175.255,hosting,BG,AS31083 
5.104.176.0,5.104.181.255,isp,BG,AS34524 
5.104.182.0,5.104.182.255,business,BG,AS210992 
5.104.183.0,5.104.183.255,isp,BG,AS205331 
5.104.184.0,5.104.191.255,isp,BG,AS31420 
5.104.192.0,5.104.199.255,isp,FR,AS34659 
5.104.200.0,5.104.201.255,isp,RU,AS50498 
5.104.202.0,5.104.203.255,isp,RU,AS31363 
5.104.204.0,5.104.204.255,isp,RU,AS50498 
5.104.205.0,5.104.205.255,business,RU,AS31363 
5.104.206.0,5.104.207.255,isp,RU,AS31363 
5.104.208.0,5.104.215.255,isp,IR,AS58224 
5.104.216.0,5.104.223.255,isp,AT,AS28760 
5.104.224.0,5.104.224.10,hosting,NL,AS62370 
5.104.224.11,5.104.224.11,business,NL,AS62370 
5.104.224.12,5.104.224.67,hosting,NL,AS62370 
5.104.224.68,5.104.224.68,business,NL,AS62370 
5.104.224.69,5.104.226.125,hosting,NL,AS62370 
5.104.226.126,5.104.226.135,business,NL,AS62370 
5.104.226.136,5.104.226.141,hosting,NL,AS62370 
5.104.226.142,5.104.226.142,business,NL,AS62370 
5.104.226.143,5.104.226.143,hosting,NL,AS62370 
5.104.226.144,5.104.226.193,business,NL,AS62370 
5.104.226.194,5.104.231.255,hosting,NL,AS62370 
5.104.232.0,5.104.235.3,isp,KZ,AS9198 
5.104.235.4,5.104.235.7,business,KZ,AS9198 
5.104.235.8,5.104.235.23,isp,KZ,AS9198 
5.104.235.24,5.104.235.27,business,KZ,AS9198 
5.104.235.28,5.104.235.39,isp,KZ,AS9198 
5.104.235.40,5.104.235.47,business,KZ,AS9198 
5.104.235.48,5.104.235.63,isp,KZ,AS9198 
5.104.235.64,5.104.235.95,business,KZ,AS9198 
5.104.235.96,5.104.235.99,isp,KZ,AS9198 
5.104.235.100,5.104.235.103,business,KZ,AS9198 
5.104.235.104,5.104.235.107,isp,KZ,AS9198 
5.104.235.108,5.104.235.123,business,KZ,AS9198 
5.104.235.124,5.104.235.127,isp,KZ,AS9198 
5.104.235.128,5.104.235.223,business,KZ,AS9198 
5.104.235.224,5.104.235.239,isp,KZ,AS9198 
5.104.235.240,5.104.236.107,business,KZ,AS9198 
5.104.236.108,5.104.236.111,isp,KZ,AS9198 
5.104.236.112,5.104.236.255,business,KZ,AS9198 
5.104.237.0,5.104.239.255,isp,KZ,AS9198 
5.104.240.0,5.104.240.255,hosting,IL,AS20645 
5.104.241.0,5.104.241.255,business,US,AS20645 
5.104.242.0,5.104.242.255,hosting,US,AS20645 
5.104.243.0,5.104.243.255,hosting,IL,AS20645 
5.104.244.0,5.104.245.255,business,US,AS20645 
5.104.246.0,5.104.246.255,hosting,US,AS20645 
5.104.247.0,5.104.247.255,hosting,IL,AS20645 
5.104.248.0,5.104.255.255,isp,PL,AS58321 
