211.254.0.0,211.254.127.255,business,KR,AS38661 
211.254.128.0,211.254.164.255,business,KR,AS3786 
211.254.165.0,211.254.165.191,isp,KR,AS3786 
211.254.165.192,211.254.176.255,business,KR,AS3786 
211.254.177.0,211.254.177.127,isp,KR,AS3786 
211.254.177.128,211.254.191.255,business,KR,AS3786 
211.254.192.0,211.254.223.255,isp,KR,AS4766 
211.254.224.0,211.254.251.255,isp,AU,AS4766 
211.254.252.0,211.254.255.255,hosting,KR,AS3786 
