211.125.64.0,211.125.95.255,hosting,JP 
211.125.96.0,211.125.127.255,isp,JP 
211.125.128.0,211.125.130.47,business,JP 
211.125.130.48,211.125.130.255,isp,JP 
211.125.131.0,211.125.133.255,business,JP 
211.125.134.0,211.125.135.255,isp,JP 
211.125.136.0,211.125.140.255,business,JP 
211.125.141.0,211.125.142.31,isp,JP 
211.125.142.32,211.125.142.47,business,JP 
211.125.142.48,211.125.160.15,isp,JP 
211.125.160.16,211.125.160.23,education,JP 
211.125.160.24,211.125.160.199,isp,JP 
211.125.160.200,211.125.160.207,business,JP 
211.125.160.208,211.125.160.247,isp,JP 
211.125.160.248,211.125.160.255,business,JP 
211.125.161.0,211.125.165.127,isp,JP 
211.125.165.128,211.125.165.255,business,JP 
211.125.166.0,211.125.171.31,isp,JP 
211.125.171.32,211.125.171.47,business,JP 
211.125.171.48,211.125.173.199,isp,JP 
211.125.173.200,211.125.173.207,business,JP 
211.125.173.208,211.125.176.127,isp,JP 
211.125.176.128,211.125.176.191,business,JP 
211.125.176.192,211.125.177.191,isp,JP 
211.125.177.192,211.125.177.223,business,JP 
211.125.177.224,211.125.178.127,isp,JP 
211.125.178.128,211.125.178.191,business,JP 
211.125.178.192,211.125.180.127,isp,JP 
211.125.180.128,211.125.180.255,business,JP 
211.125.181.0,211.125.184.23,isp,JP 
211.125.184.24,211.125.184.31,business,JP 
211.125.184.32,211.125.185.95,isp,JP 
211.125.185.96,211.125.185.127,business,JP 
211.125.185.128,211.125.188.95,isp,JP 
211.125.188.96,211.125.188.127,business,JP 
211.125.188.128,211.125.200.47,isp,JP 
211.125.200.48,211.125.200.51,business,JP 
211.125.200.52,211.125.200.83,isp,JP 
211.125.200.84,211.125.200.87,business,JP 
211.125.200.88,211.125.200.255,isp,JP 
211.125.201.0,211.125.208.255,business,JP 
211.125.209.0,211.125.209.3,isp,JP 
211.125.209.4,211.125.209.7,business,JP 
211.125.209.8,211.125.209.15,isp,JP 
211.125.209.16,211.125.209.23,business,JP 
211.125.209.24,211.125.209.31,isp,JP 
211.125.209.32,211.125.209.39,business,JP 
211.125.209.40,211.125.209.79,isp,JP 
211.125.209.80,211.125.209.87,business,JP 
211.125.209.88,211.125.209.115,isp,JP 
211.125.209.116,211.125.209.119,business,JP 
211.125.209.120,211.125.209.143,isp,JP 
211.125.209.144,211.125.209.159,business,JP 
211.125.209.160,211.125.209.255,isp,JP 
211.125.210.0,211.125.223.255,business,JP 
211.125.224.0,211.125.224.191,hosting,JP 
211.125.224.192,211.125.224.207,isp,JP 
211.125.224.208,211.125.224.223,business,JP 
