211.170.88.64,211.170.88.127,business,KR,AS138195 
211.170.88.128,211.170.162.127,business,KR,AS3786 
211.170.162.128,211.170.162.191,isp,KR,AS3786 
211.170.162.192,211.170.184.63,business,KR,AS3786 
211.170.184.64,211.170.184.127,hosting,KR,AS45974 
211.170.184.128,211.170.188.255,business,KR,AS3786 
211.170.189.0,211.170.189.127,business,KR,AS38124 
211.170.189.128,211.170.205.127,business,KR,AS3786 
211.170.205.128,211.170.205.191,isp,KR,AS3786 
211.170.205.192,211.170.251.255,business,KR,AS3786 
211.170.252.0,211.170.252.255,education,KR,AS3786 
211.170.253.0,211.171.11.255,business,KR,AS3786 
