211.157.0.0,211.157.31.255,business,CN,AS4808 
211.157.32.0,211.157.95.255,business,CN, 
211.157.96.0,211.157.100.255,isp,CN,AS23724 
211.157.101.0,211.157.101.255,hosting,CN,AS23724 
211.157.102.0,211.157.103.191,isp,CN,AS23724 
211.157.103.192,211.157.103.223,business,CN,AS23724 
211.157.103.224,211.157.115.255,isp,CN,AS23724 
211.157.116.0,211.157.116.31,education,CN,AS23724 
211.157.116.32,211.157.116.39,business,CN,AS23724 
211.157.116.40,211.157.116.255,isp,CN,AS23724 
211.157.117.0,211.157.118.15,business,CN,AS23724 
211.157.118.16,211.157.118.31,education,CN,AS23724 
211.157.118.32,211.157.118.127,business,CN,AS23724 
211.157.118.128,211.157.118.191,isp,CN,AS23724 
211.157.118.192,211.157.118.255,business,CN,AS23724 
211.157.119.0,211.157.119.255,isp,CN,AS23724 
211.157.120.0,211.157.120.127,business,CN,AS23724 
211.157.120.128,211.157.123.255,isp,CN,AS23724 
211.157.124.0,211.157.124.15,business,CN,AS23724 
211.157.124.16,211.157.124.31,isp,CN,AS23724 
211.157.124.32,211.157.124.55,business,CN,AS23724 
211.157.124.56,211.157.124.63,isp,CN,AS23724 
211.157.124.64,211.157.124.95,business,CN,AS23724 
211.157.124.96,211.157.125.127,isp,CN,AS23724 
211.157.125.128,211.157.126.191,business,CN,AS23724 
211.157.126.192,211.157.126.223,isp,CN,AS23724 
211.157.126.224,211.157.127.39,business,CN,AS23724 
211.157.127.40,211.157.127.55,isp,CN,AS23724 
211.157.127.56,211.157.127.159,business,CN,AS23724 
211.157.127.160,211.157.127.191,education,CN,AS23724 
211.157.127.192,211.157.127.223,business,CN,AS23724 
211.157.127.224,211.157.127.239,education,CN,AS23724 
211.157.127.240,211.157.255.255,business,CN,AS23724 
