211.148.17.0,211.148.25.255,isp,CN 
211.148.26.0,211.148.26.255,business,CN 
211.148.27.0,211.148.31.255,isp,CN 
211.148.32.0,211.148.159.255,business,CN 
211.148.160.0,211.148.170.255,hosting,CN 
211.148.171.0,211.148.171.255,business,CN 
211.148.172.0,211.148.174.255,hosting,CN 
211.148.175.0,211.148.175.255,business,CN 
211.148.176.0,211.148.178.255,hosting,CN 
211.148.179.0,211.148.179.255,business,CN 
211.148.180.0,211.148.182.255,hosting,CN 
211.148.183.0,211.148.183.255,business,CN 
211.148.184.0,211.148.186.127,hosting,CN 
211.148.186.128,211.148.186.255,business,CN 
211.148.187.0,211.148.187.127,hosting,CN 
211.148.187.128,211.148.187.255,business,CN 
211.148.188.0,211.148.190.255,hosting,CN 
211.148.191.0,211.148.196.255,business,CN 
211.148.197.0,211.148.197.3,hosting,CN 
211.148.197.4,211.148.197.7,business,CN 
211.148.197.8,211.148.197.15,hosting,CN 
211.148.197.16,211.148.197.31,business,CN 
211.148.197.32,211.148.197.63,hosting,CN 
211.148.197.64,211.148.223.255,business,CN 
211.148.224.0,211.148.255.255,isp,CN 
