211.140.0.0,211.140.27.207,isp,CN,AS9808 
211.140.27.208,211.140.27.223,business,CN,AS56041 
211.140.27.224,211.140.103.51,isp,CN,AS9808 
211.140.103.52,211.140.103.55,isp,CN,AS56041 
211.140.103.56,211.140.115.255,isp,CN,AS9808 
211.140.116.0,211.140.116.255,isp,CN,AS56041 
211.140.117.0,211.140.132.255,isp,CN,AS9808 
211.140.133.0,211.140.133.255,isp,CN,AS56041 
211.140.134.0,211.140.148.127,isp,CN,AS9808 
211.140.148.128,211.140.148.143,business,CN,AS56041 
211.140.148.144,211.140.157.255,isp,CN,AS9808 
211.140.158.0,211.140.158.255,isp,CN,AS56041 
211.140.159.0,211.140.182.23,isp,CN,AS9808 
211.140.182.24,211.140.182.39,business,CN,AS56041 
211.140.182.40,211.140.182.127,isp,CN,AS9808 
211.140.182.128,211.140.182.131,isp,CN,AS56041 
211.140.182.132,211.140.191.255,isp,CN,AS9808 
211.140.192.0,211.140.255.255,isp,CN,AS56044 
