211.172.32.0,211.172.79.255,isp,KR 
211.172.80.0,211.172.95.255,isp,AU 
211.172.96.0,211.172.111.255,isp,KR 
211.172.112.0,211.172.127.255,isp,AU 
211.172.128.0,211.172.143.255,isp,KR 
211.172.144.0,211.172.159.255,business,KR 
211.172.160.0,211.172.175.255,isp,AU 
211.172.176.0,211.172.179.255,hosting,KR 
211.172.180.0,211.172.187.255,business,KR 
211.172.188.0,211.172.191.255,hosting,KR 
211.172.192.0,211.172.207.255,isp,AU 
211.172.208.0,211.172.223.255,business,KR 
211.172.224.0,211.172.235.255,hosting,KR 
211.172.236.0,211.173.127.255,business,KR 
