204.228.0.0,204.228.63.255,education,US,AS22773 
204.228.64.0,204.228.64.255,business,US,AS32920 
204.228.65.0,204.228.67.255,education,US,AS209 
204.228.68.0,204.228.71.255,education,US,AS62671 
204.228.72.0,204.228.79.255,education,US,AS209 
204.228.80.0,204.228.80.255,education,US,AS104 
204.228.81.0,204.228.81.255,education,US,AS33652 
204.228.82.0,204.228.127.255,education,US,AS209 
204.228.128.0,204.228.159.255,hosting,US,AS6315 
204.228.160.0,204.228.160.255,business,US, 
204.228.161.0,204.228.161.255,isp,US, 
204.228.162.0,204.228.169.255,education,US, 
204.228.170.0,204.228.170.255,business,US, 
204.228.171.0,204.228.174.255,education,US, 
204.228.175.0,204.228.191.255,business,US,AS3477 
204.228.192.0,204.228.195.255,business,US,AS14230 
204.228.196.0,204.228.197.255,hosting,US,AS14230 
204.228.198.0,204.228.199.255,isp,US,AS40266 
204.228.200.0,204.228.201.31,business,US,AS14230 
204.228.201.32,204.228.201.95,hosting,US,AS14230 
204.228.201.96,204.228.201.127,business,US,AS14230 
204.228.201.128,204.228.201.255,hosting,US,AS14230 
204.228.202.0,204.228.204.255,business,US,AS14230 
204.228.205.0,204.228.207.255,isp,US,AS14230 
204.228.208.0,204.228.212.255,business,US,AS14230 
204.228.213.0,204.228.215.255,isp,US,AS14230 
204.228.216.0,204.228.216.255,business,US,AS14230 
204.228.217.0,204.228.217.127,hosting,US,AS14230 
204.228.217.128,204.228.218.63,business,US,AS14230 
204.228.218.64,204.228.218.255,hosting,US,AS14230 
204.228.219.0,204.228.220.143,business,US,AS14230 
204.228.220.144,204.228.220.159,hosting,US,AS14230 
204.228.220.160,204.228.220.191,business,US,AS14230 
204.228.220.192,204.228.220.207,hosting,US,AS14230 
204.228.220.208,204.228.220.255,business,US,AS14230 
204.228.221.0,204.228.221.15,hosting,US,AS14230 
204.228.221.16,204.228.221.79,business,US,AS14230 
204.228.221.80,204.228.221.95,hosting,US,AS14230 
204.228.221.96,204.228.221.127,business,US,AS14230 
204.228.221.128,204.228.221.143,hosting,US,AS14230 
204.228.221.144,204.228.221.159,business,US,AS14230 
204.228.221.160,204.228.221.175,hosting,US,AS14230 
204.228.221.176,204.228.222.175,business,US,AS14230 
204.228.222.176,204.228.222.191,hosting,US,AS14230 
204.228.222.192,204.228.222.239,business,US,AS14230 
204.228.222.240,204.228.222.247,isp,US,AS14230 
204.228.222.248,204.228.223.95,business,US,AS14230 
204.228.223.96,204.228.223.111,hosting,US,AS14230 
204.228.223.112,204.228.224.31,business,US,AS14230 
204.228.224.32,204.228.224.47,hosting,US,AS14230 
204.228.224.48,204.228.224.55,business,US,AS14230 
204.228.224.56,204.228.224.63,hosting,US,AS14230 
204.228.224.64,204.228.224.175,business,US,AS14230 
204.228.224.176,204.228.224.255,hosting,US,AS14230 
204.228.225.0,204.228.225.15,business,US,AS14230 
204.228.225.16,204.228.225.31,hosting,US,AS14230 
204.228.225.32,204.228.225.191,business,US,AS14230 
204.228.225.192,204.228.225.255,hosting,US,AS14230 
204.228.226.0,204.228.226.255,isp,US,AS40266 
204.228.227.0,204.228.227.223,business,US,AS14230 
204.228.227.224,204.228.227.239,hosting,US,AS14230 
204.228.227.240,204.228.228.79,business,US,AS14230 
204.228.228.80,204.228.228.95,hosting,US,AS14230 
204.228.228.96,204.228.228.255,business,US,AS14230 
204.228.229.0,204.228.229.95,hosting,US,AS14230 
204.228.229.96,204.228.229.127,business,US,AS14230 
204.228.229.128,204.228.229.191,hosting,US,AS14230 
204.228.229.192,204.228.230.63,business,US,AS14230 
204.228.230.64,204.228.230.127,hosting,US,AS14230 
204.228.230.128,204.228.231.63,business,US,AS14230 
204.228.231.64,204.228.231.95,hosting,US,AS14230 
204.228.231.96,204.228.231.127,isp,US,AS14230 
204.228.231.128,204.228.232.127,business,US,AS14230 
204.228.232.128,204.228.232.255,hosting,US,AS14230 
204.228.233.0,204.228.236.191,business,US,AS14230 
204.228.236.192,204.228.236.223,isp,US,AS14230 
204.228.236.224,204.228.239.159,business,US,AS14230 
204.228.239.160,204.228.239.175,hosting,US,AS14230 
204.228.239.176,204.228.239.191,business,US,AS14230 
204.228.239.192,204.228.239.255,hosting,US,AS14230 
204.228.240.0,204.228.242.255,business,US,AS14230 
204.228.243.0,204.228.243.255,isp,US,AS14230 
204.228.244.0,204.228.246.255,business,US,AS14230 
204.228.247.0,204.228.247.255,isp,US,AS14230 
204.228.248.0,204.228.248.255,hosting,US,AS14230 
204.228.249.0,204.228.255.255,business,US,AS14230 
