204.193.0.0,204.193.27.255,education,US,AS400776 
204.193.28.0,204.193.29.255,business,US,AS53937 
204.193.30.0,204.193.31.255,education,US,AS400776 
204.193.32.0,204.193.63.255,business,US,AS7046 
204.193.64.0,204.193.95.255,business,US,AS19721 
204.193.96.0,204.193.127.255,government,US,AS30415 
204.193.128.0,204.193.128.239,hosting,US,AS20141 
204.193.128.240,204.193.128.255,business,US,AS20141 
204.193.129.0,204.193.129.159,hosting,US,AS20141 
204.193.129.160,204.193.129.191,business,US,AS20141 
204.193.129.192,204.193.132.255,hosting,US,AS20141 
204.193.133.0,204.193.133.255,hosting,US,AS54697 
204.193.134.0,204.193.136.15,hosting,US,AS20141 
204.193.136.16,204.193.136.31,business,US,AS20141 
204.193.136.32,204.193.136.95,hosting,US,AS20141 
204.193.136.96,204.193.136.111,business,US,AS20141 
204.193.136.112,204.193.137.31,hosting,US,AS20141 
204.193.137.32,204.193.137.47,education,US,AS20141 
204.193.137.48,204.193.144.167,hosting,US,AS20141 
204.193.144.168,204.193.144.223,business,US,AS20141 
204.193.144.224,204.193.144.239,hosting,US,AS20141 
204.193.144.240,204.193.144.255,business,US,AS20141 
204.193.145.0,204.193.145.15,hosting,US,AS20141 
204.193.145.16,204.193.145.31,business,US,AS20141 
204.193.145.32,204.193.145.95,hosting,US,AS20141 
204.193.145.96,204.193.145.127,business,US,AS20141 
204.193.145.128,204.193.145.159,hosting,US,AS20141 
204.193.145.160,204.193.145.223,business,US,AS20141 
204.193.145.224,204.193.145.255,hosting,US,AS20141 
204.193.146.0,204.193.146.31,business,US,AS20141 
204.193.146.32,204.193.146.63,hosting,US,AS20141 
204.193.146.64,204.193.146.95,business,US,AS20141 
204.193.146.96,204.193.147.255,hosting,US,AS20141 
204.193.148.0,204.193.148.31,business,US,AS20141 
204.193.148.32,204.193.148.63,hosting,US,AS20141 
204.193.148.64,204.193.148.127,business,US,AS20141 
204.193.148.128,204.193.151.255,hosting,US,AS20141 
204.193.152.0,204.193.152.255,isp,US,AS393340 
204.193.153.0,204.193.154.255,hosting,US,AS20141 
204.193.155.0,204.193.155.7,business,US,AS20141 
204.193.155.8,204.193.155.79,hosting,US,AS20141 
204.193.155.80,204.193.155.87,business,US,AS20141 
204.193.155.88,204.193.159.255,hosting,US,AS20141 
204.193.160.0,204.193.191.255,government,US,AS1226 
204.193.192.0,204.193.223.255,isp,US,AS3909 
204.193.224.0,204.193.255.255,business,US,AS3477 
