204.128.0.0,204.128.7.255,business,US,AS20235 
204.128.8.0,204.128.15.255,government,US,AS8103 
204.128.16.0,204.128.31.255,business,US,AS3356 
204.128.32.0,204.128.51.255,business,US, 
204.128.52.0,204.128.55.255,business,US,AS40841 
204.128.56.0,204.128.63.255,business,US, 
204.128.64.0,204.128.127.255,education,US,AS6461 
204.128.128.0,204.128.128.255,business,US,AS40292 
204.128.129.0,204.128.129.255,business,US, 
204.128.130.0,204.128.130.255,hosting,US,AS394934 
204.128.131.0,204.128.131.255,business,US, 
204.128.132.0,204.128.132.255,government,US,AS397965 
204.128.133.0,204.128.133.255,business,US,AS11404 
204.128.134.0,204.128.135.255,business,US, 
204.128.136.0,204.128.136.255,education,US, 
204.128.137.0,204.128.140.255,business,US, 
204.128.141.0,204.128.141.255,business,US,AS40548 
204.128.142.0,204.128.142.255,isp,US, 
204.128.143.0,204.128.143.255,business,US, 
204.128.144.0,204.128.144.255,isp,US, 
204.128.145.0,204.128.145.255,education,US,AS26846 
204.128.146.0,204.128.146.255,business,US,AS21914 
204.128.147.0,204.128.147.255,business,US, 
204.128.148.0,204.128.148.255,isp,US, 
204.128.149.0,204.128.153.255,business,US, 
204.128.154.0,204.128.154.255,hosting,US,AS12161 
204.128.155.0,204.128.156.255,education,US, 
204.128.157.0,204.128.160.255,business,US, 
204.128.161.0,204.128.161.255,education,US, 
204.128.162.0,204.128.174.255,business,US, 
204.128.175.0,204.128.175.255,hosting,US,AS14618 
204.128.176.0,204.128.181.255,business,US, 
204.128.182.0,204.128.182.255,business,US,AS397263 
204.128.183.0,204.128.187.255,business,US, 
204.128.188.0,204.128.188.255,business,US,AS2386 
204.128.189.0,204.128.191.255,business,US, 
204.128.192.0,204.128.192.255,business,US,AS25932 
204.128.193.0,204.128.197.255,business,US, 
204.128.198.0,204.128.198.255,business,US,AS396299 
204.128.199.0,204.128.199.255,business,US, 
204.128.200.0,204.128.200.255,isp,US, 
204.128.201.0,204.128.203.255,business,US, 
204.128.204.0,204.128.204.255,education,US,AS3356 
204.128.205.0,204.128.207.255,business,US, 
204.128.208.0,204.128.208.255,hosting,US,AS11915 
204.128.209.0,204.128.209.255,business,US, 
204.128.210.0,204.128.210.255,isp,US,AS30334 
204.128.211.0,204.128.216.255,business,US, 
204.128.217.0,204.128.217.255,education,US,AS600 
204.128.218.0,204.128.219.255,business,US, 
204.128.220.0,204.128.220.255,business,US,AS62642 
204.128.221.0,204.128.221.255,education,US, 
204.128.222.0,204.128.222.255,business,US,AS11272 
204.128.223.0,204.128.225.255,business,US, 
204.128.226.0,204.128.226.255,business,US,AS7018 
204.128.227.0,204.128.228.255,business,US, 
204.128.229.0,204.128.229.255,education,US, 
204.128.230.0,204.128.230.255,business,US, 
204.128.231.0,204.128.231.255,education,US, 
204.128.232.0,204.128.232.255,hosting,US,AS11823 
204.128.233.0,204.128.238.255,business,US,AS2381 
204.128.239.0,204.128.239.255,business,US, 
204.128.240.0,204.128.242.255,business,US,AS2381 
204.128.243.0,204.128.243.255,business,US,AS14034 
204.128.244.0,204.128.244.255,education,US, 
204.128.245.0,204.128.247.255,business,US, 
204.128.248.0,204.128.248.255,isp,US, 
204.128.250.0,204.128.250.255,hosting,US,AS3361 
204.128.251.0,204.128.251.255,business,US, 
204.128.252.0,204.128.252.255,hosting,US,AS11767 
204.128.253.0,204.128.253.255,education,US, 
204.128.254.0,204.128.255.255,business,US, 
