204.108.0.0,204.108.10.255,government,US 
204.108.11.0,204.108.31.255,business,US 
204.108.32.0,204.108.63.255,hosting,US 
204.108.64.0,204.108.127.255,education,US 
204.108.128.0,204.108.128.255,isp,US 
204.108.129.0,204.108.129.255,business,US 
204.108.130.0,204.108.130.255,isp,US 
204.108.131.0,204.108.131.255,business,US 
204.108.132.0,204.108.147.255,isp,US 
204.108.148.0,204.108.148.255,education,US 
204.108.149.0,204.108.149.255,isp,US 
204.108.150.0,204.108.151.255,education,US 
204.108.152.0,204.108.158.127,isp,US 
204.108.158.128,204.108.158.191,education,US 
204.108.158.192,204.108.159.255,isp,US 
204.108.160.0,204.108.161.255,government,US 
204.108.162.0,204.108.165.255,education,US 
204.108.166.0,204.108.171.255,government,US 
204.108.172.0,204.108.189.255,education,US 
204.108.190.0,204.108.191.255,government,US 
204.108.192.0,204.108.192.255,isp,US 
204.108.193.0,204.108.197.255,education,US 
204.108.198.0,204.108.198.255,isp,US 
204.108.199.0,204.108.200.255,education,US 
204.108.201.0,204.108.211.255,isp,US 
204.108.212.0,204.108.212.255,education,US 
204.108.213.0,204.108.229.255,isp,US 
204.108.230.0,204.108.231.255,education,US 
204.108.232.0,204.108.237.63,isp,US 
204.108.237.64,204.108.237.79,education,US 
204.108.237.80,204.108.237.191,isp,US 
204.108.237.192,204.108.237.207,business,US 
204.108.237.208,204.108.237.223,education,US 
204.108.237.224,204.108.243.255,isp,US 
204.108.244.0,204.108.247.255,education,US 
204.108.248.0,204.108.248.255,business,US 
204.108.249.0,204.108.249.255,education,US 
204.108.250.0,204.108.250.255,isp,US 
204.108.251.0,204.108.251.255,education,US 
204.108.252.0,204.108.252.255,government,US 
204.108.253.0,204.108.255.255,isp,US 
