204.130.0.0,204.130.7.255,hosting,US,AS30283 
204.130.8.0,204.130.15.255,business,US,AS395519 
204.130.16.0,204.130.63.255,business,US, 
204.130.64.0,204.130.127.255,government,US,AS6527 
204.130.128.0,204.130.129.255,business,US, 
204.130.130.0,204.130.130.255,education,US,AS14767 
204.130.131.0,204.130.131.255,business,US, 
204.130.132.0,204.130.132.255,hosting,US,AS13367 
204.130.133.0,204.130.133.255,hosting,US,AS63311 
204.130.134.0,204.130.148.255,business,US, 
204.130.149.0,204.130.149.255,isp,US, 
204.130.150.0,204.130.153.255,business,US, 
204.130.154.0,204.130.154.255,education,US,AS36149 
204.130.155.0,204.130.155.255,education,US,AS20001 
204.130.156.0,204.130.156.255,education,US, 
204.130.157.0,204.130.157.255,business,US, 
204.130.158.0,204.130.158.255,hosting,US,AS16158 
204.130.159.0,204.130.166.255,business,US, 
204.130.167.0,204.130.167.255,business,CA, 
204.130.168.0,204.130.171.255,business,US, 
204.130.172.0,204.130.172.255,education,US,AS7018 
204.130.173.0,204.130.174.255,business,US, 
204.130.175.0,204.130.175.255,business,US,AS10835 
204.130.176.0,204.130.176.255,business,US,AS19009 
204.130.177.0,204.130.177.255,business,US, 
204.130.178.0,204.130.178.255,isp,US, 
204.130.179.0,204.130.179.255,business,US, 
204.130.180.0,204.130.180.255,business,US,AS26394 
204.130.181.0,204.130.181.255,business,US, 
204.130.182.0,204.130.182.255,isp,US, 
204.130.183.0,204.130.186.255,business,US, 
204.130.187.0,204.130.187.255,business,US,AS395982 
204.130.188.0,204.130.188.255,isp,US, 
204.130.189.0,204.130.190.255,business,US, 
204.130.191.0,204.130.191.255,government,US,AS749 
204.130.192.0,204.130.199.255,business,US, 
204.130.200.0,204.130.200.255,hosting,US,AS46887 
204.130.201.0,204.130.204.255,business,US, 
204.130.205.0,204.130.205.255,business,US,AS36092 
204.130.206.0,204.130.206.255,business,US, 
204.130.207.0,204.130.207.255,education,US, 
204.130.208.0,204.130.208.255,business,US, 
204.130.209.0,204.130.209.239,isp,US,AS11071 
204.130.209.240,204.130.209.255,isp,,AS11071 
204.130.210.0,204.130.210.255,isp,US, 
204.130.211.0,204.130.213.255,business,US, 
204.130.214.0,204.130.214.255,hosting,US,AS32440 
204.130.215.0,204.130.217.255,business,US, 
204.130.218.0,204.130.218.255,education,US, 
204.130.219.0,204.130.221.255,business,US, 
204.130.222.0,204.130.222.255,education,US, 
204.130.223.0,204.130.223.255,business,US, 
204.130.224.0,204.130.224.255,business,US,AS22773 
204.130.225.0,204.130.225.255,business,US, 
204.130.226.0,204.130.226.255,hosting,US,AS20352 
204.130.227.0,204.130.227.255,business,US, 
204.130.228.0,204.130.228.255,hosting,US,AS20352 
204.130.229.0,204.130.237.255,business,US, 
204.130.238.0,204.130.238.255,hosting,US,AS5693 
204.130.239.0,204.130.239.255,business,US, 
204.130.240.0,204.130.240.255,business,US,AS53262 
204.130.241.0,204.130.242.255,business,US, 
204.130.243.0,204.130.243.1,isp,US, 
204.130.243.2,204.130.243.255,business,US, 
204.130.244.0,204.130.244.255,hosting,US,AS394973 
204.130.245.0,204.130.248.255,business,US, 
204.130.249.0,204.130.249.255,education,US,AS14051 
204.130.250.0,204.130.252.255,business,US, 
204.130.253.0,204.130.253.255,business,US,AS8103 
204.130.254.0,204.130.254.255,business,US, 
204.130.255.0,204.130.255.255,hosting,US,AS7385 
