209.216.0.0,209.216.63.255,hosting,US,AS1069 
209.216.64.0,209.216.74.255,hosting,US,AS22549 
209.216.75.0,209.216.76.255,business,US,AS22549 
209.216.77.0,209.216.81.255,hosting,US,AS398779 
209.216.82.0,209.216.82.255,business,US,AS22549 
209.216.83.0,209.216.85.255,hosting,US,AS398779 
209.216.86.0,209.216.89.255,hosting,US,AS22549 
209.216.90.0,209.216.94.255,hosting,US,AS398779 
209.216.95.0,209.216.95.255,hosting,US,AS22549 
209.216.96.0,209.216.127.255,isp,CA,AS394710 
209.216.128.0,209.216.136.255,isp,CA,AS6407 
209.216.137.0,209.216.137.255,isp,CA,AS812 
209.216.138.0,209.216.159.255,isp,CA,AS6407 
209.216.160.0,209.216.163.208,isp,US,AS11233 
209.216.163.209,209.216.163.224,business,US,AS11233 
209.216.163.225,209.216.164.23,isp,US,AS11233 
209.216.164.24,209.216.164.47,business,US,AS11233 
209.216.164.48,209.216.164.63,isp,US,AS11233 
209.216.164.64,209.216.164.79,business,US,AS11233 
209.216.164.80,209.216.164.95,isp,US,AS11233 
209.216.164.96,209.216.164.127,business,US,AS11233 
209.216.164.128,209.216.164.151,isp,US,AS11233 
209.216.164.152,209.216.164.159,business,US,AS11233 
209.216.164.160,209.216.164.191,isp,US,AS11233 
209.216.164.192,209.216.164.207,business,US,AS11233 
209.216.164.208,209.216.164.215,isp,US,AS11233 
209.216.164.216,209.216.164.223,business,US,AS11233 
209.216.164.224,209.216.175.255,isp,US,AS11233 
209.216.176.0,209.216.176.7,business,US,AS11233 
209.216.176.8,209.216.176.23,isp,US,AS11233 
209.216.176.24,209.216.176.39,business,US,AS11233 
209.216.176.40,209.216.176.47,isp,US,AS11233 
209.216.176.48,209.216.176.55,business,US,AS11233 
209.216.176.56,209.216.176.63,isp,US,AS11233 
209.216.176.64,209.216.176.79,business,US,AS11233 
209.216.176.80,209.216.176.95,isp,US,AS11233 
209.216.176.96,209.216.176.103,business,US,AS11233 
209.216.176.104,209.216.188.31,isp,US,AS11233 
209.216.188.32,209.216.188.39,business,US,AS11233 
209.216.188.40,209.216.191.255,isp,US,AS11233 
209.216.192.0,209.216.194.255,hosting,US,AS11320 
209.216.195.0,209.216.195.31,hosting,,AS11320 
209.216.195.32,209.216.195.63,hosting,US,AS11320 
209.216.195.64,209.216.195.95,hosting,,AS11320 
209.216.195.96,209.216.197.255,hosting,US,AS11320 
209.216.198.0,209.216.198.255,business,US,AS11320 
209.216.199.0,209.216.199.255,hosting,,AS11320 
209.216.200.0,209.216.200.63,hosting,US,AS11320 
