209.134.0.0,209.134.0.255,business,US 
209.134.1.0,209.134.19.255,isp,US 
209.134.20.0,209.134.20.255,business,US 
209.134.21.0,209.134.47.255,isp,US 
209.134.48.0,209.134.63.255,hosting,US 
209.134.64.0,209.134.127.255,business,US 
209.134.128.0,209.134.128.127,isp,US 
209.134.128.128,209.134.128.255,business,US 
209.134.129.0,209.134.129.255,hosting,US 
209.134.130.0,209.134.130.95,isp,US 
209.134.130.96,209.134.130.143,hosting,US 
209.134.130.144,209.134.131.46,isp,US 
209.134.131.47,209.134.131.55,hosting,US 
209.134.131.56,209.134.131.95,isp,US 
209.134.131.96,209.134.131.119,hosting,US 
209.134.131.120,209.134.131.127,isp,US 
209.134.131.128,209.134.131.223,hosting,US 
209.134.131.224,209.134.131.231,isp,US 
209.134.131.232,209.134.131.247,hosting,US 
209.134.131.248,209.134.132.159,isp,US 
209.134.132.160,209.134.132.191,hosting,US 
209.134.132.192,209.134.134.63,isp,US 
209.134.134.64,209.134.134.127,business,US 
209.134.134.128,209.134.134.135,isp,US 
209.134.134.136,209.134.134.143,business,US 
209.134.134.144,209.134.134.151,hosting,US 
209.134.134.152,209.134.134.159,isp,US 
209.134.134.160,209.134.134.167,business,US 
209.134.134.168,209.134.135.55,isp,US 
209.134.135.56,209.134.135.63,business,US 
209.134.135.64,209.134.135.175,isp,US 
209.134.135.176,209.134.135.183,business,US 
209.134.135.184,209.134.135.223,isp,US 
209.134.135.224,209.134.135.231,business,US 
209.134.135.232,209.134.135.239,isp,US 
209.134.135.240,209.134.135.247,business,US 
209.134.135.248,209.134.135.255,isp,US 
209.134.136.0,209.134.136.31,business,US 
209.134.136.32,209.134.136.63,isp,US 
209.134.136.64,209.134.136.95,hosting,US 
209.134.136.96,209.134.136.127,isp,US 
209.134.136.128,209.134.136.159,business,US 
209.134.136.160,209.134.136.191,hosting,US 
209.134.136.192,209.134.136.223,isp,US 
209.134.136.224,209.134.137.255,hosting,US 
209.134.138.0,209.134.138.127,business,US 
209.134.138.128,209.134.138.167,isp,US 
209.134.138.168,209.134.138.175,hosting,US 
209.134.138.176,209.134.138.255,isp,US 
209.134.139.0,209.134.139.255,business,US 
209.134.140.0,209.134.140.15,hosting,US 
209.134.140.16,209.134.140.31,isp,US 
209.134.140.32,209.134.140.39,business,US 
209.134.140.40,209.134.140.47,isp,US 
209.134.140.48,209.134.140.55,hosting,US 
209.134.140.56,209.134.140.63,business,US 
209.134.140.64,209.134.140.79,isp,US 
209.134.140.80,209.134.140.87,business,US 
209.134.140.88,209.134.140.95,hosting,US 
209.134.140.96,209.134.140.103,isp,US 
209.134.140.104,209.134.140.111,business,US 
209.134.140.112,209.134.140.119,isp,US 
209.134.140.120,209.134.140.127,hosting,US 
209.134.140.128,209.134.140.135,business,US 
209.134.140.136,209.134.140.143,isp,US 
209.134.140.144,209.134.140.199,business,US 
209.134.140.200,209.134.140.215,isp,US 
209.134.140.216,209.134.140.223,business,US 
209.134.140.224,209.134.140.231,isp,US 
209.134.140.232,209.134.140.239,business,US 
209.134.140.240,209.134.141.7,isp,US 
209.134.141.8,209.134.141.23,hosting,US 
209.134.141.24,209.134.141.55,isp,US 
209.134.141.56,209.134.141.63,hosting,US 
209.134.141.64,209.134.141.87,isp,US 
209.134.141.88,209.134.141.95,hosting,US 
209.134.141.96,209.134.141.159,isp,US 
209.134.141.160,209.134.141.167,hosting,US 
209.134.141.168,209.134.141.247,isp,US 
209.134.141.248,209.134.141.255,hosting,US 
209.134.142.0,209.134.142.15,isp,US 
209.134.142.16,209.134.142.23,business,US 
209.134.142.24,209.134.142.31,isp,US 
209.134.142.32,209.134.142.79,business,US 
209.134.142.80,209.134.142.119,isp,US 
209.134.142.120,209.134.142.127,business,US 
209.134.142.128,209.134.142.191,isp,US 
209.134.142.192,209.134.142.255,business,US 
209.134.143.0,209.134.143.7,isp,US 
209.134.143.8,209.134.143.23,business,US 
209.134.143.24,209.134.143.47,isp,US 
209.134.143.48,209.134.143.63,business,US 
209.134.143.64,209.134.143.127,hosting,US 
209.134.143.128,209.134.143.255,isp,US 
209.134.144.0,209.134.144.255,hosting,US 
209.134.145.0,209.134.145.31,business,US 
209.134.145.32,209.134.145.47,isp,US 
209.134.145.48,209.134.145.55,hosting,US 
209.134.145.56,209.134.145.111,isp,US 
209.134.145.112,209.134.145.119,business,US 
209.134.145.120,209.134.145.127,isp,US 
209.134.145.128,209.134.145.191,business,US 
209.134.145.192,209.134.148.31,isp,US 
209.134.148.32,209.134.148.71,hosting,US 
209.134.148.72,209.134.150.11,isp,US 
209.134.150.12,209.134.150.15,hosting,US 
209.134.150.16,209.134.150.31,isp,US 
209.134.150.32,209.134.150.63,hosting,US 
209.134.150.64,209.134.150.79,isp,US 
209.134.150.80,209.134.150.87,hosting,US 
209.134.150.88,209.134.150.103,isp,US 
209.134.150.104,209.134.150.111,hosting,US 
209.134.150.112,209.134.150.127,isp,US 
209.134.150.128,209.134.150.255,hosting,US 
209.134.151.0,209.134.151.255,business,US 
209.134.152.0,209.134.152.127,hosting,US 
209.134.152.128,209.134.152.255,isp,US 
209.134.153.0,209.134.153.127,business,US 
209.134.153.128,209.134.154.127,isp,US 
209.134.154.128,209.134.154.151,hosting,US 
209.134.154.152,209.134.154.191,isp,US 
209.134.154.192,209.134.154.255,hosting,US 
209.134.155.0,209.134.155.255,isp,US 
209.134.156.0,209.134.156.63,business,US 
209.134.156.64,209.134.156.95,isp,US 
209.134.156.96,209.134.156.111,business,US 
209.134.156.112,209.134.156.127,isp,US 
209.134.156.128,209.134.156.143,business,US 
209.134.156.144,209.134.156.255,isp,US 
209.134.157.0,209.134.157.255,hosting,US 
209.134.158.0,209.134.159.15,business,US 
209.134.159.16,209.134.159.31,isp,US 
209.134.159.32,209.134.159.63,business,US 
209.134.159.64,209.134.159.191,isp,US 
209.134.159.192,209.134.159.199,hosting,US 
209.134.159.200,209.134.159.255,isp,US 
209.134.160.0,209.134.255.255,business,US 
