209.244.0.0,209.244.151.255,isp,US,AS3356 
209.244.152.0,209.244.153.255,hosting,US,AS14454 
209.244.154.0,209.244.157.15,isp,US,AS3356 
209.244.157.16,209.244.157.23,business,US,AS3356 
209.244.157.24,209.244.157.31,isp,US,AS3356 
209.244.157.32,209.244.157.39,business,US,AS3356 
209.244.157.40,209.244.157.63,isp,US,AS3356 
209.244.157.64,209.244.157.71,business,US,AS3356 
209.244.157.72,209.244.158.191,isp,US,AS3356 
209.244.158.192,209.244.158.199,business,US,AS3356 
209.244.158.200,209.244.158.223,isp,US,AS3356 
209.244.158.224,209.244.158.231,business,US,AS3356 
209.244.158.232,209.244.158.255,isp,US,AS3356 
209.244.159.0,209.244.159.7,business,US,AS3356 
209.244.159.8,209.244.159.31,isp,US,AS3356 
209.244.159.32,209.244.159.39,business,US,AS3356 
209.244.159.40,209.244.165.255,isp,US,AS3356 
209.244.166.0,209.244.167.255,business,US,AS3356 
209.244.168.0,209.244.200.255,isp,US,AS3356 
209.244.201.0,209.244.201.255,business,US,AS3356 
209.244.202.0,209.244.202.255,isp,US,AS3356 
209.244.203.0,209.244.203.255,business,US,AS3356 
209.244.204.0,209.244.215.255,isp,US,AS3356 
209.244.216.0,209.244.216.255,education,US,AS3356 
209.244.217.0,209.244.249.255,isp,US,AS3356 
209.244.250.0,209.244.255.255,business,US,AS3356 
