209.107.0.0,209.107.77.255,isp,US,AS2914 
209.107.78.0,209.107.79.255,business,US,AS2914 
209.107.80.0,209.107.95.255,isp,US,AS2914 
209.107.96.0,209.107.127.255,isp,CA,AS852 
209.107.128.0,209.107.139.255,business,US,AS397178 
209.107.140.0,209.107.143.255,business,JP,AS152858 
209.107.144.0,209.107.159.255,isp,US,AS55044 
209.107.160.0,209.107.175.255,business,US,AS21960 
209.107.176.0,209.107.191.255,hosting,US,AS36492 
209.107.192.0,209.107.195.255,business,US, 
209.107.196.0,209.107.196.255,hosting,UA,AS62651 
209.107.197.0,209.107.215.255,business,US, 
209.107.216.0,209.107.216.127,hosting,ES,AS62651 
209.107.216.128,209.107.216.191,hosting,DZ,AS62651 
209.107.216.192,209.107.216.255,hosting,MA,AS62651 
209.107.217.0,209.107.218.255,business,US, 
209.107.219.0,209.107.219.255,hosting,US,AS46253 
209.107.220.0,209.107.223.255,business,US, 
209.107.224.0,209.107.238.255,isp,US,AS5742 
209.107.239.0,209.107.239.255,business,US,AS5742 
209.107.240.0,209.107.240.255,isp,US,AS5742 
209.107.241.0,209.107.241.255,business,US,AS5742 
209.107.242.0,209.107.242.255,isp,US,AS5742 
209.107.243.0,209.107.243.255,business,US,AS5742 
209.107.244.0,209.107.248.255,isp,US,AS5742 
209.107.249.0,209.107.252.255,business,US,AS5742 
209.107.253.0,209.107.255.255,isp,US,AS5742 
