209.195.0.0,209.195.63.255,hosting,US 
209.195.64.0,209.195.127.255,isp,CA 
209.195.128.0,209.195.191.255,isp,US 
209.195.192.0,209.195.215.255,business,US 
209.195.216.0,209.195.223.255,isp,US 
209.195.224.0,209.195.235.255,business,US 
209.195.236.0,209.195.236.63,isp,US 
209.195.236.64,209.195.247.255,business,US 
209.195.248.0,209.195.248.151,isp,CA 
209.195.248.152,209.195.248.155,education,CA 
209.195.248.156,209.195.249.19,isp,CA 
209.195.249.20,209.195.249.23,education,CA 
209.195.249.24,209.195.249.47,isp,CA 
209.195.249.48,209.195.249.51,education,CA 
209.195.249.52,209.195.249.183,isp,CA 
209.195.249.184,209.195.249.187,education,CA 
209.195.249.188,209.195.249.203,isp,CA 
209.195.249.204,209.195.249.207,education,CA 
209.195.249.208,209.195.250.43,isp,CA 
209.195.250.44,209.195.250.47,education,CA 
209.195.250.48,209.195.250.115,isp,CA 
209.195.250.116,209.195.250.119,education,CA 
209.195.250.120,209.195.250.135,isp,CA 
209.195.250.136,209.195.250.139,education,CA 
209.195.250.140,209.195.252.95,isp,CA 
209.195.252.96,209.195.252.99,education,CA 
209.195.252.100,209.195.252.119,isp,CA 
209.195.252.120,209.195.252.123,education,CA 
209.195.252.124,209.195.252.139,isp,CA 
209.195.252.140,209.195.252.143,education,CA 
209.195.252.144,209.195.252.147,isp,CA 
209.195.252.148,209.195.252.151,education,CA 
209.195.252.152,209.195.252.179,isp,CA 
209.195.252.180,209.195.252.183,education,CA 
209.195.252.184,209.195.255.255,isp,CA 
