209.163.0.0,209.163.63.255,isp,US, 
209.163.64.0,209.163.95.255,isp,CA,AS15128 
209.163.96.0,209.163.97.255,hosting,US,AS16509 
209.163.98.0,209.163.99.255,business,US,AS17210 
209.163.100.0,209.163.103.255,hosting,US,AS14135 
209.163.104.0,209.163.104.255,isp,US,AS14390 
209.163.105.0,209.163.105.255,business,US, 
209.163.106.0,209.163.106.255,isp,US,AS32845 
209.163.107.0,209.163.107.255,hosting,US,AS22611 
209.163.108.0,209.163.109.255,isp,US,AS14390 
209.163.110.0,209.163.111.255,isp,US,AS393240 
209.163.112.0,209.163.112.255,business,US,AS399149 
209.163.113.0,209.163.113.255,isp,US,AS14390 
209.163.114.0,209.163.114.255,business,US, 
209.163.115.0,209.163.115.255,hosting,CA,AS15067 
209.163.116.0,209.163.119.255,business,US,AS7018 
209.163.128.0,209.163.128.255,isp,US,AS3549 
209.163.129.0,209.163.129.255,business,US,AS3549 
209.163.130.0,209.163.130.255,isp,US,AS3549 
209.163.131.0,209.163.131.255,business,US,AS3549 
209.163.132.0,209.163.135.255,isp,US,AS3549 
209.163.136.0,209.163.136.255,business,US,AS11942 
209.163.137.0,209.163.137.175,isp,US,AS11942 
209.163.137.176,209.163.137.191,business,US,AS11942 
209.163.137.192,209.163.137.255,isp,US,AS11942 
209.163.138.0,209.163.139.255,business,US,AS11942 
209.163.140.0,209.163.148.31,isp,US,AS3549 
209.163.148.32,209.163.148.47,business,US,AS3549 
209.163.148.48,209.163.150.255,isp,US,AS3549 
209.163.151.0,209.163.151.255,business,US,AS3356 
209.163.152.0,209.163.153.95,business,US,AS11942 
209.163.153.96,209.163.153.127,education,US,AS11942 
209.163.153.128,209.163.153.255,business,US,AS11942 
209.163.154.0,209.163.154.255,hosting,US,AS11942 
209.163.155.0,209.163.155.255,business,US,AS11942 
209.163.156.0,209.163.159.255,isp,US,AS3549 
209.163.160.0,209.163.160.255,isp,US,AS26831 
209.163.161.0,209.163.161.15,business,US,AS3549 
209.163.161.16,209.163.161.95,isp,US,AS3549 
209.163.161.96,209.163.161.111,business,US,AS3549 
209.163.161.112,209.163.165.63,isp,US,AS3549 
209.163.165.64,209.163.165.71,education,US,AS3549 
209.163.165.72,209.163.166.255,isp,US,AS3549 
209.163.167.0,209.163.167.127,business,US,AS3549 
209.163.167.128,209.163.168.191,isp,US,AS3549 
209.163.168.192,209.163.170.255,business,US,AS3549 
