209.212.0.0,209.212.31.255,government,US,AS21669 
209.212.32.0,209.212.47.255,isp,US,AS20283 
209.212.48.0,209.212.63.255,isp,US,AS63270 
209.212.64.0,209.212.69.255,hosting,US,AS22702 
209.212.70.0,209.212.70.255,business,US,AS14740 
209.212.71.0,209.212.95.255,hosting,US,AS22702 
209.212.96.0,209.212.96.255,isp,ZA,AS16637 
209.212.97.0,209.212.97.159,business,ZA,AS16637 
209.212.97.160,209.212.97.167,isp,ZA,AS16637 
209.212.97.168,209.212.98.7,business,ZA,AS16637 
209.212.98.8,209.212.98.31,isp,ZA,AS16637 
209.212.98.32,209.212.99.59,business,ZA,AS16637 
209.212.99.60,209.212.99.63,isp,ZA,AS16637 
209.212.99.64,209.212.99.91,business,ZA,AS16637 
209.212.99.92,209.212.99.95,isp,ZA,AS16637 
209.212.99.96,209.212.99.143,business,ZA,AS16637 
209.212.99.144,209.212.99.147,isp,ZA,AS16637 
209.212.99.148,209.212.100.127,business,ZA,AS16637 
209.212.100.128,209.212.100.159,isp,ZA,AS16637 
209.212.100.160,209.212.102.67,business,ZA,AS16637 
209.212.102.68,209.212.102.71,isp,ZA,AS16637 
209.212.102.72,209.212.102.111,business,ZA,AS16637 
209.212.102.112,209.212.102.115,isp,ZA,AS16637 
209.212.102.116,209.212.102.183,business,ZA,AS16637 
209.212.102.184,209.212.102.191,isp,ZA,AS16637 
209.212.102.192,209.212.102.250,business,ZA,AS16637 
209.212.102.251,209.212.102.251,isp,ZA,AS16637 
209.212.102.252,209.212.103.87,business,ZA,AS16637 
209.212.103.88,209.212.103.95,isp,ZA,AS16637 
209.212.103.96,209.212.103.244,business,ZA,AS16637 
209.212.103.245,209.212.104.31,isp,ZA,AS16637 
209.212.104.32,209.212.104.199,business,ZA,AS16637 
209.212.104.200,209.212.104.207,isp,ZA,AS16637 
209.212.104.208,209.212.105.15,business,ZA,AS16637 
209.212.105.16,209.212.105.23,isp,ZA,AS16637 
209.212.105.24,209.212.105.175,business,ZA,AS16637 
209.212.105.176,209.212.105.191,isp,ZA,AS16637 
209.212.105.192,209.212.106.111,business,ZA,AS16637 
209.212.106.112,209.212.106.119,isp,ZA,AS16637 
209.212.106.120,209.212.106.175,business,ZA,AS16637 
209.212.106.176,209.212.106.179,isp,ZA,AS16637 
209.212.106.180,209.212.106.219,business,ZA,AS16637 
209.212.106.220,209.212.106.223,isp,ZA,AS16637 
209.212.106.224,209.212.107.119,business,ZA,AS16637 
209.212.107.120,209.212.107.127,isp,ZA,AS16637 
209.212.107.128,209.212.107.255,business,ZA,AS16637 
209.212.108.0,209.212.108.7,isp,ZA,AS16637 
209.212.108.8,209.212.110.159,business,ZA,AS16637 
209.212.110.160,209.212.110.191,isp,ZA,AS16637 
209.212.110.192,209.212.112.111,business,ZA,AS16637 
209.212.112.112,209.212.112.119,isp,ZA,AS16637 
209.212.112.120,209.212.114.166,business,ZA,AS16637 
209.212.114.167,209.212.114.167,isp,ZA,AS16637 
209.212.114.168,209.212.114.186,business,ZA,AS16637 
209.212.114.187,209.212.114.187,isp,ZA,AS16637 
209.212.114.188,209.212.114.207,business,ZA,AS16637 
209.212.114.208,209.212.114.208,isp,ZA,AS16637 
