209.137.0.0,209.137.5.255,isp,US,AS11437 
209.137.6.0,209.137.9.255,business,US, 
209.137.10.0,209.137.56.255,isp,US,AS11437 
209.137.57.0,209.137.58.255,business,US, 
209.137.59.0,209.137.95.255,isp,US,AS11437 
209.137.96.0,209.137.100.255,business,US, 
209.137.101.0,209.137.127.255,isp,US,AS11437 
209.137.128.0,209.137.130.255,business,US,AS4459 
209.137.131.0,209.137.131.255,hosting,US,AS4459 
209.137.132.0,209.137.133.31,business,US,AS4459 
209.137.133.32,209.137.133.47,hosting,US,AS4459 
209.137.133.48,209.137.133.63,business,US,AS4459 
209.137.133.64,209.137.133.127,hosting,US,AS4459 
209.137.133.128,209.137.133.191,business,US,AS4459 
209.137.133.192,209.137.133.207,hosting,US,AS4459 
209.137.133.208,209.137.134.47,business,US,AS4459 
209.137.134.48,209.137.134.63,hosting,US,AS4459 
209.137.134.64,209.137.134.95,business,US,AS4459 
209.137.134.96,209.137.134.127,hosting,US,AS4459 
209.137.134.128,209.137.134.255,business,US,AS4459 
209.137.135.0,209.137.135.63,hosting,US,AS4459 
209.137.135.64,209.137.135.79,business,US,AS4459 
209.137.135.80,209.137.135.127,hosting,US,AS4459 
209.137.135.128,209.137.135.143,business,US,AS4459 
209.137.135.144,209.137.135.159,hosting,US,AS4459 
209.137.135.160,209.137.135.175,business,US,AS4459 
209.137.135.176,209.137.135.191,hosting,US,AS4459 
209.137.135.192,209.137.135.255,business,US,AS4459 
209.137.136.0,209.137.137.255,hosting,US,AS4459 
209.137.138.0,209.137.138.87,business,US,AS4459 
209.137.138.88,209.137.138.95,hosting,US,AS4459 
209.137.138.96,209.137.138.167,business,US,AS4459 
209.137.138.168,209.137.138.175,hosting,US,AS4459 
209.137.138.176,209.137.140.63,business,US,AS4459 
209.137.140.64,209.137.140.79,hosting,US,AS4459 
209.137.140.80,209.137.140.95,business,US,AS4459 
209.137.140.96,209.137.140.127,hosting,US,AS4459 
209.137.140.128,209.137.140.159,business,US,AS4459 
209.137.140.160,209.137.140.175,hosting,US,AS4459 
209.137.140.176,209.137.140.191,business,US,AS4459 
209.137.140.192,209.137.140.207,hosting,US,AS4459 
209.137.140.208,209.137.140.223,business,US,AS4459 
209.137.140.224,209.137.140.239,business,KR,AS4459 
209.137.140.240,209.137.141.31,business,US,AS4459 
209.137.141.32,209.137.141.55,hosting,US,AS4459 
209.137.141.56,209.137.141.95,business,US,AS4459 
209.137.141.96,209.137.141.103,hosting,US,AS4459 
209.137.141.104,209.137.141.111,business,US,AS4459 
209.137.141.112,209.137.141.119,hosting,US,AS4459 
209.137.141.120,209.137.141.127,business,US,AS4459 
209.137.141.128,209.137.141.143,hosting,US,AS4459 
209.137.141.144,209.137.141.159,business,US,AS4459 
209.137.141.160,209.137.141.191,hosting,US,AS4459 
209.137.141.192,209.137.141.207,business,US,AS4459 
209.137.141.208,209.137.141.223,hosting,US,AS4459 
209.137.141.224,209.137.141.239,business,US,AS4459 
209.137.141.240,209.137.141.255,hosting,US,AS4459 
209.137.142.0,209.137.142.15,business,US,AS4459 
209.137.142.16,209.137.142.23,hosting,US,AS4459 
209.137.142.24,209.137.142.111,business,US,AS4459 
209.137.142.112,209.137.142.119,hosting,US,AS4459 
209.137.142.120,209.137.142.127,business,US,AS4459 
209.137.142.128,209.137.142.151,hosting,US,AS4459 
209.137.142.152,209.137.142.159,business,US,AS4459 
209.137.142.160,209.137.142.191,hosting,US,AS4459 
209.137.142.192,209.137.142.207,business,US,AS4459 
209.137.142.208,209.137.142.223,hosting,US,AS4459 
209.137.142.224,209.137.142.255,isp,US,AS4459 
209.137.143.0,209.137.143.7,hosting,US,AS4459 
209.137.143.8,209.137.143.15,business,US,AS4459 
209.137.143.16,209.137.143.31,hosting,US,AS4459 
209.137.143.32,209.137.143.47,business,US,AS4459 
209.137.143.48,209.137.143.79,hosting,US,AS4459 
209.137.143.80,209.137.143.103,business,US,AS4459 
209.137.143.104,209.137.143.111,hosting,US,AS4459 
209.137.143.112,209.137.143.255,business,US,AS4459 
