209.150.0.0,209.150.31.255,business,US,AS25612 
209.150.32.0,209.150.63.255,isp,US,AS6079 
209.150.64.0,209.150.71.255,isp,US,AS3549 
209.150.72.0,209.150.73.255,business,US,AS3549 
209.150.74.0,209.150.75.255,isp,US,AS3549 
209.150.76.0,209.150.77.255,isp,US,AS26421 
209.150.78.0,209.150.78.255,government,US,AS26402 
209.150.79.0,209.150.86.143,isp,US,AS3549 
209.150.86.144,209.150.86.159,business,US,AS3549 
209.150.86.160,209.150.95.255,isp,US,AS3549 
209.150.96.0,209.150.104.15,isp,US,AS7055 
209.150.104.16,209.150.104.31,business,US,AS7055 
209.150.104.32,209.150.104.127,isp,US,AS7055 
209.150.104.128,209.150.104.191,business,US,AS7055 
209.150.104.192,209.150.105.255,isp,US,AS7055 
209.150.106.0,209.150.106.255,business,US,AS7055 
209.150.107.0,209.150.110.127,isp,US,AS7055 
209.150.110.128,209.150.110.255,business,US,AS7055 
209.150.111.0,209.150.119.255,isp,US,AS7055 
209.150.120.0,209.150.120.255,business,US,AS7055 
209.150.121.0,209.150.127.255,isp,US,AS7055 
209.150.128.0,209.150.143.255,government,US,AS29734 
209.150.144.0,209.150.151.255,isp,PK,AS138423 
209.150.152.0,209.150.159.255,isp,PK,AS59257 
209.150.160.0,209.150.162.255,business,US,AS6939 
209.150.163.0,209.150.163.255,hosting,US,AS5081 
209.150.164.0,209.150.164.31,isp,US,AS6939 
209.150.164.32,209.150.164.95,business,US,AS6939 
209.150.164.96,209.150.164.127,education,US,AS6939 
209.150.164.128,209.150.164.191,isp,US,AS6939 
209.150.164.192,209.150.167.255,business,US,AS6939 
209.150.168.0,209.150.168.255,isp,US,AS6939 
209.150.169.0,209.150.171.95,business,US,AS6939 
209.150.171.96,209.150.171.127,education,US,AS6939 
209.150.171.128,209.150.175.255,business,US,AS6939 
209.150.176.0,209.150.176.127,isp,US,AS6939 
209.150.176.128,209.150.177.63,business,US,AS6939 
209.150.177.64,209.150.177.191,isp,US,AS6939 
209.150.177.192,209.150.179.31,business,US,AS6939 
209.150.179.32,209.150.179.62,isp,US,AS6939 
209.150.179.63,209.150.179.95,business,US,AS6939 
209.150.179.96,209.150.179.126,isp,US,AS6939 
209.150.179.127,209.150.179.127,business,US,AS6939 
209.150.179.128,209.150.179.158,isp,US,AS6939 
209.150.179.159,209.150.179.255,business,US,AS6939 
209.150.180.0,209.150.180.30,isp,US,AS6939 
209.150.180.31,209.150.180.63,business,US,AS6939 
209.150.180.64,209.150.180.95,isp,US,AS6939 
209.150.180.96,209.150.180.159,business,US,AS6939 
209.150.180.160,209.150.180.223,isp,US,AS6939 
209.150.180.224,209.150.180.255,business,US,AS6939 
209.150.181.0,209.150.181.31,isp,US,AS6939 
209.150.181.32,209.150.181.255,business,US,AS6939 
209.150.182.0,209.150.182.255,isp,US,AS6939 
209.150.183.0,209.150.184.255,business,US,AS6939 
