209.160.0.0,209.160.15.255,hosting,US 
209.160.16.0,209.160.19.255,isp,US 
209.160.20.0,209.160.79.255,hosting,US 
209.160.80.0,209.160.95.255,business,US 
209.160.96.0,209.160.104.255,hosting,US 
209.160.105.0,209.160.105.255,government,US 
209.160.106.0,209.160.107.255,business,US 
209.160.108.0,209.160.108.255,isp,US 
209.160.109.0,209.160.109.255,business,US 
209.160.110.0,209.160.111.255,isp,US 
209.160.112.0,209.160.129.255,hosting,US 
209.160.130.0,209.160.130.31,business,US 
209.160.130.32,209.160.132.15,hosting,US 
209.160.132.16,209.160.132.31,business,US 
209.160.132.32,209.160.132.63,hosting,US 
209.160.132.64,209.160.132.95,business,US 
209.160.132.96,209.160.132.127,hosting,US 
209.160.132.128,209.160.133.255,business,US 
209.160.134.0,209.160.134.7,hosting,US 
209.160.134.8,209.160.134.15,business,US 
209.160.134.16,209.160.134.79,hosting,US 
209.160.134.80,209.160.134.87,business,US 
209.160.134.88,209.160.134.111,hosting,US 
209.160.134.112,209.160.134.127,business,US 
209.160.134.128,209.160.135.47,hosting,US 
209.160.135.48,209.160.135.55,education,US 
209.160.135.56,209.160.135.63,hosting,US 
209.160.135.64,209.160.135.79,education,US 
209.160.135.80,209.160.135.87,hosting,US 
209.160.135.88,209.160.135.95,business,US 
209.160.135.96,209.160.135.191,hosting,US 
209.160.135.192,209.160.135.223,business,US 
209.160.135.224,209.160.135.239,hosting,US 
209.160.135.240,209.160.135.255,business,US 
209.160.136.0,209.160.136.15,hosting,US 
209.160.136.16,209.160.136.19,business,US 
209.160.136.20,209.160.136.23,hosting,US 
209.160.136.24,209.160.136.31,business,US 
209.160.136.32,209.160.136.63,hosting,US 
209.160.136.64,209.160.136.79,business,US 
209.160.136.80,209.160.136.119,hosting,US 
209.160.136.120,209.160.136.127,business,US 
209.160.136.128,209.160.137.63,hosting,US 
209.160.137.64,209.160.137.79,business,US 
209.160.137.80,209.160.137.87,hosting,US 
209.160.137.88,209.160.137.95,business,US 
209.160.137.96,209.160.137.103,hosting,US 
209.160.137.104,209.160.137.111,business,US 
209.160.137.112,209.160.137.151,hosting,US 
209.160.137.152,209.160.137.159,business,US 
209.160.137.160,209.160.137.215,hosting,US 
209.160.137.216,209.160.137.223,business,US 
209.160.137.224,209.160.137.247,hosting,US 
209.160.137.248,209.160.137.255,business,US 
209.160.138.0,209.160.138.31,hosting,US 
209.160.138.32,209.160.138.39,business,US 
209.160.138.40,209.160.138.47,hosting,US 
209.160.138.48,209.160.138.55,business,US 
209.160.138.56,209.160.138.63,hosting,US 
209.160.138.64,209.160.138.119,business,US 
209.160.138.120,209.160.138.127,hosting,US 
209.160.138.128,209.160.138.135,business,US 
209.160.138.136,209.160.138.151,hosting,US 
209.160.138.152,209.160.138.159,business,US 
209.160.138.160,209.160.138.191,hosting,US 
209.160.138.192,209.160.138.207,business,US 
209.160.138.208,209.160.138.223,hosting,US 
209.160.138.224,209.160.138.239,business,US 
209.160.138.240,209.160.139.31,hosting,US 
209.160.139.32,209.160.139.79,business,US 
209.160.139.80,209.160.139.95,hosting,US 
209.160.139.96,209.160.139.103,business,US 
209.160.139.104,209.160.139.159,hosting,US 
209.160.139.160,209.160.139.167,business,US 
209.160.139.168,209.160.139.191,hosting,US 
209.160.139.192,209.160.139.199,business,US 
209.160.139.200,209.160.139.223,hosting,US 
209.160.139.224,209.160.139.231,business,US 
