209.153.0.0,209.153.63.255,business,US,AS33491 
209.153.64.0,209.153.127.255,business,US,AS13654 
209.153.128.0,209.153.191.255,isp,US,AS7321 
209.153.192.0,209.153.200.7,business,CA,AS6461 
209.153.200.8,209.153.200.15,hosting,CA,AS6461 
209.153.200.16,209.153.221.63,business,CA,AS6461 
209.153.221.64,209.153.221.71,hosting,CA,AS6461 
209.153.221.72,209.153.232.255,business,CA,AS6461 
209.153.233.0,209.153.233.255,hosting,CA,AS6461 
209.153.234.0,209.153.247.143,business,CA,AS6461 
209.153.247.144,209.153.247.159,hosting,CA,AS6461 
209.153.247.160,209.153.252.55,business,CA,AS6461 
209.153.252.56,209.153.252.59,hosting,CA,AS6461 
209.153.252.60,209.153.255.255,business,CA,AS6461 
