94.241.0.0,94.241.63.255,isp,RU,AS12389 
94.241.64.0,94.241.127.255,isp,CZ,AS42908 
94.241.128.0,94.241.131.255,hosting,RU,AS56630 
94.241.132.0,94.241.135.255,hosting,SC,AS201936 
94.241.136.0,94.241.137.255,isp,US,AS5065 
94.241.138.0,94.241.138.255,hosting,KZ,AS9123 
94.241.139.0,94.241.143.255,hosting,RU,AS9123 
94.241.144.0,94.241.159.255,hosting,SC,AS202492 
94.241.160.0,94.241.161.255,business,TH,AS8075 
94.241.162.0,94.241.163.255,hosting,US,AS400909 
94.241.164.0,94.241.165.255,isp,US,AS60781 
94.241.166.0,94.241.167.255,business,GR, 
94.241.168.0,94.241.171.255,hosting,RU,AS9123 
94.241.172.0,94.241.175.255,hosting,NL,AS9123 
94.241.176.0,94.241.183.255,business,GR,AS1239 
94.241.184.0,94.241.187.255,hosting,RU,AS56630 
94.241.188.0,94.241.191.255,hosting,SC,AS202492 
94.241.192.0,94.241.255.255,business,RU,AS12389 
