94.243.0.0,94.243.63.255,isp,RU,AS48212 
94.243.64.0,94.243.127.255,isp,MD,AS25454 
94.243.128.0,94.243.180.3,isp,RU,AS48249 
94.243.180.4,94.243.180.7,business,RU,AS48249 
94.243.180.8,94.243.180.11,isp,RU,AS48249 
94.243.180.12,94.243.180.15,business,RU,AS48249 
94.243.180.16,94.243.180.27,isp,RU,AS48249 
94.243.180.28,94.243.180.31,business,RU,AS48249 
94.243.180.32,94.243.191.255,isp,RU,AS48249 
94.243.192.0,94.243.207.255,business,RU,AS43966 
94.243.208.0,94.243.215.255,business,RU,AS50870 
94.243.216.0,94.243.219.255,isp,RU,AS196726 
94.243.220.0,94.243.223.255,isp,RU,AS31277 
94.243.224.0,94.243.231.255,isp,RU,AS56791 
94.243.232.0,94.243.239.255,isp,RU,AS43966 
94.243.240.0,94.243.255.255,business,RU,AS44270 
