94.174.0.0,94.174.15.255,business,GB,AS5089 
94.174.16.0,94.174.79.255,isp,GB,AS5089 
94.174.80.0,94.174.95.255,business,GB,AS5089 
94.174.96.0,94.174.175.255,isp,GB,AS5089 
94.174.176.0,94.174.176.15,business,GB,AS5089 
94.174.176.16,94.174.176.23,isp,GB,AS5089 
94.174.176.24,94.174.176.31,business,GB,AS5089 
94.174.176.32,94.174.176.39,isp,GB,AS5089 
94.174.176.40,94.174.176.55,business,GB,AS5089 
94.174.176.56,94.174.176.119,isp,GB,AS5089 
94.174.176.120,94.174.176.143,business,GB,AS5089 
94.174.176.144,94.174.176.183,isp,GB,AS5089 
94.174.176.184,94.174.176.191,business,GB,AS5089 
94.174.176.192,94.174.176.231,isp,GB,AS5089 
94.174.176.232,94.174.176.239,business,GB,AS5089 
94.174.176.240,94.174.176.247,isp,GB,AS5089 
94.174.176.248,94.174.176.255,business,GB,AS5089 
94.174.177.0,94.174.177.39,isp,GB,AS5089 
94.174.177.40,94.174.177.47,business,GB,AS5089 
94.174.177.48,94.174.177.79,isp,GB,AS5089 
94.174.177.80,94.174.177.95,business,GB,AS5089 
94.174.177.96,94.174.177.143,isp,GB,AS5089 
94.174.177.144,94.174.177.151,business,GB,AS5089 
94.174.177.152,94.174.177.175,isp,GB,AS5089 
94.174.177.176,94.174.177.183,business,GB,AS5089 
94.174.177.184,94.174.177.239,isp,GB,AS5089 
94.174.177.240,94.174.177.247,business,GB,AS5089 
94.174.177.248,94.174.178.23,isp,GB,AS5089 
94.174.178.24,94.174.178.31,business,GB,AS5089 
94.174.178.32,94.174.178.39,isp,GB,AS5089 
94.174.178.40,94.174.178.47,business,GB,AS5089 
94.174.178.48,94.174.178.143,isp,GB,AS5089 
94.174.178.144,94.174.178.151,business,GB,AS5089 
94.174.178.152,94.174.178.167,isp,GB,AS5089 
94.174.178.168,94.174.178.175,business,GB,AS5089 
94.174.178.176,94.174.178.191,isp,GB,AS5089 
94.174.178.192,94.174.178.199,business,GB,AS5089 
94.174.178.200,94.174.179.47,isp,GB,AS5089 
94.174.179.48,94.174.179.55,business,GB,AS5089 
94.174.179.56,94.174.179.71,isp,GB,AS5089 
94.174.179.72,94.174.179.79,business,GB,AS5089 
94.174.179.80,94.174.179.87,isp,GB,AS5089 
94.174.179.88,94.174.179.95,business,GB,AS5089 
94.174.179.96,94.174.179.127,isp,GB,AS5089 
94.174.179.128,94.174.179.135,business,GB,AS5089 
94.174.179.136,94.174.179.183,isp,GB,AS5089 
94.174.179.184,94.174.179.199,business,GB,AS5089 
94.174.179.200,94.174.179.223,isp,GB,AS5089 
94.174.179.224,94.174.179.231,business,GB,AS5089 
94.174.179.232,94.174.207.255,isp,GB,AS5089 
94.174.208.0,94.174.223.255,business,GB,AS5089 
94.174.224.0,94.174.240.0,isp,GB,AS5089 
94.174.240.1,94.174.240.1,business,GB,AS5089 
94.174.240.2,94.174.240.2,isp,GB,AS5089 
94.174.240.3,94.174.240.3,business,GB,AS5089 
94.174.240.4,94.174.240.4,isp,GB,AS5089 
94.174.240.5,94.174.240.9,business,GB,AS5089 
94.174.240.10,94.174.240.12,isp,GB,AS5089 
94.174.240.13,94.174.240.13,business,GB,AS5089 
94.174.240.14,94.174.240.19,isp,GB,AS5089 
94.174.240.20,94.174.240.22,business,GB,AS5089 
94.174.240.23,94.174.240.24,isp,GB,AS5089 
94.174.240.25,94.174.240.25,business,GB,AS5089 
94.174.240.26,94.174.240.26,isp,GB,AS5089 
94.174.240.27,94.174.240.27,business,GB,AS5089 
94.174.240.28,94.174.240.51,isp,GB,AS5089 
94.174.240.52,94.174.240.52,business,GB,AS5089 
94.174.240.53,94.174.240.56,isp,GB,AS5089 
94.174.240.57,94.174.240.57,business,GB,AS5089 
94.174.240.58,94.174.240.64,isp,GB,AS5089 
94.174.240.65,94.174.240.66,business,GB,AS5089 
94.174.240.67,94.174.240.75,isp,GB,AS5089 
94.174.240.76,94.174.240.77,business,GB,AS5089 
94.174.240.78,94.174.240.79,isp,GB,AS5089 
94.174.240.80,94.174.240.85,business,GB,AS5089 
94.174.240.86,94.174.240.86,isp,GB,AS5089 
94.174.240.87,94.174.240.87,business,GB,AS5089 
94.174.240.88,94.174.240.88,isp,GB,AS5089 
94.174.240.89,94.174.240.89,business,GB,AS5089 
94.174.240.90,94.174.240.90,isp,GB,AS5089 
94.174.240.91,94.174.240.93,business,GB,AS5089 
94.174.240.94,94.174.240.94,isp,GB,AS5089 
94.174.240.95,94.174.240.95,business,GB,AS5089 
94.174.240.96,94.174.240.96,isp,GB,AS5089 
94.174.240.97,94.174.240.97,business,GB,AS5089 
94.174.240.98,94.174.240.98,isp,GB,AS5089 
94.174.240.99,94.174.240.99,business,GB,AS5089 
94.174.240.100,94.174.240.102,isp,GB,AS5089 
94.174.240.103,94.174.240.103,education,GB,AS5089 
94.174.240.104,94.174.240.104,business,GB,AS5089 
94.174.240.105,94.174.240.112,isp,GB,AS5089 
94.174.240.113,94.174.240.113,business,GB,AS5089 
94.174.240.114,94.174.240.117,isp,GB,AS5089 
94.174.240.118,94.174.240.119,business,GB,AS5089 
94.174.240.120,94.174.240.120,isp,GB,AS5089 
94.174.240.121,94.174.240.123,business,GB,AS5089 
94.174.240.124,94.174.240.127,isp,GB,AS5089 
94.174.240.128,94.174.240.129,business,GB,AS5089 
94.174.240.130,94.174.240.133,isp,GB,AS5089 
94.174.240.134,94.174.240.134,business,GB,AS5089 
94.174.240.135,94.174.240.140,isp,GB,AS5089 
94.174.240.141,94.174.240.141,business,GB,AS5089 
94.174.240.142,94.174.240.144,isp,GB,AS5089 
94.174.240.145,94.174.240.145,education,GB,AS5089 
94.174.240.146,94.174.240.153,isp,GB,AS5089 
94.174.240.154,94.174.240.155,business,GB,AS5089 
94.174.240.156,94.174.240.157,isp,GB,AS5089 
94.174.240.158,94.174.240.158,business,GB,AS5089 
94.174.240.159,94.174.240.171,isp,GB,AS5089 
94.174.240.172,94.174.240.172,business,GB,AS5089 
94.174.240.173,94.174.240.175,isp,GB,AS5089 
94.174.240.176,94.174.240.176,business,GB,AS5089 
94.174.240.177,94.174.240.177,isp,GB,AS5089 
94.174.240.178,94.174.240.179,business,GB,AS5089 
94.174.240.180,94.174.240.182,isp,GB,AS5089 
94.174.240.183,94.174.240.183,business,GB,AS5089 
94.174.240.184,94.174.240.186,isp,GB,AS5089 
94.174.240.187,94.174.240.189,business,GB,AS5089 
94.174.240.190,94.174.240.190,isp,GB,AS5089 
94.174.240.191,94.174.240.191,business,GB,AS5089 
94.174.240.192,94.174.240.192,isp,GB,AS5089 
94.174.240.193,94.174.240.197,business,GB,AS5089 
94.174.240.198,94.174.240.213,isp,GB,AS5089 
94.174.240.214,94.174.240.214,business,GB,AS5089 
94.174.240.215,94.174.240.226,isp,GB,AS5089 
94.174.240.227,94.174.240.227,business,GB,AS5089 
94.174.240.228,94.174.240.231,isp,GB,AS5089 
94.174.240.232,94.174.240.232,business,GB,AS5089 
94.174.240.233,94.174.240.233,isp,GB,AS5089 
94.174.240.234,94.174.240.235,business,GB,AS5089 
94.174.240.236,94.174.240.243,isp,GB,AS5089 
94.174.240.244,94.174.240.244,business,GB,AS5089 
94.174.240.245,94.174.240.245,isp,GB,AS5089 
94.174.240.246,94.174.240.247,business,GB,AS5089 
94.174.240.248,94.174.240.250,isp,GB,AS5089 
94.174.240.251,94.174.240.251,business,GB,AS5089 
94.174.240.252,94.174.240.253,isp,GB,AS5089 
94.174.240.254,94.174.240.254,business,GB,AS5089 
94.174.240.255,94.174.241.39,isp,GB,AS5089 
94.174.241.40,94.174.241.55,business,GB,AS5089 
94.174.241.56,94.174.241.71,isp,GB,AS5089 
94.174.241.72,94.174.241.79,business,GB,AS5089 
94.174.241.80,94.174.241.143,isp,GB,AS5089 
94.174.241.144,94.174.241.151,business,GB,AS5089 
94.174.241.152,94.174.243.7,isp,GB,AS5089 
94.174.243.8,94.174.243.15,business,GB,AS5089 
94.174.243.16,94.174.243.31,isp,GB,AS5089 
94.174.243.32,94.174.243.39,business,GB,AS5089 
94.174.243.40,94.174.243.55,isp,GB,AS5089 
94.174.243.56,94.174.243.71,business,GB,AS5089 
94.174.243.72,94.174.243.79,isp,GB,AS5089 
94.174.243.80,94.174.243.87,business,GB,AS5089 
94.174.243.88,94.174.243.95,isp,GB,AS5089 
94.174.243.96,94.174.243.103,business,GB,AS5089 
94.174.243.104,94.174.243.151,isp,GB,AS5089 
94.174.243.152,94.174.243.159,business,GB,AS5089 
94.174.243.160,94.174.243.199,isp,GB,AS5089 
94.174.243.200,94.174.243.207,business,GB,AS5089 
94.174.243.208,94.174.243.215,isp,GB,AS5089 
94.174.243.216,94.174.243.239,business,GB,AS5089 
94.174.243.240,94.175.79.255,isp,GB,AS5089 
