94.184.0.0,94.184.93.255,education,IR 
94.184.94.0,94.184.95.255,business,IR 
94.184.96.0,94.184.119.255,education,IR 
94.184.120.0,94.184.120.255,business,IR 
94.184.121.0,94.184.139.255,education,IR 
94.184.140.0,94.184.143.255,business,IR 
94.184.144.0,94.184.191.255,education,IR 
94.184.192.0,94.184.197.255,business,IR 
94.184.198.0,94.184.224.31,education,IR 
94.184.224.32,94.184.224.63,business,IR 
94.184.224.64,94.184.255.255,education,IR 
