94.228.0.0,94.228.15.255,isp,ES,AS42666 
94.228.16.0,94.228.31.255,isp,AM, 
94.228.32.0,94.228.33.223,hosting,GB,AS31463 
94.228.33.224,94.228.33.255,business,GB,AS31463 
94.228.34.0,94.228.34.71,hosting,GB,AS31463 
94.228.34.72,94.228.34.79,business,GB,AS31463 
94.228.34.80,94.228.34.87,isp,GB,AS31463 
94.228.34.88,94.228.34.199,hosting,GB,AS31463 
94.228.34.200,94.228.34.207,business,GB,AS31463 
94.228.34.208,94.228.36.127,hosting,GB,AS31463 
94.228.36.128,94.228.36.191,isp,GB,AS31463 
94.228.36.192,94.228.37.223,hosting,GB,AS31463 
94.228.37.224,94.228.37.255,isp,GB,AS31463 
94.228.38.0,94.228.44.199,hosting,GB,AS31463 
94.228.44.200,94.228.44.207,isp,GB,AS31463 
94.228.44.208,94.228.44.215,hosting,GB,AS31463 
94.228.44.216,94.228.44.223,isp,GB,AS31463 
94.228.44.224,94.228.45.31,hosting,GB,AS31463 
94.228.45.32,94.228.45.47,isp,GB,AS31463 
94.228.45.48,94.228.46.255,hosting,GB,AS31463 
94.228.47.0,94.228.47.255,business,GB,AS31463 
94.228.48.0,94.228.63.255,business,CH,AS44346 
94.228.64.0,94.228.71.254,business,GB,AS47998 
94.228.71.255,94.228.79.255,hosting,GB,AS47998 
94.228.80.0,94.228.95.255,isp,SK,AS48133 
94.228.96.0,94.228.107.255,hosting,DE,AS61333 
94.228.108.0,94.228.108.63,business,DE,AS61333 
94.228.108.64,94.228.110.255,hosting,DE,AS61333 
94.228.111.0,94.228.111.255,business,DE, 
94.228.112.0,94.228.121.255,hosting,RU,AS9123 
94.228.122.0,94.228.122.255,hosting,PL,AS9123 
94.228.123.0,94.228.127.255,hosting,RU,AS9123 
94.228.128.0,94.228.143.255,hosting,NL,AS41887 
94.228.144.0,94.228.145.255,isp,CH,AS31662 
94.228.146.0,94.228.157.255,business,CH,AS31662 
94.228.158.0,94.228.158.255,isp,CH,AS31662 
94.228.159.0,94.228.159.255,business,CH,AS31662 
94.228.160.0,94.228.160.255,isp,RU,AS48467 
94.228.161.0,94.228.161.255,isp,DE,AS216127 
94.228.162.0,94.228.162.255,hosting,FR,AS210644 
94.228.163.0,94.228.165.255,hosting,SE,AS210644 
94.228.166.0,94.228.166.255,isp,RU,AS214697 
94.228.167.0,94.228.167.255,isp,RU,AS48467 
94.228.168.0,94.228.168.255,hosting,DE,AS210644 
94.228.169.0,94.228.169.255,hosting,AT,AS210644 
94.228.170.0,94.228.170.255,business,NL, 
94.228.171.0,94.228.171.255,isp,RU,AS48467 
94.228.172.0,94.228.175.255,business,RU,AS48467 
