94.175.80.0,94.175.95.255,business,GB 
94.175.96.0,94.175.143.255,isp,GB 
94.175.144.0,94.175.159.255,business,GB 
94.175.160.0,94.175.192.15,isp,GB 
94.175.192.16,94.175.192.23,business,GB 
94.175.192.24,94.175.192.103,isp,GB 
94.175.192.104,94.175.192.111,business,GB 
94.175.192.112,94.175.192.159,isp,GB 
94.175.192.160,94.175.192.167,business,GB 
94.175.192.168,94.175.192.183,isp,GB 
94.175.192.184,94.175.192.191,business,GB 
94.175.192.192,94.175.193.15,isp,GB 
94.175.193.16,94.175.193.39,business,GB 
94.175.193.40,94.175.193.79,isp,GB 
94.175.193.80,94.175.193.87,business,GB 
94.175.193.88,94.175.193.95,isp,GB 
94.175.193.96,94.175.193.103,business,GB 
94.175.193.104,94.175.193.135,isp,GB 
94.175.193.136,94.175.193.143,business,GB 
94.175.193.144,94.175.193.191,isp,GB 
94.175.193.192,94.175.193.199,business,GB 
94.175.193.200,94.175.193.223,isp,GB 
94.175.193.224,94.175.193.239,business,GB 
94.175.193.240,94.175.194.23,isp,GB 
94.175.194.24,94.175.194.31,business,GB 
94.175.194.32,94.175.194.55,isp,GB 
94.175.194.56,94.175.194.63,business,GB 
94.175.194.64,94.175.194.119,isp,GB 
94.175.194.120,94.175.194.127,business,GB 
94.175.194.128,94.175.194.159,isp,GB 
94.175.194.160,94.175.194.175,business,GB 
94.175.194.176,94.175.194.183,isp,GB 
94.175.194.184,94.175.194.191,business,GB 
94.175.194.192,94.175.194.207,isp,GB 
94.175.194.208,94.175.194.215,business,GB 
94.175.194.216,94.175.194.223,education,GB 
94.175.194.224,94.175.195.63,isp,GB 
94.175.195.64,94.175.195.71,business,GB 
94.175.195.72,94.175.195.111,isp,GB 
94.175.195.112,94.175.195.119,business,GB 
94.175.195.120,94.175.195.143,isp,GB 
94.175.195.144,94.175.195.151,business,GB 
94.175.195.152,94.175.195.167,isp,GB 
94.175.195.168,94.175.195.175,business,GB 
94.175.195.176,94.175.198.31,isp,GB 
94.175.198.32,94.175.198.39,business,GB 
94.175.198.40,94.175.198.47,isp,GB 
94.175.198.48,94.175.198.55,business,GB 
94.175.198.56,94.175.198.87,isp,GB 
94.175.198.88,94.175.198.103,business,GB 
94.175.198.104,94.175.198.159,isp,GB 
94.175.198.160,94.175.198.183,business,GB 
94.175.198.184,94.175.198.199,isp,GB 
94.175.198.200,94.175.198.207,business,GB 
94.175.198.208,94.175.198.215,isp,GB 
94.175.198.216,94.175.198.223,business,GB 
94.175.198.224,94.175.198.231,isp,GB 
94.175.198.232,94.175.198.255,business,GB 
94.175.199.0,94.175.199.71,isp,GB 
94.175.199.72,94.175.199.79,business,GB 
94.175.199.80,94.175.199.95,isp,GB 
94.175.199.96,94.175.199.103,business,GB 
94.175.199.104,94.175.199.183,isp,GB 
94.175.199.184,94.175.199.191,business,GB 
94.175.199.192,94.175.199.255,isp,GB 
94.175.200.0,94.175.200.7,business,GB 
94.175.200.8,94.175.200.39,isp,GB 
94.175.200.40,94.175.200.47,business,GB 
94.175.200.48,94.175.200.63,isp,GB 
94.175.200.64,94.175.200.79,business,GB 
94.175.200.80,94.175.200.111,isp,GB 
94.175.200.112,94.175.200.119,business,GB 
94.175.200.120,94.175.200.135,isp,GB 
94.175.200.136,94.175.200.143,business,GB 
94.175.200.144,94.175.200.247,isp,GB 
94.175.200.248,94.175.200.255,business,GB 
94.175.201.0,94.175.201.7,isp,GB 
94.175.201.8,94.175.201.15,business,GB 
94.175.201.16,94.175.201.63,isp,GB 
94.175.201.64,94.175.201.71,business,GB 
94.175.201.72,94.175.201.87,isp,GB 
94.175.201.88,94.175.201.95,business,GB 
94.175.201.96,94.175.201.111,isp,GB 
94.175.201.112,94.175.201.119,business,GB 
94.175.201.120,94.175.201.159,isp,GB 
94.175.201.160,94.175.201.167,business,GB 
94.175.201.168,94.175.201.215,isp,GB 
94.175.201.216,94.175.201.223,business,GB 
94.175.201.224,94.175.202.103,isp,GB 
94.175.202.104,94.175.202.111,business,GB 
94.175.202.112,94.175.202.135,isp,GB 
94.175.202.136,94.175.202.143,business,GB 
94.175.202.144,94.175.202.167,isp,GB 
94.175.202.168,94.175.202.183,business,GB 
94.175.202.184,94.175.202.199,isp,GB 
94.175.202.200,94.175.202.207,business,GB 
94.175.202.208,94.175.203.31,isp,GB 
94.175.203.32,94.175.203.47,education,GB 
