94.185.0.0,94.185.63.255,isp,OM 
94.185.64.0,94.185.71.255,isp,FR 
94.185.72.0,94.185.79.255,isp,IT 
94.185.80.0,94.185.87.63,hosting,SE 
94.185.87.64,94.185.87.127,business,SE 
94.185.87.128,94.185.87.255,hosting,SE 
94.185.88.0,94.185.95.255,business,DE 
94.185.96.0,94.185.114.255,hosting,IT 
94.185.115.0,94.185.127.255,business,IT 
94.185.128.0,94.185.131.255,business,GB 
94.185.132.0,94.185.133.255,isp,GB 
94.185.134.0,94.185.138.63,business,GB 
94.185.138.64,94.185.138.79,isp,GB 
94.185.138.80,94.185.138.175,business,GB 
94.185.138.176,94.185.138.191,education,GB 
94.185.138.192,94.185.138.207,isp,GB 
94.185.138.208,94.185.140.127,business,GB 
94.185.140.128,94.185.140.143,isp,GB 
94.185.140.144,94.185.144.255,business,GB 
94.185.145.0,94.185.145.15,isp,GB 
94.185.145.16,94.185.145.255,business,GB 
94.185.146.0,94.185.146.255,isp,GB 
94.185.147.0,94.185.148.151,business,GB 
94.185.148.152,94.185.148.159,isp,GB 
94.185.148.160,94.185.149.47,business,GB 
94.185.149.48,94.185.149.55,isp,GB 
94.185.149.56,94.185.149.103,business,GB 
94.185.149.104,94.185.149.111,education,GB 
94.185.149.112,94.185.149.159,business,GB 
94.185.149.160,94.185.149.167,education,GB 
94.185.149.168,94.185.149.175,business,GB 
94.185.149.176,94.185.149.183,isp,GB 
94.185.149.184,94.185.150.39,business,GB 
94.185.150.40,94.185.150.47,isp,GB 
94.185.150.48,94.185.151.183,business,GB 
94.185.151.184,94.185.151.191,education,GB 
94.185.151.192,94.185.153.103,business,GB 
94.185.153.104,94.185.153.111,education,GB 
94.185.153.112,94.185.153.143,business,GB 
94.185.153.144,94.185.153.151,education,GB 
94.185.153.152,94.185.154.47,business,GB 
94.185.154.48,94.185.154.55,isp,GB 
94.185.154.56,94.185.154.135,business,GB 
94.185.154.136,94.185.154.143,isp,GB 
94.185.154.144,94.185.155.159,business,GB 
