220.156.0.0,220.156.95.255,isp,JP,AS2497 
220.156.96.0,220.156.115.255,business,JP,AS2497 
220.156.116.0,220.156.128.255,isp,JP,AS2497 
220.156.129.0,220.156.129.47,business,JP,AS2497 
220.156.129.48,220.156.129.63,isp,JP,AS2497 
220.156.129.64,220.156.129.95,business,JP,AS2497 
220.156.129.96,220.156.129.255,isp,JP,AS2497 
220.156.130.0,220.156.131.255,business,JP,AS2497 
220.156.132.0,220.156.132.255,isp,JP,AS2497 
220.156.133.0,220.156.133.255,business,JP,AS2497 
220.156.134.0,220.156.135.23,isp,JP,AS2497 
220.156.135.24,220.156.135.31,business,JP,AS2497 
220.156.135.32,220.156.135.55,isp,JP,AS2497 
220.156.135.56,220.156.135.63,business,JP,AS2497 
220.156.135.64,220.156.139.255,isp,JP,AS2497 
220.156.140.0,220.156.143.255,business,JP,AS2497 
220.156.144.0,220.156.145.255,isp,JP,AS2497 
220.156.146.0,220.156.159.255,business,JP,AS2497 
220.156.160.0,220.156.175.255,isp,NC,AS17480 
220.156.176.0,220.156.183.255,isp,AU,AS4766 
220.156.184.0,220.156.191.255,business,IN,AS55824 
220.156.192.0,220.156.255.255,business,JP, 
