220.213.0.0,220.213.95.255,business,JP,AS9595 
220.213.96.0,220.213.145.255,hosting,JP,AS17961 
220.213.146.0,220.213.162.255,business,JP,AS17961 
220.213.163.0,220.213.164.255,hosting,JP,AS17961 
220.213.165.0,220.213.165.7,business,JP,AS17961 
220.213.165.8,220.213.167.255,hosting,JP,AS17961 
220.213.168.0,220.213.173.255,business,JP,AS17961 
220.213.174.0,220.213.174.255,hosting,JP,AS17961 
220.213.175.0,220.213.179.255,business,JP,AS17961 
220.213.180.0,220.213.180.255,hosting,JP,AS17961 
220.213.181.0,220.213.181.255,business,JP,AS17961 
220.213.182.0,220.213.183.255,business,JP,AS23777 
220.213.184.0,220.213.184.87,hosting,JP,AS17961 
220.213.184.88,220.213.184.95,business,JP,AS17961 
220.213.184.96,220.213.186.63,hosting,JP,AS17961 
220.213.186.64,220.213.186.95,education,JP,AS17961 
220.213.186.96,220.213.186.255,hosting,JP,AS17961 
220.213.187.0,220.213.187.255,business,JP,AS17961 
220.213.188.0,220.213.191.255,hosting,JP,AS17961 
220.213.192.0,220.213.223.255,business,JP,AS17698 
220.213.224.0,220.213.226.15,hosting,JP,AS9993 
220.213.226.16,220.213.226.23,business,JP,AS9993 
220.213.226.24,220.213.230.95,hosting,JP,AS9993 
220.213.230.96,220.213.230.111,business,JP,AS9993 
220.213.230.112,220.213.230.127,hosting,JP,AS9993 
220.213.230.128,220.213.230.159,business,JP,AS9993 
220.213.230.160,220.213.230.175,hosting,JP,AS9993 
220.213.230.176,220.213.230.199,business,JP,AS9993 
220.213.230.200,220.213.230.231,hosting,JP,AS9993 
220.213.230.232,220.213.230.239,business,JP,AS9993 
220.213.230.240,220.213.231.127,hosting,JP,AS9993 
220.213.231.128,220.213.231.159,business,JP,AS9993 
220.213.231.160,220.213.231.175,hosting,JP,AS9993 
220.213.231.176,220.213.231.191,business,JP,AS9993 
220.213.231.192,220.213.235.255,hosting,JP,AS9993 
220.213.236.0,220.213.236.31,business,JP,AS9993 
220.213.236.32,220.213.236.47,hosting,JP,AS9993 
220.213.236.48,220.213.236.63,business,JP,AS9993 
220.213.236.64,220.213.236.79,hosting,JP,AS9993 
220.213.236.80,220.213.236.159,business,JP,AS9993 
220.213.236.160,220.213.239.255,hosting,JP,AS9993 
220.213.240.0,220.213.255.255,business,JP,AS2522 
