34.211.10.0,34.211.10.255,hosting,IN,AS16509 
34.211.11.0,34.211.26.255,hosting,US,AS14618 
34.211.27.0,34.211.27.255,hosting,US,AS16509 
34.211.28.0,34.211.108.31,hosting,US,AS14618 
34.211.108.32,34.211.108.55,hosting,US,AS16509 
34.211.108.56,34.211.108.63,hosting,US,AS14618 
34.211.108.64,34.211.108.127,hosting,US,AS16509 
34.211.108.128,34.211.108.131,hosting,US,AS14618 
34.211.108.132,34.211.108.135,hosting,US,AS16509 
34.211.108.136,34.212.96.15,hosting,US,AS14618 
