193.252.16.0,193.252.17.255,hosting,GB 
193.252.18.0,193.252.20.127,isp,FR 
193.252.20.128,193.252.20.159,business,FR 
193.252.20.160,193.252.87.255,isp,FR 
193.252.88.0,193.252.92.255,business,FR 
193.252.93.0,193.252.96.0,isp,FR 
193.252.96.1,193.252.96.1,business,FR 
193.252.96.2,193.252.96.3,isp,FR 
193.252.96.4,193.252.96.4,business,FR 
193.252.96.5,193.252.96.53,isp,FR 
193.252.96.54,193.252.96.55,business,FR 
193.252.96.56,193.252.96.167,isp,FR 
193.252.96.168,193.252.96.168,business,FR 
193.252.96.169,193.252.96.216,isp,FR 
193.252.96.217,193.252.96.218,business,FR 
193.252.96.219,193.252.97.255,isp,FR 
193.252.98.0,193.252.103.255,business,FR 
193.252.104.0,193.252.112.255,isp,FR 
193.252.113.0,193.252.114.255,business,FR 
193.252.115.0,193.252.118.255,isp,FR 
193.252.119.0,193.252.120.255,business,FR 
193.252.121.0,193.252.125.95,isp,FR 
193.252.125.96,193.252.125.223,business,FR 
193.252.125.224,193.252.125.255,isp,FR 
193.252.126.0,193.252.126.255,business,FR 
193.252.127.0,193.252.130.191,isp,FR 
193.252.130.192,193.252.130.223,business,FR 
193.252.130.224,193.252.137.255,isp,FR 
193.252.138.0,193.252.138.255,business,FR 
193.252.139.0,193.252.145.255,isp,FR 
193.252.146.0,193.252.146.255,business,FR 
193.252.147.0,193.252.154.183,isp,FR 
193.252.154.184,193.252.154.191,business,FR 
193.252.154.192,193.252.158.0,isp,FR 
193.252.158.1,193.252.158.15,business,FR 
193.252.158.16,193.252.158.30,isp,FR 
193.252.158.31,193.252.158.42,business,FR 
193.252.158.43,193.252.158.59,isp,FR 
193.252.158.60,193.252.158.62,business,FR 
193.252.158.63,193.252.158.64,isp,FR 
193.252.158.65,193.252.158.67,business,FR 
193.252.158.68,193.252.158.110,isp,FR 
193.252.158.111,193.252.158.113,business,FR 
193.252.158.114,193.252.158.140,isp,FR 
193.252.158.141,193.252.158.146,business,FR 
193.252.158.147,193.252.158.160,isp,FR 
193.252.158.161,193.252.158.164,business,FR 
193.252.158.165,193.252.158.170,isp,FR 
193.252.158.171,193.252.158.174,business,FR 
193.252.158.175,193.252.158.230,isp,FR 
193.252.158.231,193.252.158.234,business,FR 
193.252.158.235,193.252.158.255,isp,FR 
193.252.159.0,193.252.163.255,business,FR 
193.252.164.0,193.252.164.15,isp,FR 
193.252.164.16,193.252.164.23,business,FR 
193.252.164.24,193.252.164.31,isp,FR 
193.252.164.32,193.252.164.47,business,FR 
193.252.164.48,193.252.165.191,isp,FR 
193.252.165.192,193.252.165.223,business,FR 
193.252.165.224,193.252.165.247,isp,FR 
193.252.165.248,193.252.165.255,business,FR 
193.252.166.0,193.252.224.255,isp,FR 
193.252.225.0,193.252.225.191,business,FR 
193.252.225.192,193.252.225.255,isp,FR 
193.252.226.0,193.252.226.255,business,FR 
193.252.227.0,193.252.231.255,isp,FR 
193.252.232.0,193.252.232.1,business,FR 
193.252.232.2,193.252.232.115,isp,FR 
193.252.232.116,193.252.232.123,business,FR 
193.252.232.124,193.252.232.127,isp,FR 
193.252.232.128,193.252.232.255,business,FR 
193.252.233.0,193.252.233.255,isp,FR 
193.252.234.0,193.252.234.255,business,FR 
193.252.235.0,193.252.235.255,isp,FR 
193.252.236.0,193.252.236.183,business,FR 
193.252.236.184,193.252.236.207,isp,FR 
193.252.236.208,193.252.236.255,business,FR 
193.252.237.0,193.252.239.111,isp,FR 
193.252.239.112,193.252.239.191,business,FR 
193.252.239.192,193.252.240.15,isp,FR 
193.252.240.16,193.252.240.23,business,FR 
193.252.240.24,193.252.241.255,isp,FR 
193.252.242.0,193.252.243.255,business,FR 
193.252.244.0,193.252.251.255,isp,FR 
193.252.252.0,193.252.252.255,business,FR 
193.252.253.0,193.252.255.255,isp,FR 
