193.227.0.0,193.227.63.255,education,EG 
193.227.64.0,193.227.95.255,business,IT 
193.227.96.0,193.227.96.255,education,UA 
193.227.97.0,193.227.97.255,business,UA 
193.227.98.0,193.227.98.255,business,RU 
193.227.99.0,193.227.99.255,hosting,NL 
193.227.100.0,193.227.100.255,isp,PL 
193.227.101.0,193.227.101.255,business,CH 
193.227.102.0,193.227.102.255,hosting,LT 
193.227.103.0,193.227.103.255,hosting,HK 
193.227.104.0,193.227.104.255,business,IT 
193.227.105.0,193.227.105.255,business,PL 
193.227.106.0,193.227.106.255,business,GB 
193.227.107.0,193.227.107.255,hosting,FR 
193.227.108.0,193.227.108.255,business,AT 
193.227.109.0,193.227.109.255,hosting,HK 
193.227.110.0,193.227.110.255,business,RO 
193.227.111.0,193.227.111.255,hosting,GB 
193.227.112.0,193.227.112.255,isp,PL 
193.227.113.0,193.227.113.255,hosting,CA 
193.227.114.0,193.227.114.255,hosting,HK 
193.227.115.0,193.227.115.255,business,UA 
193.227.116.0,193.227.116.255,hosting,PL 
193.227.117.0,193.227.117.255,business,DE 
193.227.118.0,193.227.118.255,business,GB 
193.227.119.0,193.227.119.255,business,UA 
193.227.120.0,193.227.120.255,hosting,UA 
193.227.121.0,193.227.121.255,hosting,HK 
193.227.122.0,193.227.122.255,hosting,US 
193.227.123.0,193.227.123.255,business,PL 
193.227.124.0,193.227.124.255,business,DE 
193.227.125.0,193.227.125.255,hosting,US 
193.227.126.0,193.227.126.255,business,SE 
193.227.127.0,193.227.127.255,business,SA 
193.227.128.0,193.227.128.255,education,EG 
193.227.129.0,193.227.129.255,hosting,US 
193.227.130.0,193.227.130.255,hosting,FR 
193.227.131.0,193.227.131.255,government,PL 
193.227.132.0,193.227.132.255,isp,ES 
193.227.133.0,193.227.133.255,business,FR 
193.227.134.0,193.227.134.255,hosting,RU 
193.227.135.0,193.227.135.255,hosting,US 
193.227.136.0,193.227.143.255,business,FR 
193.227.144.0,193.227.159.255,business,DE 
193.227.160.0,193.227.191.255,isp,LB 
193.227.192.0,193.227.195.255,business,DE 
193.227.196.0,193.227.199.255,isp,HU 
193.227.200.0,193.227.201.255,business,GB 
193.227.202.0,193.227.203.255,business,DE 
193.227.204.0,193.227.205.255,business,NO 
193.227.206.0,193.227.207.255,isp,UA 
193.227.208.0,193.227.211.255,business,UA 
193.227.212.0,193.227.215.255,business,IT 
193.227.216.0,193.227.223.255,business,PL 
193.227.224.0,193.227.225.255,business,CH 
193.227.226.0,193.227.227.255,business,RO 
193.227.228.0,193.227.229.255,business,FR 
193.227.230.0,193.227.231.255,isp,UA 
193.227.232.0,193.227.233.255,education,RU 
193.227.234.0,193.227.235.255,hosting,EU 
193.227.236.0,193.227.237.255,isp,PS 
193.227.238.0,193.227.239.255,business,PT 
193.227.240.0,193.227.241.255,hosting,RU 
193.227.242.0,193.227.243.255,business,US 
193.227.244.0,193.227.247.255,business,GB 
193.227.248.0,193.227.249.255,hosting,FR 
193.227.250.0,193.227.251.255,hosting,UA 
193.227.252.0,193.227.253.255,business,RU 
193.227.254.0,193.227.255.255,business,DE 
