193.229.0.0,193.229.64.63,isp,FI 
193.229.64.64,193.229.64.127,business,FI 
193.229.64.128,193.229.136.255,isp,FI 
193.229.137.0,193.229.137.255,business,FI 
193.229.138.0,193.229.145.255,isp,FI 
193.229.146.0,193.229.146.255,business,FI 
193.229.147.0,193.229.173.63,isp,FI 
193.229.173.64,193.229.173.95,business,FI 
193.229.173.96,193.229.173.127,isp,FI 
193.229.173.128,193.229.173.159,business,FI 
193.229.173.160,193.229.186.255,isp,FI 
193.229.187.0,193.229.187.255,business,FI 
193.229.188.0,193.229.190.255,isp,FI 
193.229.191.0,193.229.191.127,business,FI 
193.229.191.128,193.229.195.127,isp,FI 
193.229.195.128,193.229.195.159,business,FI 
193.229.195.160,193.229.200.95,isp,FI 
193.229.200.96,193.229.200.159,business,FI 
193.229.200.160,193.229.214.127,isp,FI 
193.229.214.128,193.229.214.255,business,FI 
193.229.215.0,193.229.239.63,isp,FI 
193.229.239.64,193.229.239.159,business,FI 
193.229.239.160,193.229.239.183,isp,FI 
193.229.239.184,193.229.239.191,business,FI 
193.229.239.192,193.229.253.191,isp,FI 
193.229.253.192,193.229.253.223,business,FI 
193.229.253.224,193.229.255.255,isp,FI 
