193.242.0.0,193.242.0.255,business,GB, 
193.242.1.0,193.242.79.255,business,FR,AS21033 
193.242.80.0,193.242.95.255,isp,DE,AS3257 
193.242.96.0,193.242.96.255,hosting,US,AS199524 
193.242.97.0,193.242.97.255,business,NL,AS39686 
193.242.98.0,193.242.98.255,isp,ES, 
193.242.99.0,193.242.99.255,isp,RU,AS6789 
193.242.100.0,193.242.100.255,business,PL,AS34199 
193.242.101.0,193.242.101.255,business,BE,AS6848 
193.242.102.0,193.242.102.255,business,IL,AS201418 
193.242.103.0,193.242.103.255,business,SE, 
193.242.104.0,193.242.104.255,business,DE, 
193.242.105.0,193.242.105.255,isp,RU,AS51200 
193.242.106.0,193.242.106.255,hosting,RU,AS41717 
193.242.107.0,193.242.107.255,hosting,DK,AS31027 
193.242.108.0,193.242.108.255,hosting,NL,AS60781 
193.242.109.0,193.242.109.255,hosting,RU,AS41717 
193.242.110.0,193.242.110.255,business,GB, 
193.242.111.0,193.242.111.255,hosting,IE,AS2128 
193.242.112.0,193.242.112.255,isp,DE,AS34256 
193.242.113.0,193.242.113.255,business,GB,AS5413 
193.242.114.0,193.242.114.255,isp,RU,AS34280 
193.242.115.0,193.242.116.255,business,GB,AS5413 
193.242.117.0,193.242.117.255,business,US,AS211439 
193.242.118.0,193.242.118.255,business,AT,AS60521 
193.242.119.0,193.242.119.255,business,NL, 
193.242.120.0,193.242.120.255,hosting,RO,AS34358 
193.242.121.0,193.242.121.255,business,DE,AS50179 
193.242.122.0,193.242.122.255,business,SE,AS3301 
193.242.123.0,193.242.123.255,hosting,DE,AS12808 
193.242.124.0,193.242.124.255,business,PT,AS33813 
193.242.125.0,193.242.125.255,hosting,IR,AS60631 
193.242.126.0,193.242.126.255,business,FI,AS719 
193.242.127.0,193.242.127.255,hosting,SA,AS29684 
193.242.128.0,193.242.133.255,isp,RU,AS12714 
193.242.134.0,193.242.134.255,business,AT,AS198917 
193.242.135.0,193.242.135.255,hosting,RU,AS198932 
193.242.136.0,193.242.136.255,isp,PL,AS202563 
193.242.137.0,193.242.137.255,isp,PL, 
193.242.138.0,193.242.139.255,business,PL, 
193.242.140.0,193.242.140.255,business,GB,AS205468 
193.242.141.0,193.242.141.255,business,HR,AS58312 
193.242.142.0,193.242.143.255,isp,PL,AS198928 
193.242.144.0,193.242.144.255,business,MD,AS58311 
193.242.145.0,193.242.145.255,hosting,FR,AS56971 
193.242.146.0,193.242.147.255,isp,PL,AS41959 
193.242.148.0,193.242.151.255,isp,RU,AS58314 
193.242.152.0,193.242.152.255,business,PL,AS198922 
193.242.153.0,193.242.153.255,hosting,RU,AS206728 
193.242.154.0,193.242.154.255,hosting,SI,AS60435 
193.242.155.0,193.242.155.255,hosting,DK,AS208377 
193.242.156.0,193.242.159.255,isp,UA,AS52180 
193.242.160.0,193.242.163.255,isp,UA,AS51742 
193.242.164.0,193.242.165.255,isp,ES,AS60267 
193.242.166.0,193.242.166.255,business,UA, 
193.242.167.0,193.242.167.255,business,NL, 
193.242.168.0,193.242.169.255,isp,PL,AS58321 
193.242.170.0,193.242.171.255,hosting,RU,AS57250 
193.242.172.0,193.242.172.255,business,PL,AS198945 
193.242.173.0,193.242.173.255,business,RU,AS198929 
193.242.174.0,193.242.175.255,business,FR,AS47820 
193.242.176.0,193.242.179.255,isp,RU,AS31059 
193.242.180.0,193.242.180.255,business,IQ, 
193.242.181.0,193.242.181.255,hosting,DE,AS44599 
193.242.182.0,193.242.182.255,business,SE, 
193.242.183.0,193.242.183.255,business,NL,AS28878 
193.242.184.0,193.242.184.255,hosting,US,AS215381 
193.242.185.0,193.242.185.255,business,DE,AS215444 
193.242.186.0,193.242.186.255,business,PL,AS211148 
193.242.187.0,193.242.187.255,business,CH,AS214864 
193.242.188.0,193.242.189.255,isp,ES,AS58327 
193.242.190.0,193.242.191.255,isp,RU,AS59404 
193.242.192.0,193.242.192.255,hosting,FR,AS2830 
193.242.193.0,193.242.193.255,business,RU,AS59483 
193.242.194.0,193.242.195.255,isp,IR,AS58331 
193.242.196.0,193.242.199.255,hosting,JP,AS56940 
193.242.200.0,193.242.201.255,business,RU,AS59399 
193.242.202.0,193.242.203.255,isp,RU,AS51583 
193.242.204.0,193.242.207.255,business,RU,AS35420 
193.242.208.0,193.242.209.255,isp,IR,AS208161 
193.242.210.0,193.242.211.255,hosting,DE,AS58329 
193.242.212.0,193.242.213.255,isp,PL,AS50121 
193.242.214.0,193.242.214.255,business,CY,AS198943 
193.242.215.0,193.242.215.255,business,PL,AS58335 
193.242.216.0,193.242.216.255,hosting,NL,AS43896 
193.242.217.0,193.242.217.255,hosting,FR,AS30972 
193.242.218.0,193.242.219.255,business,DE,AS24989 
193.242.220.0,193.242.220.255,business,CH, 
193.242.221.0,193.242.221.255,business,DK, 
193.242.222.0,193.242.222.255,business,GB,AS200260 
193.242.223.0,193.242.223.255,hosting,DE,AS214895 
193.242.224.0,193.242.239.255,business,GB,AS11086 
193.242.240.0,193.242.255.255,business,GR,AS13038 
