193.177.0.0,193.177.0.255,hosting,FR,AS49434 
193.177.1.0,193.177.127.255,business,NL, 
193.177.128.0,193.177.131.255,hosting,DE,AS207063 
193.177.132.0,193.177.135.255,hosting,US,AS29222 
193.177.136.0,193.177.139.255,business,GB, 
193.177.140.0,193.177.147.255,business,NL,AS1136 
193.177.148.0,193.177.159.255,business,NL, 
193.177.160.0,193.177.161.255,business,NL,AS28878 
193.177.162.0,193.177.162.255,hosting,FR,AS49434 
193.177.163.0,193.177.163.255,business,NL,AS31477 
193.177.164.0,193.177.165.255,hosting,PL,AS50840 
193.177.166.0,193.177.166.255,business,NL,AS15542 
193.177.167.0,193.177.167.255,business,NL, 
193.177.168.0,193.177.175.255,business,NL,AS8694 
193.177.176.0,193.177.179.255,business,NL,AS1103 
193.177.180.0,193.177.181.255,business,NL,AS15404 
193.177.182.0,193.177.182.255,hosting,FR,AS34534 
193.177.183.0,193.177.187.255,business,NL, 
193.177.188.0,193.177.191.255,hosting,FI,AS58340 
193.177.192.0,193.177.207.255,business,NL,AS8694 
193.177.208.0,193.177.211.255,isp,ES,AS15704 
193.177.212.0,193.177.215.255,isp,ES,AS43833 
193.177.216.0,193.177.217.255,business,HU, 
193.177.218.0,193.177.219.255,business,AT, 
193.177.220.0,193.177.221.255,business,AU, 
193.177.222.0,193.177.222.255,business,PL,AS206499 
193.177.223.0,193.177.223.255,isp,DE,AS206499 
193.177.224.0,193.177.231.255,business,NL, 
193.177.232.0,193.177.235.255,business,NL,AS203170 
193.177.236.0,193.177.239.255,business,NL,AS206249 
193.177.240.0,193.177.247.255,business,NL,AS1136 
193.177.248.0,193.177.255.255,business,NL, 
