193.116.0.0,193.116.31.255,business,JP 
193.116.32.0,193.116.63.255,isp,JP 
193.116.64.0,193.116.127.255,isp,AU 
193.116.128.0,193.116.159.255,isp,GB 
193.116.160.0,193.116.167.255,business,ES 
193.116.168.0,193.116.175.255,business,FR 
193.116.176.0,193.116.183.255,business,GB 
193.116.184.0,193.116.187.255,business,DE 
193.116.188.0,193.116.191.255,business,IT 
193.116.192.0,193.116.211.255,isp,AU 
193.116.212.0,193.116.212.127,business,AU 
193.116.212.128,193.116.212.143,isp,AU 
193.116.212.144,193.116.212.159,business,AU 
193.116.212.160,193.116.212.191,isp,AU 
193.116.212.192,193.116.212.207,business,AU 
193.116.212.208,193.116.212.223,isp,AU 
193.116.212.224,193.116.212.255,business,AU 
193.116.213.0,193.116.255.255,isp,AU 
