193.193.0.0,193.193.31.255,business,IT,AS12874 
193.193.32.0,193.193.36.255,isp,GB, 
193.193.37.0,193.193.39.255,isp,EU, 
193.193.40.0,193.193.43.255,isp,GB, 
193.193.44.0,193.193.63.255,isp,EU, 
193.193.64.0,193.193.65.255,education,PL,AS8267 
193.193.66.0,193.193.66.31,business,PL,AS8267 
193.193.66.32,193.193.66.63,education,PL,AS8267 
193.193.66.64,193.193.66.95,business,PL,AS8267 
193.193.66.96,193.193.66.223,education,PL,AS8267 
193.193.66.224,193.193.66.255,business,PL,AS8267 
193.193.67.0,193.193.67.31,education,PL,AS8267 
193.193.67.32,193.193.67.63,business,PL,AS8267 
193.193.67.64,193.193.68.95,education,PL,AS8267 
193.193.68.96,193.193.68.127,business,PL,AS8267 
193.193.68.128,193.193.69.255,education,PL,AS8267 
193.193.70.0,193.193.70.63,business,PL,AS8267 
193.193.70.64,193.193.70.255,education,PL,AS8267 
193.193.71.0,193.193.71.31,business,PL,AS8267 
193.193.71.32,193.193.71.127,education,PL,AS8267 
193.193.71.128,193.193.71.159,business,PL,AS8267 
193.193.71.160,193.193.71.191,education,PL,AS8267 
193.193.71.192,193.193.71.207,business,PL,AS8267 
193.193.71.208,193.193.71.255,education,PL,AS8267 
193.193.72.0,193.193.80.255,education,PL,AS8323 
193.193.81.0,193.193.81.15,business,PL,AS8323 
193.193.81.16,193.193.81.95,education,PL,AS8323 
193.193.81.96,193.193.81.111,business,PL,AS8323 
193.193.81.112,193.193.81.143,education,PL,AS8323 
193.193.81.144,193.193.81.159,business,PL,AS8323 
193.193.81.160,193.193.82.111,education,PL,AS8323 
193.193.82.112,193.193.82.127,business,PL,AS8323 
193.193.82.128,193.193.82.223,education,PL,AS8323 
193.193.82.224,193.193.82.255,business,PL,AS8323 
193.193.83.0,193.193.95.255,education,PL,AS8323 
193.193.96.0,193.193.112.7,isp,GB,AS5089 
193.193.112.8,193.193.112.15,business,GB,AS5089 
193.193.112.16,193.193.112.39,isp,GB,AS5089 
193.193.112.40,193.193.112.47,business,GB,AS5089 
193.193.112.48,193.193.112.79,isp,GB,AS5089 
193.193.112.80,193.193.112.111,business,GB,AS5089 
193.193.112.112,193.193.112.135,isp,GB,AS5089 
193.193.112.136,193.193.112.143,business,GB,AS5089 
193.193.112.144,193.193.112.151,isp,GB,AS5089 
193.193.112.152,193.193.112.167,business,GB,AS5089 
193.193.112.168,193.193.112.191,isp,GB,AS5089 
193.193.112.192,193.193.112.207,business,GB,AS5089 
193.193.112.208,193.193.112.255,isp,GB,AS5089 
193.193.113.0,193.193.113.15,business,GB,AS5089 
193.193.113.16,193.193.113.71,isp,GB,AS5089 
193.193.113.72,193.193.113.79,business,GB,AS5089 
193.193.113.80,193.193.113.175,isp,GB,AS5089 
193.193.113.176,193.193.113.191,business,GB,AS5089 
193.193.113.192,193.193.113.199,isp,GB,AS5089 
193.193.113.200,193.193.113.215,business,GB,AS5089 
193.193.113.216,193.193.113.231,isp,GB,AS5089 
193.193.113.232,193.193.113.247,business,GB,AS5089 
193.193.113.248,193.193.114.15,isp,GB,AS5089 
193.193.114.16,193.193.114.31,business,GB,AS5089 
193.193.114.32,193.193.114.39,isp,GB,AS5089 
193.193.114.40,193.193.114.47,business,GB,AS5089 
193.193.114.48,193.193.114.87,isp,GB,AS5089 
193.193.114.88,193.193.114.95,business,GB,AS5089 
193.193.114.96,193.193.114.159,isp,GB,AS5089 
193.193.114.160,193.193.114.183,business,GB,AS5089 
193.193.114.184,193.193.114.199,isp,GB,AS5089 
193.193.114.200,193.193.114.215,business,GB,AS5089 
193.193.114.216,193.193.114.223,isp,GB,AS5089 
193.193.114.224,193.193.114.231,business,GB,AS5089 
193.193.114.232,193.193.114.247,isp,GB,AS5089 
193.193.114.248,193.193.114.255,business,GB,AS5089 
193.193.115.0,193.193.115.23,isp,GB,AS5089 
193.193.115.24,193.193.115.31,business,GB,AS5089 
193.193.115.32,193.193.115.119,isp,GB,AS5089 
193.193.115.120,193.193.115.127,education,GB,AS5089 
193.193.115.128,193.193.115.135,isp,GB,AS5089 
193.193.115.136,193.193.115.151,business,GB,AS5089 
193.193.115.152,193.193.115.175,isp,GB,AS5089 
193.193.115.176,193.193.115.183,business,GB,AS5089 
193.193.115.184,193.193.115.223,isp,GB,AS5089 
193.193.115.224,193.193.115.231,business,GB,AS5089 
193.193.115.232,193.193.127.255,isp,GB,AS5089 
193.193.128.0,193.193.128.127,isp,CH,AS1836 
193.193.128.128,193.193.129.191,hosting,CH,AS1836 
193.193.129.192,193.193.129.255,business,CH,AS1836 
193.193.130.0,193.193.130.31,hosting,CH,AS1836 
193.193.130.32,193.193.130.47,business,CH,AS1836 
193.193.130.48,193.193.131.255,hosting,CH,AS1836 
193.193.132.0,193.193.132.63,business,CH,AS1836 
193.193.132.64,193.193.132.191,hosting,CH,AS1836 
193.193.132.192,193.193.132.223,business,CH,AS1836 
193.193.132.224,193.193.132.239,hosting,CH,AS1836 
193.193.132.240,193.193.132.255,business,CH,AS1836 
193.193.133.0,193.193.135.135,hosting,CH,AS1836 
193.193.135.136,193.193.135.143,business,CH,AS1836 
193.193.135.144,193.193.136.15,hosting,CH,AS1836 
193.193.136.16,193.193.136.31,business,CH,AS1836 
193.193.136.32,193.193.138.8,hosting,CH,AS1836 
193.193.138.9,193.193.138.15,business,CH,AS1836 
193.193.138.16,193.193.138.255,hosting,CH,AS1836 
193.193.139.0,193.193.139.255,business,CH,AS1836 
193.193.140.0,193.193.159.255,hosting,CH,AS1836 
193.193.160.0,193.193.160.255,hosting,UA,AS207027 
193.193.161.0,193.193.161.255,hosting,NL,AS47973 
193.193.162.0,193.193.163.255,hosting,GB,AS60672 
193.193.164.0,193.193.164.255,business,US,AS26548 
193.193.165.0,193.193.165.255,hosting,NL,AS8312 
193.193.166.0,193.193.167.255,hosting,DE,AS57243 
193.193.168.0,193.193.168.255,isp,PL,AS207073 
193.193.169.0,193.193.169.255,hosting,GB,AS8426 
193.193.170.0,193.193.170.255,business,SK,AS15962 
193.193.171.0,193.193.171.255,isp,BG,AS29244 
193.193.172.0,193.193.173.255,hosting,IT,AS12428 
193.193.174.0,193.193.180.255,business,DE,AS39892 
193.193.181.0,193.193.181.255,business,PL,AS16274 
193.193.182.0,193.193.182.255,isp,BG,AS29244 
193.193.183.0,193.193.183.255,business,IT,AS12498 
193.193.184.0,193.193.185.255,business,GR,AS9128 
193.193.186.0,193.193.187.255,business,RU,AS44734 
193.193.188.0,193.193.189.255,business,GB,AS15404 
193.193.190.0,193.193.191.255,business,DE,AS24961 
193.193.192.0,193.193.196.255,isp,UA,AS3254 
193.193.197.0,193.193.197.255,isp,US,AS3254 
193.193.198.0,193.193.202.255,isp,UA,AS3254 
193.193.203.0,193.193.204.255,isp,US,AS3254 
193.193.205.0,193.193.207.255,isp,UA,AS3254 
193.193.208.0,193.193.209.255,isp,US,AS3254 
193.193.210.0,193.193.210.255,isp,UA,AS3254 
193.193.211.0,193.193.211.255,isp,US,AS3254 
193.193.212.0,193.193.218.255,isp,UA,AS3254 
193.193.219.0,193.193.220.255,isp,US,AS3254 
193.193.221.0,193.193.223.255,isp,UA,AS3254 
193.193.224.0,193.193.224.255,business,KZ,AS8393 
193.193.225.0,193.193.225.31,isp,KZ,AS8393 
193.193.225.32,193.193.225.35,business,KZ,AS8393 
193.193.225.36,193.193.225.51,isp,KZ,AS8393 
193.193.225.52,193.193.225.55,business,KZ,AS8393 
193.193.225.56,193.193.225.67,isp,KZ,AS8393 
193.193.225.68,193.193.225.71,business,KZ,AS8393 
193.193.225.72,193.193.225.127,isp,KZ,AS8393 
193.193.225.128,193.193.225.135,business,KZ,AS8393 
193.193.225.136,193.193.225.139,isp,KZ,AS8393 
193.193.225.140,193.193.225.159,business,KZ,AS8393 
193.193.225.160,193.193.225.175,isp,KZ,AS8393 
193.193.225.176,193.193.225.191,business,KZ,AS8393 
193.193.225.192,193.193.225.195,isp,KZ,AS8393 
193.193.225.196,193.193.225.199,business,KZ,AS8393 
193.193.225.200,193.193.225.211,isp,KZ,AS8393 
193.193.225.212,193.193.225.231,business,KZ,AS8393 
193.193.225.232,193.193.225.239,isp,KZ,AS8393 
193.193.225.240,193.193.225.247,business,KZ,AS8393 
193.193.225.248,193.193.226.255,isp,KZ,AS8393 
193.193.227.0,193.193.227.159,business,KZ,AS8393 
193.193.227.160,193.193.227.175,isp,KZ,AS8393 
193.193.227.176,193.193.227.183,business,KZ,AS8393 
193.193.227.184,193.193.227.191,isp,KZ,AS8393 
193.193.227.192,193.193.227.255,business,KZ,AS8393 
193.193.228.0,193.193.228.87,isp,KZ,AS8393 
193.193.228.88,193.193.228.91,business,KZ,AS8393 
193.193.228.92,193.193.228.123,isp,KZ,AS8393 
193.193.228.124,193.193.228.127,business,KZ,AS8393 
193.193.228.128,193.193.228.143,isp,KZ,AS8393 
193.193.228.144,193.193.228.151,business,KZ,AS8393 
193.193.228.152,193.193.228.155,isp,KZ,AS8393 
193.193.228.156,193.193.228.163,business,KZ,AS8393 
193.193.228.164,193.193.228.167,isp,KZ,AS8393 
193.193.228.168,193.193.228.175,business,KZ,AS8393 
