139.138.0.0,139.138.15.255,isp,US 
139.138.16.0,139.138.23.255,business,US 
139.138.24.0,139.138.47.255,hosting,US 
139.138.48.0,139.138.48.255,business,US 
139.138.49.0,139.138.49.255,hosting,US 
139.138.50.0,139.138.51.255,education,US 
139.138.52.0,139.138.55.255,business,US 
139.138.56.0,139.138.63.255,hosting,US 
139.138.64.0,139.138.95.255,isp,US 
139.138.96.0,139.138.104.255,business,US 
139.138.105.0,139.138.105.255,hosting,US 
139.138.106.0,139.138.111.255,business,US 
139.138.112.0,139.138.128.15,isp,US 
139.138.128.16,139.138.128.23,business,US 
139.138.128.24,139.138.128.27,isp,US 
139.138.128.28,139.138.128.31,business,US 
139.138.128.32,139.138.128.47,isp,US 
139.138.128.48,139.138.128.55,business,US 
139.138.128.56,139.138.128.63,isp,US 
139.138.128.64,139.138.128.135,business,US 
139.138.128.136,139.138.128.143,isp,US 
139.138.128.144,139.138.128.167,business,US 
139.138.128.168,139.138.128.175,isp,US 
139.138.128.176,139.138.128.183,business,US 
139.138.128.184,139.138.128.187,isp,US 
139.138.128.188,139.138.128.203,business,US 
139.138.128.204,139.138.128.207,isp,US 
139.138.128.208,139.138.128.239,business,US 
139.138.128.240,139.138.128.247,isp,US 
139.138.128.248,139.138.128.251,business,US 
139.138.128.252,139.138.128.255,isp,US 
139.138.129.0,139.138.129.3,business,US 
139.138.129.4,139.138.129.7,isp,US 
139.138.129.8,139.138.129.11,business,US 
139.138.129.12,139.138.129.15,isp,US 
139.138.129.16,139.138.129.31,business,US 
139.138.129.32,139.138.129.35,isp,US 
139.138.129.36,139.138.129.39,business,US 
139.138.129.40,139.138.129.79,isp,US 
139.138.129.80,139.138.129.111,business,US 
139.138.129.112,139.138.129.255,isp,US 
139.138.130.0,139.138.130.3,business,US 
139.138.130.4,139.138.130.11,isp,US 
139.138.130.12,139.138.130.15,business,US 
139.138.130.16,139.138.130.31,isp,US 
139.138.130.32,139.138.130.39,business,US 
139.138.130.40,139.138.130.55,isp,US 
139.138.130.56,139.138.130.63,business,US 
139.138.130.64,139.138.130.87,isp,US 
139.138.130.88,139.138.130.115,business,US 
