139.177.0.0,139.177.63.255,isp,US,AS13825 
139.177.64.0,139.177.95.255,hosting,US,AS21534 
139.177.96.0,139.177.111.255,business,US,AS22773 
139.177.112.0,139.177.112.255,education,US,AS19744 
139.177.113.0,139.177.143.255,business,US,AS17018 
139.177.144.0,139.177.144.255,business,AE,AS212609 
139.177.145.0,139.177.145.255,hosting,US,AS29802 
139.177.146.0,139.177.146.255,hosting,US,AS55081 
139.177.147.0,139.177.147.255,hosting,US,AS834 
139.177.148.0,139.177.150.255,hosting,US,AS203963 
139.177.151.0,139.177.151.255,hosting,US,AS834 
139.177.152.0,139.177.152.255,hosting,US,AS23470 
139.177.153.0,139.177.155.255,hosting,US,AS834 
139.177.156.0,139.177.156.255,isp,GP,AS29837 
139.177.157.0,139.177.157.255,hosting,US,AS834 
139.177.158.0,139.177.158.255,isp,BR,AS53356 
139.177.159.0,139.177.159.255,hosting,US,AS834 
139.177.160.0,139.177.175.255,business,US,AS17018 
139.177.176.0,139.177.207.255,hosting,US,AS63949 
139.177.208.0,139.177.223.255,business,US, 
139.177.224.0,139.177.255.255,hosting,US,AS396986 
