57.128.0.0,57.128.14.255,hosting,FR,AS16276 
57.128.15.0,57.128.15.255,business,FR,AS16276 
57.128.16.0,57.128.120.255,hosting,FR,AS16276 
57.128.121.0,57.128.121.255,business,FR,AS16276 
57.128.122.0,57.128.128.127,hosting,FR,AS16276 
57.128.128.128,57.128.128.191,hosting,GB,AS16276 
57.128.128.192,57.128.129.15,hosting,FR,AS16276 
57.128.129.16,57.128.129.191,hosting,GB,AS16276 
57.128.129.192,57.128.131.39,hosting,FR,AS16276 
57.128.131.40,57.128.131.47,hosting,GB,AS16276 
57.128.131.48,57.128.131.63,hosting,IE,AS16276 
57.128.131.64,57.128.131.143,hosting,GB,AS16276 
57.128.131.144,57.128.131.167,hosting,FR,AS16276 
57.128.131.168,57.128.131.175,hosting,GB,AS16276 
57.128.131.176,57.128.131.191,hosting,FR,AS16276 
57.128.131.192,57.128.131.215,hosting,GB,AS16276 
57.128.131.216,57.128.131.223,hosting,FR,AS16276 
57.128.131.224,57.128.132.127,hosting,GB,AS16276 
57.128.132.128,57.128.132.143,hosting,FR,AS16276 
57.128.132.144,57.128.132.159,hosting,GB,AS16276 
57.128.132.160,57.128.132.191,hosting,FR,AS16276 
57.128.132.192,57.128.133.127,hosting,GB,AS16276 
57.128.133.128,57.128.133.255,hosting,FR,AS16276 
57.128.134.0,57.128.134.127,hosting,GB,AS16276 
57.128.134.128,57.128.134.175,hosting,FR,AS16276 
57.128.134.176,57.128.134.207,hosting,GB,AS16276 
57.128.134.208,57.128.134.223,hosting,FR,AS16276 
57.128.134.224,57.128.135.255,hosting,GB,AS16276 
57.128.136.0,57.128.136.31,hosting,FR,AS16276 
57.128.136.32,57.128.136.191,hosting,GB,AS16276 
57.128.136.192,57.128.136.223,hosting,FR,AS16276 
57.128.136.224,57.128.136.255,hosting,GB,AS16276 
57.128.137.0,57.128.137.15,hosting,FR,AS16276 
57.128.137.16,57.128.137.55,hosting,GB,AS16276 
57.128.137.56,57.128.137.63,hosting,FR,AS16276 
57.128.137.64,57.128.137.191,hosting,GB,AS16276 
57.128.137.192,57.128.137.207,hosting,FR,AS16276 
57.128.137.208,57.128.137.231,hosting,GB,AS16276 
57.128.137.232,57.128.137.255,hosting,FR,AS16276 
57.128.138.0,57.128.138.63,hosting,GB,AS16276 
57.128.138.64,57.128.138.87,hosting,FR,AS16276 
57.128.138.88,57.128.138.95,hosting,GB,AS16276 
57.128.138.96,57.128.138.127,hosting,FR,AS16276 
57.128.138.128,57.128.138.191,hosting,GB,AS16276 
57.128.138.192,57.128.138.243,hosting,FR,AS16276 
57.128.138.244,57.128.138.247,hosting,GB,AS16276 
57.128.138.248,57.128.138.255,hosting,FR,AS16276 
57.128.139.0,57.128.139.63,hosting,GB,AS16276 
57.128.139.64,57.128.139.163,hosting,FR,AS16276 
57.128.139.164,57.128.139.167,isp,IT,AS16276 
57.128.139.168,57.128.139.175,hosting,FR,AS16276 
57.128.139.176,57.128.139.223,hosting,GB,AS16276 
57.128.139.224,57.128.139.255,hosting,FR,AS16276 
57.128.140.0,57.128.141.255,hosting,GB,AS16276 
57.128.142.0,57.128.142.31,hosting,FR,AS16276 
57.128.142.32,57.128.142.223,hosting,GB,AS16276 
57.128.142.224,57.128.143.63,hosting,FR,AS16276 
57.128.143.64,57.128.143.127,hosting,GB,AS16276 
57.128.143.128,57.128.143.191,hosting,FR,AS16276 
57.128.143.192,57.128.143.223,hosting,GB,AS16276 
57.128.143.224,57.128.144.7,hosting,FR,AS16276 
57.128.144.8,57.128.144.11,hosting,GB,AS16276 
57.128.144.12,57.128.144.15,hosting,FR,AS16276 
57.128.144.16,57.128.144.23,hosting,GB,AS16276 
57.128.144.24,57.128.144.31,hosting,IT,AS16276 
57.128.144.32,57.128.144.63,hosting,FR,AS16276 
57.128.144.64,57.128.144.207,hosting,GB,AS16276 
57.128.144.208,57.128.144.223,hosting,DE,AS16276 
57.128.144.224,57.128.146.63,hosting,GB,AS16276 
57.128.146.64,57.128.146.127,hosting,FR,AS16276 
57.128.146.128,57.128.146.159,hosting,GB,AS16276 
57.128.146.160,57.128.146.191,hosting,FR,AS16276 
57.128.146.192,57.128.147.71,hosting,GB,AS16276 
57.128.147.72,57.128.147.95,hosting,FR,AS16276 
57.128.147.96,57.128.147.255,hosting,GB,AS16276 
57.128.148.0,57.128.148.31,business,GB,AS16276 
57.128.148.32,57.128.148.95,hosting,FR,AS16276 
57.128.148.96,57.128.148.127,business,GB,AS16276 
57.128.148.128,57.128.148.143,hosting,FR,AS16276 
57.128.148.144,57.128.148.151,business,GB,AS16276 
57.128.148.152,57.128.148.255,hosting,FR,AS16276 
57.128.149.0,57.128.149.255,business,GB,AS16276 
57.128.150.0,57.128.150.15,hosting,FR,AS16276 
57.128.150.16,57.128.150.103,hosting,GB,AS16276 
57.128.150.104,57.128.150.111,hosting,FR,AS16276 
57.128.150.112,57.128.150.127,hosting,GB,AS16276 
57.128.150.128,57.128.150.143,hosting,FR,AS16276 
57.128.150.144,57.128.150.151,hosting,IT,AS16276 
57.128.150.152,57.128.150.191,hosting,FR,AS16276 
57.128.150.192,57.128.151.127,hosting,GB,AS16276 
57.128.151.128,57.128.151.159,hosting,FR,AS16276 
57.128.151.160,57.128.151.207,hosting,GB,AS16276 
57.128.151.208,57.128.151.223,hosting,FR,AS16276 
57.128.151.224,57.128.152.31,hosting,GB,AS16276 
57.128.152.32,57.128.152.39,hosting,FR,AS16276 
57.128.152.40,57.128.152.43,hosting,GB,AS16276 
57.128.152.44,57.128.152.47,hosting,FR,AS16276 
57.128.152.48,57.128.152.87,hosting,GB,AS16276 
57.128.152.88,57.128.152.95,hosting,FR,AS16276 
57.128.152.96,57.128.152.191,hosting,GB,AS16276 
57.128.152.192,57.128.152.255,hosting,FR,AS16276 
57.128.153.0,57.128.153.63,hosting,GB,AS16276 
57.128.153.64,57.128.153.95,hosting,FR,AS16276 
57.128.153.96,57.128.153.143,hosting,GB,AS16276 
57.128.153.144,57.128.153.151,hosting,FR,AS16276 
57.128.153.152,57.128.153.223,hosting,GB,AS16276 
57.128.153.224,57.128.153.239,hosting,FR,AS16276 
57.128.153.240,57.128.153.247,hosting,GB,AS16276 
57.128.153.248,57.128.153.255,hosting,FR,AS16276 
57.128.154.0,57.128.154.71,business,GB,AS16276 
57.128.154.72,57.128.154.119,hosting,FR,AS16276 
57.128.154.120,57.128.154.127,business,GB,AS16276 
57.128.154.128,57.128.154.159,hosting,FR,AS16276 
57.128.154.160,57.128.154.255,business,GB,AS16276 
57.128.155.0,57.128.155.7,hosting,FR,AS16276 
57.128.155.8,57.128.155.127,hosting,GB,AS16276 
57.128.155.128,57.128.155.191,hosting,FR,AS16276 
57.128.155.192,57.128.155.255,hosting,GB,AS16276 
57.128.156.0,57.128.157.255,hosting,FR,AS16276 
57.128.158.0,57.128.174.127,hosting,GB,AS16276 
57.128.174.128,57.128.174.255,hosting,FR,AS16276 
57.128.175.0,57.128.184.255,hosting,GB,AS16276 
57.128.185.0,57.128.186.255,business,GB,AS16276 
57.128.187.0,57.128.188.255,hosting,GB,AS16276 
57.128.189.0,57.128.189.255,business,GB,AS16276 
57.128.190.0,57.128.191.255,hosting,GB,AS16276 
57.128.192.0,57.128.202.255,hosting,PL,AS16276 
57.128.203.0,57.128.203.255,business,PL,AS16276 
57.128.204.0,57.128.215.255,hosting,PL,AS16276 
57.128.216.0,57.128.219.255,business,PL,AS16276 
57.128.220.0,57.128.220.255,hosting,PL,AS16276 
57.128.221.0,57.128.223.255,business,PL,AS16276 
57.128.224.0,57.128.224.255,hosting,PL,AS16276 
57.128.225.0,57.128.226.255,business,PL,AS16276 
57.128.227.0,57.128.255.255,hosting,FR,AS16276 
