104.239.0.0,104.239.7.255,business,HU,AS205964 
104.239.8.0,104.239.8.255,hosting,US,AS9009 
104.239.9.0,104.239.9.255,business,SG,AS212238 
104.239.10.0,104.239.12.255,hosting,US,AS9009 
104.239.13.0,104.239.13.255,business,CA,AS9009 
104.239.14.0,104.239.15.255,hosting,US,AS9009 
104.239.16.0,104.239.23.255,business,IT,AS9009 
104.239.24.0,104.239.27.255,hosting,US,AS9009 
104.239.28.0,104.239.28.255,business,CL,AS396356 
104.239.29.0,104.239.39.255,hosting,US,AS9009 
104.239.40.0,104.239.43.255,business,CA,AS202044 
104.239.44.0,104.239.44.255,business,CL,AS396356 
104.239.45.0,104.239.46.255,business,SG,AS212238 
104.239.47.0,104.239.47.255,hosting,US,AS9009 
104.239.48.0,104.239.48.255,hosting,NL,AS212238 
104.239.49.0,104.239.50.255,business,GB,AS210619 
104.239.51.0,104.239.66.255,hosting,US,AS9009 
104.239.67.0,104.239.67.255,hosting,GB,AS16509 
104.239.68.0,104.239.71.255,business,GB,AS5089 
104.239.72.0,104.239.72.255,hosting,CY,AS209242 
104.239.73.0,104.239.73.255,business,AR,AS396356 
104.239.74.0,104.239.75.255,hosting,US,AS9009 
104.239.76.0,104.239.77.255,business,DE,AS205659 
104.239.78.0,104.239.81.255,hosting,US,AS9009 
104.239.82.0,104.239.82.255,business,NL,AS9009 
104.239.83.0,104.239.83.255,hosting,US,AS9009 
104.239.84.0,104.239.85.255,hosting,AU,AS149428 
104.239.86.0,104.239.86.255,business,CZ,AS133944 
104.239.87.0,104.239.87.255,hosting,TR,AS26383 
104.239.88.0,104.239.88.255,business,CL,AS396356 
104.239.89.0,104.239.89.255,hosting,US,AS9009 
104.239.90.0,104.239.93.255,business,IT,AS9009 
104.239.94.0,104.239.95.255,hosting,US,AS9009 
104.239.96.0,104.239.97.255,business,AU,AS149428 
104.239.98.0,104.239.98.255,business,NL,AS9009 
104.239.99.0,104.239.99.255,business,NL,AS212238 
104.239.100.0,104.239.100.255,hosting,US,AS9009 
104.239.101.0,104.239.101.255,business,TR, 
104.239.102.0,104.239.102.255,hosting,US,AS9009 
104.239.103.0,104.239.103.255,isp,BA,AS47959 
104.239.104.0,104.239.107.255,hosting,US,AS9009 
104.239.108.0,104.239.108.255,business,TR,AS133944 
104.239.109.0,104.239.109.255,hosting,US,AS9009 
104.239.110.0,104.239.110.255,business,NL,AS212238 
104.239.111.0,104.239.111.255,hosting,US,AS9009 
104.239.112.0,104.239.119.255,business,US,AS13886 
104.239.120.0,104.239.123.255,isp,GB,AS5089 
104.239.124.0,104.239.127.255,hosting,US,AS9009 
104.239.128.0,104.239.151.255,hosting,US,AS19994 
104.239.152.0,104.239.152.3,hosting,US,AS33070 
104.239.152.4,104.239.152.7,hosting,US,AS19994 
104.239.152.8,104.239.152.11,hosting,US,AS33070 
104.239.152.12,104.239.152.15,hosting,US,AS19994 
104.239.152.16,104.239.152.19,hosting,US,AS33070 
104.239.152.20,104.239.152.27,hosting,US,AS19994 
104.239.152.28,104.239.152.35,hosting,US,AS33070 
104.239.152.36,104.239.152.39,hosting,US,AS19994 
104.239.152.40,104.239.152.55,hosting,US,AS33070 
104.239.152.56,104.239.152.59,hosting,US,AS19994 
104.239.152.60,104.239.152.71,hosting,US,AS33070 
104.239.152.72,104.239.152.75,hosting,CA,AS33070 
104.239.152.76,104.239.152.79,hosting,US,AS19994 
104.239.152.80,104.239.152.83,hosting,US,AS33070 
104.239.152.84,104.239.152.107,hosting,US,AS19994 
104.239.152.108,104.239.152.111,hosting,US,AS33070 
104.239.152.112,104.239.152.119,hosting,US,AS19994 
104.239.152.120,104.239.152.128,hosting,US,AS33070 
104.239.152.129,104.239.152.129,hosting,US,AS19994 
104.239.152.130,104.239.152.143,hosting,US,AS33070 
104.239.152.144,104.239.152.147,hosting,US,AS19994 
104.239.152.148,104.239.152.151,hosting,US,AS33070 
104.239.152.152,104.239.152.155,hosting,IN,AS33070 
104.239.152.156,104.239.152.171,hosting,US,AS19994 
104.239.152.172,104.239.152.175,hosting,US,AS33070 
104.239.152.176,104.239.152.191,hosting,US,AS19994 
104.239.152.192,104.239.152.195,hosting,US,AS33070 
104.239.152.196,104.239.152.203,hosting,US,AS19994 
104.239.152.204,104.239.152.207,isp,US,AS33070 
104.239.152.208,104.239.152.219,hosting,US,AS19994 
104.239.152.220,104.239.152.247,hosting,US,AS33070 
104.239.152.248,104.239.152.255,hosting,US,AS19994 
104.239.153.0,104.239.153.11,hosting,US,AS33070 
104.239.153.12,104.239.153.23,hosting,US,AS19994 
104.239.153.24,104.239.153.31,hosting,US,AS33070 
