45.227.5.0,45.227.5.255,government,CO 
45.227.6.0,45.227.7.255,education,BR 
45.227.8.0,45.227.15.255,isp,AR 
45.227.16.0,45.227.19.255,isp,PE 
45.227.20.0,45.227.31.255,isp,BR 
45.227.32.0,45.227.39.255,isp,AR 
45.227.40.0,45.227.47.255,isp,BR 
45.227.48.0,45.227.51.255,isp,CL 
45.227.52.0,45.227.59.255,isp,BR 
45.227.60.0,45.227.60.255,business,CL 
45.227.61.0,45.227.61.255,hosting,BR 
45.227.62.0,45.227.63.255,isp,CL 
45.227.64.0,45.227.67.255,isp,BR 
45.227.68.0,45.227.71.255,business,AR 
45.227.72.0,45.227.72.255,isp,BR 
45.227.73.0,45.227.73.255,business,BR 
45.227.74.0,45.227.78.239,isp,BR 
45.227.78.240,45.227.78.247,business,BR 
45.227.78.248,45.227.79.211,isp,BR 
45.227.79.212,45.227.79.223,business,BR 
45.227.79.224,45.227.87.255,isp,BR 
45.227.88.0,45.227.91.255,business,CO 
45.227.92.0,45.227.95.255,isp,AR 
45.227.96.0,45.227.99.255,isp,BR 
45.227.100.0,45.227.101.255,business,BR 
45.227.102.0,45.227.111.7,isp,BR 
45.227.111.8,45.227.111.23,business,BR 
45.227.111.24,45.227.111.55,isp,BR 
45.227.111.56,45.227.111.63,business,BR 
45.227.111.64,45.227.111.111,isp,BR 
45.227.111.112,45.227.111.127,business,BR 
45.227.111.128,45.227.111.143,isp,BR 
45.227.111.144,45.227.111.159,business,BR 
45.227.111.160,45.227.114.147,isp,BR 
45.227.114.148,45.227.114.148,business,BR 
45.227.114.149,45.227.123.255,isp,BR 
45.227.128.0,45.227.129.255,business,AR 
45.227.130.0,45.227.130.255,isp,AR 
45.227.131.0,45.227.131.255,business,CL 
45.227.132.0,45.227.150.255,isp,BR 
45.227.151.0,45.227.151.255,business,BR 
45.227.152.0,45.227.155.255,business,AR 
45.227.156.0,45.227.156.35,isp,BR 
45.227.156.36,45.227.156.39,business,BR 
45.227.156.40,45.227.156.51,isp,BR 
45.227.156.52,45.227.156.55,business,BR 
45.227.156.56,45.227.157.175,isp,BR 
45.227.157.176,45.227.157.255,business,BR 
45.227.158.0,45.227.159.255,isp,BR 
45.227.160.0,45.227.163.255,hosting,AR 
45.227.164.0,45.227.167.255,isp,AR 
45.227.168.0,45.227.171.255,isp,BR 
45.227.172.0,45.227.175.255,isp,AR 
45.227.176.0,45.227.179.255,business,CL 
45.227.180.0,45.227.180.55,isp,BR 
45.227.180.56,45.227.180.63,business,BR 
45.227.180.64,45.227.195.255,isp,BR 
45.227.196.0,45.227.199.255,isp,AR 
45.227.200.0,45.227.203.255,hosting,CR 
45.227.204.0,45.227.209.23,isp,BR 
45.227.209.24,45.227.209.27,business,BR 
45.227.209.28,45.227.211.31,isp,BR 
45.227.211.32,45.227.211.39,business,BR 
45.227.211.40,45.227.211.127,isp,BR 
45.227.211.128,45.227.211.143,business,BR 
45.227.211.144,45.227.215.255,isp,BR 
45.227.216.0,45.227.219.255,isp,AR 
45.227.220.0,45.227.223.255,isp,BR 
45.227.224.0,45.227.227.255,business,AR 
45.227.228.0,45.227.231.255,isp,BR 
45.227.232.0,45.227.235.255,business,BR 
45.227.236.0,45.227.243.255,isp,BR 
45.227.244.0,45.227.247.255,education,AR 
45.227.248.0,45.227.251.255,isp,BR 
45.227.252.0,45.227.252.255,business,HN 
45.227.253.0,45.227.253.255,business,PA 
45.227.254.0,45.227.254.255,business,BZ 
45.227.255.0,45.227.255.255,business,PA 
