45.191.0.0,45.191.0.255,hosting,CL 
45.191.1.0,45.191.1.255,business,AR 
45.191.2.0,45.191.3.255,business,CO 
45.191.4.0,45.191.7.255,isp,AR 
45.191.8.0,45.191.12.11,isp,BR 
45.191.12.12,45.191.12.15,business,BR 
45.191.12.16,45.191.13.27,isp,BR 
45.191.13.28,45.191.13.31,business,BR 
45.191.13.32,45.191.13.227,isp,BR 
45.191.13.228,45.191.13.231,business,BR 
45.191.13.232,45.191.13.235,isp,BR 
45.191.13.236,45.191.13.239,business,BR 
45.191.13.240,45.191.43.255,isp,BR 
45.191.44.0,45.191.47.255,isp,CO 
45.191.48.0,45.191.49.255,isp,CL 
45.191.50.0,45.191.50.255,business,CL 
45.191.51.0,45.191.51.255,isp,CL 
45.191.52.0,45.191.55.255,isp,MX 
45.191.56.0,45.191.59.255,government,AR 
45.191.60.0,45.191.68.127,isp,BR 
45.191.68.128,45.191.68.135,business,BR 
45.191.68.136,45.191.68.226,isp,BR 
45.191.68.227,45.191.68.227,business,BR 
45.191.68.228,45.191.70.33,isp,BR 
45.191.70.34,45.191.70.34,business,BR 
45.191.70.35,45.191.73.255,isp,BR 
45.191.74.0,45.191.75.255,isp,CO 
45.191.76.0,45.191.79.255,isp,BR 
45.191.80.0,45.191.87.255,isp,AR 
45.191.88.0,45.191.91.255,isp,PY 
45.191.92.0,45.191.95.255,isp,BR 
45.191.96.0,45.191.99.255,isp,PE 
45.191.100.0,45.191.103.255,isp,CL 
45.191.104.0,45.191.107.255,isp,BR 
45.191.108.0,45.191.115.255,isp,AR 
45.191.116.0,45.191.126.255,isp,BR 
45.191.127.0,45.191.127.3,business,BR 
45.191.127.4,45.191.155.255,isp,BR 
45.191.156.0,45.191.159.255,isp,AR 
45.191.160.0,45.191.163.255,isp,BR 
45.191.164.0,45.191.167.255,business,US 
45.191.168.0,45.191.175.255,isp,BR 
45.191.176.0,45.191.179.255,isp,AR 
45.191.180.0,45.191.187.255,isp,BR 
45.191.188.0,45.191.195.255,isp,AR 
45.191.196.0,45.191.199.255,isp,PE 
45.191.200.0,45.191.204.159,isp,BR 
45.191.204.160,45.191.204.175,education,BR 
45.191.204.176,45.191.212.223,isp,BR 
45.191.212.224,45.191.212.239,business,BR 
45.191.212.240,45.191.223.255,isp,BR 
45.191.224.0,45.191.227.255,isp,AR 
45.191.228.0,45.191.231.255,isp,BR 
45.191.232.0,45.191.235.255,isp,CO 
45.191.236.0,45.191.243.255,isp,BR 
45.191.244.0,45.191.247.255,isp,GT 
45.191.248.0,45.191.255.255,isp,BR 
