71.143.0.0,71.143.63.255,business,US, 
71.143.176.192,71.143.176.199,business,US,AS7018 
71.143.176.200,71.143.176.255,isp,US,AS7018 
71.143.177.0,71.143.177.7,business,US,AS7018 
71.143.177.8,71.143.177.55,isp,US,AS7018 
71.143.177.56,71.143.177.63,business,US,AS7018 
71.143.177.64,71.143.177.127,isp,US,AS7018 
71.143.177.128,71.143.177.151,business,US,AS7018 
71.143.177.152,71.143.177.159,isp,US,AS7018 
71.143.177.160,71.143.177.167,business,US,AS7018 
71.143.177.168,71.143.182.7,isp,US,AS7018 
71.143.182.8,71.143.182.15,business,US,AS7018 
71.143.182.16,71.143.182.39,isp,US,AS7018 
71.143.182.40,71.143.182.47,business,US,AS7018 
71.143.182.48,71.143.182.127,isp,US,AS7018 
71.143.182.128,71.143.182.135,business,US,AS7018 
71.143.182.136,71.143.182.199,isp,US,AS7018 
71.143.182.200,71.143.182.207,business,US,AS7018 
71.143.182.208,71.143.182.223,isp,US,AS7018 
71.143.182.224,71.143.182.231,business,US,AS7018 
71.143.182.232,71.143.241.255,isp,US,AS7018 
71.143.242.0,71.143.242.255,business,US,AS7018 
71.143.243.0,71.143.243.127,isp,US,AS7018 
71.143.243.128,71.143.243.255,business,US,AS7018 
71.143.244.0,71.144.1.255,isp,US,AS7018 
