71.254.0.0,71.254.15.255,isp,US,AS13977 
71.254.16.0,71.254.95.255,isp,US,AS701 
71.254.96.0,71.254.111.255,isp,US,AS13977 
71.254.112.0,71.254.132.255,isp,US,AS701 
71.254.133.0,71.254.133.7,business,US, 
71.254.133.8,71.254.133.31,isp,US,AS701 
71.254.133.32,71.254.133.47,business,US, 
71.254.133.48,71.254.133.55,isp,US,AS701 
71.254.133.56,71.254.133.87,business,US, 
71.254.133.88,71.254.133.95,isp,US,AS701 
71.254.133.96,71.254.133.111,business,US, 
71.254.133.112,71.254.133.119,isp,US,AS701 
71.254.133.120,71.254.133.135,business,US, 
71.254.133.136,71.254.133.143,isp,US, 
71.254.133.144,71.254.133.151,isp,US,AS701 
71.254.133.152,71.254.133.215,business,US, 
71.254.133.216,71.254.133.223,isp,US,AS701 
71.254.133.224,71.254.133.231,business,US, 
71.254.133.232,71.254.138.183,isp,US,AS701 
71.254.138.184,71.254.138.191,business,US, 
71.254.138.192,71.254.144.255,isp,US,AS701 
71.254.145.0,71.254.145.15,business,US, 
71.254.145.16,71.254.145.23,isp,US,AS701 
71.254.145.24,71.254.145.31,business,US, 
71.254.145.32,71.254.145.47,isp,US,AS701 
71.254.145.48,71.254.145.71,business,US, 
71.254.145.72,71.254.145.87,isp,US,AS701 
71.254.145.88,71.254.145.103,business,US, 
71.254.145.104,71.254.145.111,isp,US,AS701 
71.254.145.112,71.254.145.119,business,US, 
71.254.145.120,71.254.145.127,isp,US, 
71.254.145.128,71.254.145.135,isp,US,AS701 
71.254.145.136,71.254.145.159,business,US, 
71.254.145.160,71.254.145.167,isp,US,AS701 
71.254.145.168,71.254.145.183,business,US, 
71.254.145.184,71.254.145.215,isp,US,AS701 
71.254.145.216,71.254.145.231,business,US, 
71.254.145.232,71.254.145.255,isp,US,AS701 
71.254.146.0,71.254.146.7,business,US, 
71.254.146.8,71.254.146.15,isp,US,AS701 
71.254.146.16,71.254.146.23,business,US, 
71.254.146.24,71.254.146.31,isp,US,AS701 
71.254.146.32,71.254.146.39,business,US, 
71.254.146.40,71.254.146.47,isp,US,AS701 
71.254.146.48,71.254.146.71,business,US, 
71.254.146.72,71.254.146.79,isp,US,AS701 
71.254.146.80,71.254.146.119,business,US, 
71.254.146.120,71.254.146.127,isp,US,AS701 
71.254.146.128,71.254.146.135,business,US, 
71.254.146.136,71.254.146.143,isp,US,AS701 
71.254.146.144,71.254.146.183,business,US, 
71.254.146.184,71.254.146.191,isp,US,AS701 
71.254.146.192,71.254.146.215,business,US, 
71.254.146.216,71.254.146.223,isp,US,AS701 
71.254.146.224,71.254.146.231,business,US, 
71.254.146.232,71.254.146.239,isp,US,AS701 
71.254.146.240,71.254.146.247,business,US, 
71.254.146.248,71.254.148.255,isp,US,AS701 
71.254.149.0,71.254.149.47,business,US, 
71.254.149.48,71.254.149.55,isp,US,AS701 
71.254.149.56,71.254.149.111,business,US, 
71.254.149.112,71.254.149.119,isp,US,AS701 
71.254.149.120,71.254.149.127,business,US, 
71.254.149.128,71.254.149.135,isp,US,AS701 
71.254.149.136,71.254.149.143,business,US, 
71.254.149.144,71.254.149.175,isp,US,AS701 
71.254.149.176,71.254.149.255,business,US, 
71.254.150.0,71.254.166.255,isp,US,AS701 
71.254.167.0,71.254.167.15,business,US, 
71.254.167.16,71.254.167.23,isp,US,AS701 
71.254.167.24,71.254.167.31,business,US, 
71.254.167.32,71.254.167.39,isp,US,AS701 
71.254.167.40,71.254.167.47,business,US, 
71.254.167.48,71.254.167.79,isp,US,AS701 
71.254.167.80,71.254.167.87,business,US, 
71.254.167.88,71.254.167.95,isp,US,AS701 
71.254.167.96,71.254.167.111,business,US, 
71.254.167.112,71.254.167.119,isp,US,AS701 
71.254.167.120,71.254.167.127,business,US, 
71.254.167.128,71.254.167.191,isp,US,AS701 
71.254.167.192,71.254.167.215,business,US, 
71.254.167.216,71.254.167.255,isp,US,AS701 
71.254.168.0,71.254.168.63,business,US, 
71.254.168.64,71.254.171.255,isp,US,AS701 
71.254.172.0,71.254.172.23,business,US, 
71.254.172.24,71.254.172.55,isp,US,AS701 
71.254.172.56,71.254.172.63,business,US, 
71.254.172.64,71.254.172.79,isp,US,AS701 
71.254.172.80,71.254.172.87,business,US, 
71.254.172.88,71.254.172.95,isp,US,AS701 
71.254.172.96,71.254.172.103,business,US, 
71.254.172.104,71.254.172.111,isp,US,AS701 
71.254.172.112,71.254.172.119,business,US, 
71.254.172.120,71.254.172.135,isp,US,AS701 
71.254.172.136,71.254.172.143,business,US, 
71.254.172.144,71.254.172.167,isp,US,AS701 
71.254.172.168,71.254.172.191,business,US, 
71.254.172.192,71.254.172.207,isp,US,AS701 
71.254.172.208,71.254.172.255,business,US, 
71.254.173.0,71.254.179.255,isp,US,AS701 
71.254.180.0,71.254.180.71,business,US, 
71.254.180.72,71.254.180.79,isp,US,AS701 
71.254.180.80,71.254.180.103,business,US, 
71.254.180.104,71.254.181.255,isp,US,AS701 
71.254.182.0,71.254.182.7,isp,US, 
71.254.182.8,71.254.182.23,business,US, 
71.254.182.24,71.254.182.47,isp,US,AS701 
71.254.182.48,71.254.182.87,business,US, 
71.254.182.88,71.254.182.95,isp,US,AS701 
71.254.182.96,71.254.182.143,business,US, 
71.254.182.144,71.254.218.119,isp,US,AS701 
71.254.218.120,71.254.218.127,business,US,AS701 
71.254.218.128,71.254.218.135,isp,US,AS701 
71.254.218.136,71.254.218.143,business,US,AS701 
71.254.218.144,71.254.218.191,isp,US,AS701 
71.254.218.192,71.254.218.199,business,US,AS701 
71.254.218.200,71.255.111.255,isp,US,AS701 
