180.150.0.0,180.150.127.255,isp,AU 
180.150.128.0,180.150.137.55,hosting,HK 
180.150.137.56,180.150.137.63,isp,HK 
180.150.137.64,180.150.140.253,hosting,HK 
180.150.140.254,180.150.140.255,isp,HK 
180.150.141.0,180.150.141.47,hosting,HK 
180.150.141.48,180.150.141.55,isp,HK 
180.150.141.56,180.150.143.221,hosting,HK 
180.150.143.222,180.150.143.223,education,HK 
180.150.143.224,180.150.144.223,hosting,HK 
180.150.144.224,180.150.144.231,isp,HK 
180.150.144.232,180.150.145.171,hosting,HK 
180.150.145.172,180.150.145.175,education,HK 
180.150.145.176,180.150.146.183,hosting,HK 
180.150.146.184,180.150.146.191,education,HK 
180.150.146.192,180.150.159.255,hosting,HK 
180.150.160.0,180.150.175.255,business,CN 
180.150.176.0,180.150.191.255,hosting,CN 
180.150.192.0,180.150.223.255,isp,KR 
180.150.224.0,180.150.231.255,hosting,KR 
180.150.232.0,180.150.239.255,business,ID 
180.150.240.0,180.150.243.255,isp,IN 
180.150.244.0,180.150.247.255,business,ID 
180.150.248.0,180.150.251.255,business,IN 
180.150.252.0,180.150.255.255,isp,PG 
